,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,405395,623352,strikeout,swinging_strike,12,Albert Pujols strikes out swinging.,1,2,2,4,7,0.93,3.15
1,2021-10-03,405395,623352,,foul,4,Albert Pujols strikes out swinging.,1,1,2,3,7,-0.65,2.59
2,2021-10-03,405395,623352,,called_strike,6,Albert Pujols strikes out swinging.,1,0,2,2,7,0.43,2.66
3,2021-10-03,405395,623352,,ball,14,Albert Pujols strikes out swinging.,0,0,2,1,7,1.0,1.28
4,2021-10-03,405395,608718,field_out,hit_into_play,2,Albert Pujols lines out sharply to left fielder Tyrone Taylor.,2,1,0,4,6,-0.03,3.21
5,2021-10-03,405395,608718,,ball,11,Albert Pujols lines out sharply to left fielder Tyrone Taylor.,1,1,0,3,6,-0.26,4.79
6,2021-10-03,405395,676879,strikeout,swinging_strike_blocked,13,Albert Pujols strikes out swinging.,1,2,0,4,5,-0.45,0.81
7,2021-10-03,405395,676879,,foul,8,Albert Pujols strikes out swinging.,1,1,0,3,5,0.12,2.04
8,2021-10-03,405395,608718,,called_strike,2,Albert Pujols lines out sharply to left fielder Tyrone Taylor.,1,0,0,2,6,-0.03,3.21
9,2021-10-03,405395,608718,,ball,11,Albert Pujols lines out sharply to left fielder Tyrone Taylor.,0,0,0,1,6,-0.68,5.26
10,2021-10-03,405395,676879,,called_strike,4,Albert Pujols strikes out swinging.,1,0,0,2,5,-0.75,2.72
11,2021-10-03,405395,676879,,ball,12,Albert Pujols strikes out swinging.,0,0,0,1,5,0.37,3.74
12,2021-10-01,405395,641778,single,hit_into_play,8,Albert Pujols singles on a sharp ground ball to shortstop Willy Adames.   Austin Barnes to 2nd.,1,1,1,3,5,-0.03,1.91
13,2021-10-01,405395,641778,,ball,12,Albert Pujols singles on a sharp ground ball to shortstop Willy Adames.   Austin Barnes to 2nd.,0,1,1,2,5,0.61,3.75
14,2021-10-01,405395,641778,,called_strike,4,Albert Pujols singles on a sharp ground ball to shortstop Willy Adames.   Austin Barnes to 2nd.,0,0,1,1,5,-0.52,2.4
15,2021-09-29,405395,657612,field_out,hit_into_play,9,Albert Pujols flies out to right fielder Wil Myers.,1,0,2,2,6,0.33,2.14
16,2021-09-29,405395,657612,,ball,11,Albert Pujols flies out to right fielder Wil Myers.,0,0,2,1,6,-0.92,3.1
17,2021-09-26,405395,573009,strikeout,swinging_strike,14,Albert Pujols strikes out swinging.,1,2,2,4,6,1.74,1.49
18,2021-09-26,405395,573009,,foul,13,Albert Pujols strikes out swinging.,1,1,2,3,6,0.0,1.43
19,2021-09-26,405395,573009,,foul,14,Albert Pujols strikes out swinging.,1,0,2,2,6,0.93,2.11
20,2021-09-26,405395,573009,,ball,14,Albert Pujols strikes out swinging.,0,0,2,1,6,1.59,2.11
21,2021-09-25,405395,573009,grounded_into_double_play,hit_into_play,5,"Albert Pujols grounds into a double play, third baseman Josh Rojas to second baseman Ketel Marte to first baseman Christian Walker.   Chris Taylor out at 2nd.    Albert Pujols out at 1st.",0,1,1,2,7,0.01,2.22
22,2021-09-25,405395,573009,,called_strike,8,"Albert Pujols grounds into a double play, third baseman Josh Rojas to second baseman Ketel Marte to first baseman Christian Walker.   Chris Taylor out at 2nd.    Albert Pujols out at 1st.",0,0,1,1,7,-0.12,1.78
23,2021-09-23,405395,608032,field_out,hit_into_play,14,"Albert Pujols grounds out, shortstop Trevor Story to first baseman C.  J. Cron.",0,2,1,3,9,1.01,2.3
24,2021-09-23,405395,608032,,swinging_strike,9,"Albert Pujols grounds out, shortstop Trevor Story to first baseman C.  J. Cron.",0,1,1,2,9,0.65,2.0
25,2021-09-23,405395,608032,,called_strike,6,"Albert Pujols grounds out, shortstop Trevor Story to first baseman C.  J. Cron.",0,0,1,1,9,0.28,2.25
26,2021-09-22,405395,656458,field_out,hit_into_play,5,Albert Pujols flies out to right fielder Charlie Blackmon.,1,0,1,2,9,-0.25,2.3
27,2021-09-22,405395,656458,,ball,12,Albert Pujols flies out to right fielder Charlie Blackmon.,0,0,1,1,9,1.11,3.59
28,2021-09-21,405395,468504,single,hit_into_play,9,Albert Pujols singles on a sharp ground ball to center fielder Garrett Hampson.   Gavin Lux scores.,0,1,1,2,10,0.55,1.81
29,2021-09-21,405395,468504,,called_strike,7,Albert Pujols singles on a sharp ground ball to center fielder Garrett Hampson.   Gavin Lux scores.,0,0,1,1,10,-0.38,1.77
30,2021-09-19,405395,489119,walk,ball,12,Albert Pujols walks.,3,0,1,4,3,1.09,3.1
31,2021-09-19,405395,489119,,ball,13,Albert Pujols walks.,2,0,1,3,3,-0.69,0.22
32,2021-09-19,405395,489119,,ball,13,Albert Pujols walks.,1,0,1,2,3,-0.1,1.19
33,2021-09-19,405395,489119,,ball,13,Albert Pujols walks.,0,0,1,1,3,-1.04,1.92
34,2021-09-19,405395,489119,field_out,hit_into_play,2,"Albert Pujols grounds out, pitcher Wade Miley to first baseman Tyler Stephenson.",0,1,2,2,1,-0.09,3.13
35,2021-09-19,405395,489119,,called_strike,5,"Albert Pujols grounds out, pitcher Wade Miley to first baseman Tyler Stephenson.",0,0,2,1,1,-0.08,2.45
36,2021-09-19,405395,663574,field_out,hit_into_play,2,Albert Pujols pops out to first baseman Tyler Stephenson in foul territory.,1,0,0,2,5,0.15,3.03
37,2021-09-19,405395,663574,,ball,14,Albert Pujols pops out to first baseman Tyler Stephenson in foul territory.,0,0,0,1,5,0.95,1.72
38,2021-09-19,405395,605521,field_out,hit_into_play,6,"Albert Pujols grounds out, second baseman Jonathan India to first baseman Tyler Stephenson.",0,0,1,1,7,0.29,2.59
39,2021-09-18,405395,607237,single,hit_into_play,8,Albert Pujols singles on a line drive to third baseman Mike Moustakas.   Austin Barnes to 2nd.,0,1,1,2,9,-0.08,1.75
40,2021-09-18,405395,607237,,called_strike,5,Albert Pujols singles on a line drive to third baseman Mike Moustakas.   Austin Barnes to 2nd.,0,0,1,1,9,0.15,2.14
41,2021-09-17,405395,547179,field_out,hit_into_play,2,Albert Pujols lines out sharply to center fielder Delino DeShields.,0,1,2,2,9,0.01,3.39
42,2021-09-17,405395,547179,,swinging_strike_blocked,14,Albert Pujols lines out sharply to center fielder Delino DeShields.,0,0,2,1,9,0.98,-0.11
43,2021-09-15,405395,598287,field_out,hit_into_play,14,"Albert Pujols grounds out, shortstop Josh Rojas to first baseman Christian Walker.",2,2,0,5,8,1.11,1.9
44,2021-09-15,405395,598287,,ball,14,"Albert Pujols grounds out, shortstop Josh Rojas to first baseman Christian Walker.",1,2,0,4,8,1.76,0.92
45,2021-09-15,405395,598287,,ball,14,"Albert Pujols grounds out, shortstop Josh Rojas to first baseman Christian Walker.",0,2,0,3,8,2.62,2.19
46,2021-09-15,405395,598287,,foul,9,"Albert Pujols grounds out, shortstop Josh Rojas to first baseman Christian Walker.",0,1,0,2,8,0.72,1.99
47,2021-09-15,405395,598287,,called_strike,9,"Albert Pujols grounds out, shortstop Josh Rojas to first baseman Christian Walker.",0,0,0,1,8,0.46,1.96
48,2021-09-14,405395,461325,single,hit_into_play,5,Albert Pujols singles on a line drive to right fielder Henry Ramos.,1,1,1,3,8,-0.16,2.31
49,2021-09-14,405395,461325,,foul,6,Albert Pujols singles on a line drive to right fielder Henry Ramos.,1,0,1,2,8,0.44,2.45
50,2021-09-14,405395,461325,,ball,14,Albert Pujols singles on a line drive to right fielder Henry Ramos.,0,0,1,1,8,2.07,2.36
51,2021-09-09,405395,519008,walk,blocked_ball,14,Albert Pujols walks.,3,1,2,5,7,0.94,0.75
52,2021-09-09,405395,519008,,called_strike,8,Albert Pujols walks.,3,0,2,4,7,0.0,1.87
53,2021-09-09,405395,519008,,ball,13,Albert Pujols walks.,2,0,2,3,7,-1.04,1.84
54,2021-09-09,405395,519008,,ball,14,Albert Pujols walks.,1,0,2,2,7,1.24,1.07
55,2021-09-09,405395,519008,,ball,14,Albert Pujols walks.,0,0,2,1,7,0.55,1.48
56,2021-09-08,405395,425794,field_out,hit_into_play,6,"Albert Pujols grounds out sharply, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",2,1,0,4,8,0.68,2.86
57,2021-09-08,405395,425794,,ball,14,"Albert Pujols grounds out sharply, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",1,1,0,3,8,1.35,1.83
58,2021-09-08,405395,425794,,ball,14,"Albert Pujols grounds out sharply, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",0,1,0,2,8,1.41,2.43
59,2021-09-08,405395,425794,,called_strike,3,"Albert Pujols grounds out sharply, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",0,0,0,1,8,0.69,3.16
60,2021-09-08,405395,425794,field_out,hit_into_play,14,"Albert Pujols grounds out, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",3,2,1,6,5,0.99,1.32
61,2021-09-08,405395,425794,,ball,14,"Albert Pujols grounds out, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",2,2,1,5,5,1.95,1.29
62,2021-09-08,405395,425794,,foul,6,"Albert Pujols grounds out, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",2,1,1,4,5,0.42,2.2
63,2021-09-08,405395,425794,,called_strike,6,"Albert Pujols grounds out, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",2,0,1,3,5,0.57,2.57
64,2021-09-08,405395,425794,,ball,11,"Albert Pujols grounds out, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",1,0,1,2,5,-0.96,3.34
65,2021-09-08,405395,425794,,ball,14,"Albert Pujols grounds out, shortstop Edmundo Sosa to first baseman Paul Goldschmidt.",0,0,1,1,5,1.24,1.86
66,2021-09-08,405395,425794,field_out,hit_into_play,9,"Albert Pujols grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",1,0,1,2,2,0.55,1.99
67,2021-09-08,405395,425794,,ball,12,"Albert Pujols grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",0,0,1,1,2,1.52,2.8
68,2021-09-07,405395,457918,field_out,hit_into_play,9,Albert Pujols lines out sharply to center fielder Harrison Bader.,1,1,1,3,5,0.38,2.04
69,2021-09-07,405395,457918,,ball,13,Albert Pujols lines out sharply to center fielder Harrison Bader.,0,1,1,2,5,-0.45,-0.63
70,2021-09-07,405395,457918,,called_strike,6,Albert Pujols lines out sharply to center fielder Harrison Bader.,0,0,1,1,5,0.67,2.5
71,2021-09-07,405395,457918,field_out,hit_into_play,12,Albert Pujols flies out to center fielder Harrison Bader.,1,0,2,2,3,1.0,2.6
72,2021-09-07,405395,457918,,ball,14,Albert Pujols flies out to center fielder Harrison Bader.,0,0,2,1,3,1.19,1.85
73,2021-09-07,405395,457918,home_run,hit_into_play,8,Albert Pujols homers (17) on a line drive to left field.,2,1,2,4,1,0.18,1.79
74,2021-09-07,405395,457918,,ball,14,Albert Pujols homers (17) on a line drive to left field.,1,1,2,3,1,0.34,0.71
75,2021-09-07,405395,457918,,foul,8,Albert Pujols homers (17) on a line drive to left field.,1,0,2,2,1,0.25,2.02
76,2021-09-07,405395,457918,,ball,12,Albert Pujols homers (17) on a line drive to left field.,0,0,2,1,1,1.43,2.83
77,2021-09-07,405395,676831,field_out,hit_into_play,3,Albert Pujols flies out to right fielder Dylan Carlson.,2,0,0,3,8,0.45,3.31
78,2021-09-07,405395,676831,,ball,14,Albert Pujols flies out to right fielder Dylan Carlson.,1,0,0,2,8,1.0,2.23
79,2021-09-07,405395,676831,,ball,12,Albert Pujols flies out to right fielder Dylan Carlson.,0,0,0,1,8,0.94,4.12
80,2021-09-05,405395,459429,home_run,hit_into_play,5,Albert Pujols homers (16) on a fly ball to center field.   Austin Barnes scores.,1,0,0,2,9,-0.11,2.47
81,2021-09-05,405395,459429,,ball,12,Albert Pujols homers (16) on a fly ball to center field.   Austin Barnes scores.,0,0,0,1,9,1.38,4.11
82,2021-09-04,405395,669674,sac_fly,hit_into_play,12,Albert Pujols out on a sacrifice fly to right fielder LaMonte Wade.   Cody Bellinger scores.,0,2,1,3,9,0.88,3.57
83,2021-09-04,405395,669674,,foul,2,Albert Pujols out on a sacrifice fly to right fielder LaMonte Wade.   Cody Bellinger scores.,0,1,1,2,9,-0.21,3.08
84,2021-09-04,405395,669674,,called_strike,5,Albert Pujols out on a sacrifice fly to right fielder LaMonte Wade.   Cody Bellinger scores.,0,0,1,1,9,0.08,2.32
85,2021-09-03,405395,459429,field_out,hit_into_play,12,"Albert Pujols grounds out, first baseman Brandon Belt to pitcher Jake McGee.",0,2,2,3,9,0.96,2.87
86,2021-09-03,405395,459429,,foul,2,"Albert Pujols grounds out, first baseman Brandon Belt to pitcher Jake McGee.",0,1,2,2,9,-0.07,3.47
87,2021-09-03,405395,459429,,called_strike,2,"Albert Pujols grounds out, first baseman Brandon Belt to pitcher Jake McGee.",0,0,2,1,9,0.16,3.16
88,2021-08-29,405395,608032,strikeout,swinging_strike,8,Albert Pujols strikes out swinging.,1,2,1,4,9,0.05,1.98
89,2021-08-29,405395,608032,,called_strike,6,Albert Pujols strikes out swinging.,1,1,1,3,9,0.57,2.79
90,2021-08-29,405395,608032,,foul,14,Albert Pujols strikes out swinging.,1,0,1,2,9,0.83,2.51
91,2021-08-29,405395,608032,,ball,12,Albert Pujols strikes out swinging.,0,0,1,1,9,0.53,3.89
92,2021-08-27,405395,607536,field_out,hit_into_play,5,"Albert Pujols grounds out, shortstop Brendan Rodgers to first baseman C.  J. Cron.",2,2,2,5,6,-0.19,2.33
93,2021-08-27,405395,607536,,swinging_strike,13,"Albert Pujols grounds out, shortstop Brendan Rodgers to first baseman C.  J. Cron.",2,1,2,4,6,-0.31,1.2
94,2021-08-27,405395,607536,,called_strike,5,"Albert Pujols grounds out, shortstop Brendan Rodgers to first baseman C.  J. Cron.",2,0,2,3,6,0.1,2.63
95,2021-08-27,405395,607536,,ball,14,"Albert Pujols grounds out, shortstop Brendan Rodgers to first baseman C.  J. Cron.",1,0,2,2,6,1.38,1.81
96,2021-08-27,405395,607536,,ball,13,"Albert Pujols grounds out, shortstop Brendan Rodgers to first baseman C.  J. Cron.",0,0,2,1,6,-0.71,1.49
97,2021-08-27,405395,607536,field_out,hit_into_play,8,"Albert Pujols grounds out, shortstop Brendan Rodgers to first baseman C.  J. Cron.",2,1,1,4,4,-0.15,2.15
98,2021-08-27,405395,607536,,called_strike,1,"Albert Pujols grounds out, shortstop Brendan Rodgers to first baseman C.  J. Cron.",2,0,1,3,4,-0.32,3.09
99,2021-08-27,405395,607536,,ball,14,"Albert Pujols grounds out, shortstop Brendan Rodgers to first baseman C.  J. Cron.",1,0,1,2,4,0.78,1.51
100,2021-08-27,405395,607536,,ball,12,"Albert Pujols grounds out, shortstop Brendan Rodgers to first baseman C.  J. Cron.",0,0,1,1,4,2.06,3.32
101,2021-08-27,405395,607536,strikeout,swinging_strike_blocked,13,Albert Pujols strikes out swinging.,1,2,0,4,2,-0.14,0.71
102,2021-08-27,405395,607536,,foul,13,Albert Pujols strikes out swinging.,1,1,0,3,2,-1.25,2.4
103,2021-08-27,405395,607536,,ball,13,Albert Pujols strikes out swinging.,0,1,0,2,2,-1.47,1.54
104,2021-08-27,405395,607536,,called_strike,2,Albert Pujols strikes out swinging.,0,0,0,1,2,0.01,3.38
105,2021-08-25,405395,543339,strikeout,called_strike,14,Albert Pujols called out on strikes.,2,2,2,5,8,0.99,1.73
106,2021-08-25,405395,543339,,ball,14,Albert Pujols called out on strikes.,1,2,2,4,8,1.31,0.73
