,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,621439,663804,field_out,hit_into_play,8,"Byron Buxton grounds out sharply, third baseman Adalberto Mondesi to first baseman Carlos Santana.",3,1,1,5,2,-0.11,2.03
1,2021-10-03,621439,663804,,foul,1,"Byron Buxton grounds out sharply, third baseman Adalberto Mondesi to first baseman Carlos Santana.",3,0,1,4,2,-0.77,3.28
2,2021-10-03,621439,663804,,ball,13,"Byron Buxton grounds out sharply, third baseman Adalberto Mondesi to first baseman Carlos Santana.",2,0,1,3,2,-0.92,1.78
3,2021-10-03,621439,663804,,ball,14,"Byron Buxton grounds out sharply, third baseman Adalberto Mondesi to first baseman Carlos Santana.",1,0,1,2,2,0.41,1.19
4,2021-10-03,621439,663804,,ball,14,"Byron Buxton grounds out sharply, third baseman Adalberto Mondesi to first baseman Carlos Santana.",0,0,1,1,2,2.57,1.02
5,2021-10-03,621439,669395,force_out,hit_into_play,14,"Byron Buxton grounds into a force out, shortstop Hanser Alberto to second baseman Whit Merrifield.   Luis Arraez out at 2nd.    Byron Buxton to 1st.",1,0,1,2,7,0.07,1.31
6,2021-10-03,621439,669395,,ball,12,"Byron Buxton grounds into a force out, shortstop Hanser Alberto to second baseman Whit Merrifield.   Luis Arraez out at 2nd.    Byron Buxton to 1st.",0,0,1,1,7,1.06,3.3
7,2021-10-03,621439,663804,double,hit_into_play,5,Byron Buxton doubles (23) on a line drive to left fielder Hunter Dozier.   Luis Arraez to 3rd.,2,1,0,4,1,0.1,2.25
8,2021-10-03,621439,606303,home_run,hit_into_play,5,Byron Buxton homers (19) on a fly ball to left field.   Luis Arraez scores.,0,0,0,1,5,0.16,2.5
9,2021-10-03,621439,663804,,ball,14,Byron Buxton doubles (23) on a line drive to left fielder Hunter Dozier.   Luis Arraez to 3rd.,1,1,0,3,1,1.95,0.95
10,2021-10-03,621439,663804,,called_strike,14,Byron Buxton doubles (23) on a line drive to left fielder Hunter Dozier.   Luis Arraez to 3rd.,1,0,0,2,1,0.51,1.36
11,2021-10-03,621439,663804,,ball,14,Byron Buxton doubles (23) on a line drive to left fielder Hunter Dozier.   Luis Arraez to 3rd.,0,0,0,1,1,0.44,0.84
12,2021-10-02,621439,663460,double,hit_into_play,6,Byron Buxton doubles (22) on a sharp line drive to left fielder Andrew Benintendi.,0,0,2,1,5,0.6,2.38
13,2021-10-02,621439,663460,strikeout,swinging_strike,11,Byron Buxton strikes out swinging.,1,2,1,4,3,-0.29,3.93
14,2021-10-02,621439,663460,,ball,11,Byron Buxton strikes out swinging.,0,2,1,3,3,-0.2,4.26
15,2021-10-02,621439,663460,,foul,6,Byron Buxton strikes out swinging.,0,1,1,2,3,0.58,2.28
16,2021-10-02,621439,663460,,called_strike,4,Byron Buxton strikes out swinging.,0,0,1,1,3,-0.51,2.54
17,2021-10-02,621439,622092,strikeout,swinging_strike,14,Byron Buxton strikes out swinging.,1,2,2,4,9,0.09,0.74
18,2021-10-02,621439,622092,,swinging_strike,9,Byron Buxton strikes out swinging.,1,1,2,3,9,0.66,1.74
19,2021-10-02,621439,622092,,ball,14,Byron Buxton strikes out swinging.,0,1,2,2,9,0.55,-0.29
20,2021-10-02,621439,622092,,swinging_strike,14,Byron Buxton strikes out swinging.,0,0,2,1,9,0.7,1.15
21,2021-10-02,621439,663460,field_out,hit_into_play,8,Byron Buxton lines out to right fielder Hunter Dozier.,2,1,0,4,1,0.13,2.08
22,2021-10-02,621439,663460,,ball,14,Byron Buxton lines out to right fielder Hunter Dozier.,1,1,0,3,1,0.49,0.6
23,2021-10-02,621439,593619,field_out,hit_into_play,6,Byron Buxton lines out to left fielder Andrew Benintendi.,0,1,2,2,7,0.33,2.24
24,2021-10-02,621439,663460,,called_strike,8,Byron Buxton lines out to right fielder Hunter Dozier.,1,0,0,2,1,-0.17,1.43
25,2021-10-02,621439,593619,,called_strike,8,Byron Buxton lines out to left fielder Andrew Benintendi.,0,0,2,1,7,0.2,1.87
26,2021-10-02,621439,663460,,ball,13,Byron Buxton lines out to right fielder Hunter Dozier.,0,0,0,1,1,-1.33,2.11
27,2021-10-01,621439,669169,double,hit_into_play,7,Byron Buxton doubles (21) on a sharp line drive to left fielder Andrew Benintendi.,1,2,1,4,6,-0.43,1.82
28,2021-10-01,621439,669169,,ball,11,Byron Buxton doubles (21) on a sharp line drive to left fielder Andrew Benintendi.,0,2,1,3,6,-0.91,5.05
29,2021-10-01,621439,669169,,foul,8,Byron Buxton doubles (21) on a sharp line drive to left fielder Andrew Benintendi.,0,1,1,2,6,-0.13,1.98
30,2021-10-01,621439,669169,,foul,5,Byron Buxton doubles (21) on a sharp line drive to left fielder Andrew Benintendi.,0,0,1,1,6,-0.26,2.83
31,2021-10-01,621439,669169,double,hit_into_play,7,Byron Buxton doubles (20) on a sharp line drive to left fielder Andrew Benintendi.,2,2,1,5,4,-0.73,2.06
32,2021-10-01,621439,669169,,ball,14,Byron Buxton doubles (20) on a sharp line drive to left fielder Andrew Benintendi.,1,2,1,4,4,0.42,-0.21
33,2021-10-01,621439,669169,,called_strike,13,Byron Buxton doubles (20) on a sharp line drive to left fielder Andrew Benintendi.,1,1,1,3,4,-0.88,1.65
34,2021-10-01,621439,669169,,ball,13,Byron Buxton doubles (20) on a sharp line drive to left fielder Andrew Benintendi.,0,1,1,2,4,-0.85,0.35
35,2021-10-01,621439,669169,,called_strike,4,Byron Buxton doubles (20) on a sharp line drive to left fielder Andrew Benintendi.,0,0,1,1,4,-0.7,2.49
36,2021-10-01,621439,642100,single,hit_into_play,14,Byron Buxton singles on a line drive to center fielder Michael A.   Taylor.   Ryan Jeffers to 3rd.    Luis Arraez to 2nd.,1,2,1,4,7,0.58,1.19
37,2021-10-01,621439,642100,,swinging_strike,14,Byron Buxton singles on a line drive to center fielder Michael A.   Taylor.   Ryan Jeffers to 3rd.    Luis Arraez to 2nd.,1,1,1,3,7,0.98,2.38
38,2021-10-01,621439,642100,,ball,11,Byron Buxton singles on a line drive to center fielder Michael A.   Taylor.   Ryan Jeffers to 3rd.    Luis Arraez to 2nd.,0,1,1,2,7,-1.09,3.83
39,2021-10-01,621439,642100,,called_strike,5,Byron Buxton singles on a line drive to center fielder Michael A.   Taylor.   Ryan Jeffers to 3rd.    Luis Arraez to 2nd.,0,0,1,1,7,0.16,2.37
40,2021-10-01,621439,669169,field_out,hit_into_play,2,Byron Buxton pops out sharply to second baseman Whit Merrifield.,3,2,1,6,1,-0.11,3.0
41,2021-10-01,621439,669169,,swinging_strike,13,Byron Buxton pops out sharply to second baseman Whit Merrifield.,3,1,1,5,1,-1.13,2.08
42,2021-10-01,621439,669169,,called_strike,5,Byron Buxton pops out sharply to second baseman Whit Merrifield.,3,0,1,4,1,0.07,2.4
43,2021-10-01,621439,669169,,ball,11,Byron Buxton pops out sharply to second baseman Whit Merrifield.,2,0,1,3,1,-1.3,3.78
44,2021-10-01,621439,429722,strikeout,swinging_strike,9,Byron Buxton strikes out swinging.,3,2,0,8,9,0.34,2.12
45,2021-10-01,621439,669169,,ball,11,Byron Buxton pops out sharply to second baseman Whit Merrifield.,1,0,1,2,1,-1.39,4.25
46,2021-10-01,621439,669169,,ball,11,Byron Buxton pops out sharply to second baseman Whit Merrifield.,0,0,1,1,1,-0.64,4.83
47,2021-10-01,621439,429722,,ball,11,Byron Buxton strikes out swinging.,2,2,0,7,9,-0.42,4.75
48,2021-10-01,621439,429722,,foul,6,Byron Buxton strikes out swinging.,2,2,0,6,9,0.45,2.22
49,2021-10-01,621439,429722,,foul,1,Byron Buxton strikes out swinging.,2,2,0,5,9,-0.38,2.91
50,2021-10-01,621439,429722,,swinging_strike,1,Byron Buxton strikes out swinging.,2,1,0,4,9,-0.5,2.99
51,2021-10-01,621439,429722,,ball,14,Byron Buxton strikes out swinging.,1,1,0,3,9,1.69,0.85
52,2021-10-01,621439,429722,,ball,11,Byron Buxton strikes out swinging.,0,1,0,2,9,-1.5,6.09
53,2021-10-01,621439,429722,,foul,7,Byron Buxton strikes out swinging.,0,0,0,1,9,-0.54,1.74
54,2021-09-30,621439,669373,force_out,hit_into_play,9,"Byron Buxton grounds into a force out, shortstop Niko Goodrum to second baseman Harold Castro.   Andrelton Simmons out at 2nd.    Byron Buxton to 1st.",3,2,0,7,3,0.62,1.65
