,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,621043,608344,strikeout,swinging_strike,13,Carlos Correa strikes out swinging.,2,2,1,5,6,-1.64,1.5
1,2021-10-03,621043,608344,,ball,8,Carlos Correa strikes out swinging.,1,2,1,4,6,-0.15,1.82
2,2021-10-03,621043,608344,,ball,12,Carlos Correa strikes out swinging.,0,2,1,3,6,0.37,4.93
3,2021-10-03,621043,608344,,foul,6,Carlos Correa strikes out swinging.,0,1,1,2,6,0.73,2.72
4,2021-10-03,621043,608344,,called_strike,5,Carlos Correa strikes out swinging.,0,0,1,1,6,0.2,2.25
5,2021-10-03,621043,608344,field_out,hit_into_play,6,Carlos Correa lines out sharply to center fielder Skye Bolt.,0,2,0,3,4,0.46,2.58
6,2021-10-03,621043,608344,,called_strike,9,Carlos Correa lines out sharply to center fielder Skye Bolt.,0,1,0,2,4,0.81,2.07
7,2021-10-03,621043,608344,,foul,14,Carlos Correa lines out sharply to center fielder Skye Bolt.,0,0,0,1,4,0.91,1.56
8,2021-10-03,621043,608344,field_out,hit_into_play,13,"Carlos Correa grounds out, shortstop Pete Kozma to first baseman Seth Brown.",1,1,2,3,1,-0.95,2.5
9,2021-10-03,621043,608344,,called_strike,4,"Carlos Correa grounds out, shortstop Pete Kozma to first baseman Seth Brown.",1,0,2,2,1,-0.77,2.47
10,2021-10-03,621043,608344,,ball,12,"Carlos Correa grounds out, shortstop Pete Kozma to first baseman Seth Brown.",0,0,2,1,1,1.03,3.22
11,2021-10-03,621043,642758,home_run,hit_into_play,6,Carlos Correa homers (26) on a fly ball to right field.,2,1,0,4,8,0.53,2.85
12,2021-10-03,621043,642758,,ball,12,Carlos Correa homers (26) on a fly ball to right field.,1,1,0,3,8,0.12,3.45
13,2021-10-03,621043,642758,,foul,14,Carlos Correa homers (26) on a fly ball to right field.,1,0,0,2,8,0.93,2.15
14,2021-10-03,621043,642758,,ball,13,Carlos Correa homers (26) on a fly ball to right field.,0,0,0,1,8,-0.52,1.47
15,2021-10-01,621043,640455,field_out,hit_into_play,9,"Carlos Correa grounds out, shortstop Pete Kozma to first baseman Matt Olson.",0,1,0,2,6,0.72,1.76
16,2021-10-01,621043,640455,,foul,13,"Carlos Correa grounds out, shortstop Pete Kozma to first baseman Matt Olson.",0,0,0,1,6,-0.88,1.62
17,2021-10-01,621043,640455,single,hit_into_play,2,Carlos Correa singles on a sharp line drive to center fielder Starling Marte.,3,2,2,7,3,-0.16,3.09
18,2021-10-01,621043,640455,,ball,13,Carlos Correa singles on a sharp line drive to center fielder Starling Marte.,2,2,2,6,3,-0.04,0.0
19,2021-10-01,621043,640455,,foul,13,Carlos Correa singles on a sharp line drive to center fielder Starling Marte.,2,2,2,5,3,-0.67,1.28
20,2021-10-01,621043,640455,,ball,11,Carlos Correa singles on a sharp line drive to center fielder Starling Marte.,1,2,2,4,3,-0.05,4.79
21,2021-10-01,621043,640455,,swinging_strike,2,Carlos Correa singles on a sharp line drive to center fielder Starling Marte.,1,1,2,3,3,-0.22,3.23
22,2021-10-01,621043,640455,,ball,14,Carlos Correa singles on a sharp line drive to center fielder Starling Marte.,0,1,2,2,3,1.15,2.32
23,2021-10-01,621043,640455,,called_strike,6,Carlos Correa singles on a sharp line drive to center fielder Starling Marte.,0,0,2,1,3,0.47,2.19
24,2021-10-01,621043,640455,hit_by_pitch,hit_by_pitch,13,Carlos Correa hit by pitch.    Aledmys Diaz to 2nd.,2,2,2,5,1,-1.98,0.8
25,2021-10-01,621043,640455,,ball,13,Carlos Correa hit by pitch.    Aledmys Diaz to 2nd.,1,2,2,4,1,-1.48,2.12
26,2021-10-01,621043,640455,,swinging_strike,14,Carlos Correa hit by pitch.    Aledmys Diaz to 2nd.,1,1,2,3,1,0.08,1.22
27,2021-10-01,621043,640455,,swinging_strike,13,Carlos Correa hit by pitch.    Aledmys Diaz to 2nd.,1,0,2,2,1,-1.39,1.32
28,2021-10-01,621043,640455,,ball,12,Carlos Correa hit by pitch.    Aledmys Diaz to 2nd.,0,0,2,1,1,2.55,2.66
29,2021-10-01,621043,642152,walk,ball,14,Carlos Correa walks.,3,2,0,8,9,0.99,1.47
30,2021-10-01,621043,433589,single,hit_into_play,12,Carlos Correa singles on a line drive to center fielder Starling Marte.,0,2,0,4,8,0.83,3.39
31,2021-10-01,621043,433589,,foul,14,Carlos Correa singles on a line drive to center fielder Starling Marte.,0,2,0,3,8,0.98,1.26
32,2021-10-01,621043,642152,,foul,2,Carlos Correa walks.,3,2,0,7,9,-0.04,2.99
33,2021-10-01,621043,642152,,foul,14,Carlos Correa walks.,3,2,0,6,9,0.58,1.34
34,2021-10-01,621043,433589,,foul,5,Carlos Correa singles on a line drive to center fielder Starling Marte.,0,1,0,2,8,0.23,2.72
35,2021-10-01,621043,642152,,ball,13,Carlos Correa walks.,2,2,0,5,9,-0.2,1.43
36,2021-10-01,621043,433589,,swinging_strike,14,Carlos Correa singles on a line drive to center fielder Starling Marte.,0,0,0,1,8,1.04,1.46
37,2021-10-01,621043,642152,,swinging_strike,13,Carlos Correa walks.,2,1,0,4,9,-0.28,1.38
38,2021-10-01,621043,642152,,called_strike,5,Carlos Correa walks.,2,0,0,3,9,0.24,2.31
39,2021-10-01,621043,642152,,ball,13,Carlos Correa walks.,1,0,0,2,9,-1.61,2.34
40,2021-10-01,621043,642152,,ball,11,Carlos Correa walks.,0,0,0,1,9,-1.54,2.72
41,2021-09-30,621043,642232,home_run,hit_into_play,2,Carlos Correa homers (25) on a fly ball to left field.   Yuli Gurriel scores.    Kyle Tucker scores.,0,1,0,2,4,-0.24,3.32
42,2021-09-30,621043,642232,,swinging_strike,14,Carlos Correa homers (25) on a fly ball to left field.   Yuli Gurriel scores.    Kyle Tucker scores.,0,0,0,1,4,1.46,1.05
43,2021-09-30,621043,642232,field_out,hit_into_play,11,Carlos Correa lines out to shortstop Wander Franco.,1,1,0,3,2,-1.1,2.61
44,2021-09-30,621043,642232,,ball,11,Carlos Correa lines out to shortstop Wander Franco.,0,1,0,2,2,-1.26,3.15
