,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,656775,547943,single,hit_into_play,8,Cedric Mullins singles on a sharp ground ball to center fielder George Springer.   Richie Martin to 2nd.,1,1,1,3,5,-0.2,1.94
1,2021-10-03,656775,547943,,ball,12,Cedric Mullins singles on a sharp ground ball to center fielder George Springer.   Richie Martin to 2nd.,0,1,1,2,5,1.4,3.1
2,2021-10-03,656775,547943,,foul,5,Cedric Mullins singles on a sharp ground ball to center fielder George Springer.   Richie Martin to 2nd.,0,0,1,1,5,0.07,2.17
3,2021-10-03,656775,547943,field_out,hit_into_play,13,"Cedric Mullins grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero.   Pat Valaika to 3rd.",0,2,1,3,3,-1.0,2.33
4,2021-10-03,656775,547943,,foul_tip,12,"Cedric Mullins grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero.   Pat Valaika to 3rd.",0,1,1,2,3,0.01,3.42
5,2021-10-03,656775,547943,,called_strike,3,"Cedric Mullins grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero.   Pat Valaika to 3rd.",0,0,1,1,3,0.55,3.08
6,2021-10-03,656775,663878,field_out,hit_into_play,5,"Cedric Mullins grounds out sharply, second baseman Marcus Semien to first baseman Vladimir Guerrero.",3,1,2,5,6,-0.1,2.62
7,2021-10-03,656775,663878,,ball,11,"Cedric Mullins grounds out sharply, second baseman Marcus Semien to first baseman Vladimir Guerrero.",2,1,2,4,6,-1.17,3.29
8,2021-10-03,656775,663878,,ball,14,"Cedric Mullins grounds out sharply, second baseman Marcus Semien to first baseman Vladimir Guerrero.",1,1,2,3,6,1.44,0.57
9,2021-10-03,656775,663878,,ball,13,"Cedric Mullins grounds out sharply, second baseman Marcus Semien to first baseman Vladimir Guerrero.",0,1,2,2,6,-0.5,1.02
10,2021-10-03,656775,663878,,called_strike,9,"Cedric Mullins grounds out sharply, second baseman Marcus Semien to first baseman Vladimir Guerrero.",0,0,2,1,6,0.32,1.7
11,2021-10-03,656775,606930,force_out,hit_into_play,5,"Cedric Mullins grounds into a force out, fielded by second baseman Marcus Semien.   Pat Valaika out at 2nd.    Cedric Mullins to 1st.",0,0,1,1,8,0.11,2.29
12,2021-10-03,656775,547943,field_out,hit_into_play,4,"Cedric Mullins grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero.",0,0,0,1,1,-0.49,2.48
13,2021-10-02,656775,666201,field_out,hit_into_play,4,Cedric Mullins flies out to left fielder Teoscar Hernandez.,0,0,0,1,6,-0.4,2.64
14,2021-10-02,656775,666201,field_out,hit_into_play,7,Cedric Mullins flies out to center fielder George Springer.,2,0,1,3,3,-0.53,1.99
15,2021-10-02,656775,666201,,ball,14,Cedric Mullins flies out to center fielder George Springer.,1,0,1,2,3,0.47,0.88
16,2021-10-02,656775,666201,,ball,13,Cedric Mullins flies out to center fielder George Springer.,0,0,1,1,3,-0.87,1.33
17,2021-10-02,656775,548389,field_out,hit_into_play,11,Cedric Mullins flies out to left fielder Teoscar Hernandez.,1,1,2,3,8,-0.83,2.82
18,2021-10-02,656775,548389,,foul,8,Cedric Mullins flies out to left fielder Teoscar Hernandez.,1,0,2,2,8,-0.13,1.98
19,2021-10-02,656775,548389,,ball,13,Cedric Mullins flies out to left fielder Teoscar Hernandez.,0,0,2,1,8,-0.63,1.42
20,2021-10-02,656775,666201,field_out,hit_into_play,14,Cedric Mullins pops out to third baseman Santiago Espinal in foul territory.,0,1,0,2,1,0.85,2.04
21,2021-10-02,656775,666201,,called_strike,9,Cedric Mullins pops out to third baseman Santiago Espinal in foul territory.,0,0,0,1,1,0.58,1.63
22,2021-10-01,656775,571927,strikeout,called_strike,8,Cedric Mullins called out on strikes.,2,2,1,5,6,-0.01,1.51
23,2021-10-01,656775,571927,,ball,13,Cedric Mullins called out on strikes.,1,2,1,4,6,-1.61,0.87
24,2021-10-01,656775,571927,,foul,2,Cedric Mullins called out on strikes.,1,1,1,3,6,-0.19,2.83
25,2021-10-01,656775,571927,,ball,13,Cedric Mullins called out on strikes.,0,1,1,2,6,-1.3,1.63
26,2021-10-01,656775,571927,,foul_bunt,3,Cedric Mullins called out on strikes.,0,0,1,1,6,0.66,3.16
27,2021-10-01,656775,571927,double_play,hit_into_play,6,"Cedric Mullins lines into a double play, third baseman Santiago Espinal to first baseman Cavan Biggio.   Richie Martin out at 1st.",0,1,1,2,3,0.53,2.7
28,2021-10-01,656775,571927,,called_strike,2,"Cedric Mullins lines into a double play, third baseman Santiago Espinal to first baseman Cavan Biggio.   Richie Martin out at 1st.",0,0,1,1,3,-0.06,3.01
29,2021-10-01,656775,643256,hit_by_pitch,hit_by_pitch,12,Cedric Mullins hit by pitch.,0,2,1,4,8,1.14,4.3
30,2021-10-01,656775,643256,,foul,11,Cedric Mullins hit by pitch.,0,2,1,3,8,-0.1,3.49
31,2021-10-01,656775,643256,,foul,2,Cedric Mullins hit by pitch.,0,1,1,2,8,0.03,3.07
32,2021-10-01,656775,643256,,swinging_strike,1,Cedric Mullins hit by pitch.,0,0,1,1,8,-0.43,3.05
33,2021-10-01,656775,571927,field_out,hit_into_play,4,"Cedric Mullins grounds out, pitcher Steven Matz to first baseman Cavan Biggio.",0,1,0,2,1,-0.37,2.4
34,2021-10-01,656775,571927,,called_strike,2,"Cedric Mullins grounds out, pitcher Steven Matz to first baseman Cavan Biggio.",0,0,0,1,1,-0.2,2.85
35,2021-09-30,656775,601713,strikeout,swinging_strike,3,Cedric Mullins strikes out swinging.,3,2,1,6,5,0.3,3.36
36,2021-09-30,656775,601713,,ball,12,Cedric Mullins strikes out swinging.,2,2,1,5,5,0.44,4.34
37,2021-09-30,656775,601713,,swinging_strike,7,Cedric Mullins strikes out swinging.,2,1,1,4,5,-0.31,1.45
38,2021-09-30,656775,601713,,ball,14,Cedric Mullins strikes out swinging.,1,1,1,3,5,1.42,2.08
39,2021-09-30,656775,601713,,ball,12,Cedric Mullins strikes out swinging.,0,1,1,2,5,1.35,2.62
40,2021-09-30,656775,601713,,swinging_strike,2,Cedric Mullins strikes out swinging.,0,0,1,1,5,-0.08,3.29
41,2021-09-30,656775,601713,strikeout,called_strike,12,Cedric Mullins called out on strikes.,3,2,1,6,3,0.4,3.7
42,2021-09-30,656775,601713,,ball,12,Cedric Mullins called out on strikes.,2,2,1,5,3,1.03,2.47
43,2021-09-30,656775,601713,,ball,14,Cedric Mullins called out on strikes.,1,2,1,4,3,0.46,1.43
44,2021-09-30,656775,601713,,ball,12,Cedric Mullins called out on strikes.,0,2,1,3,3,0.81,3.85
45,2021-09-30,656775,601713,,swinging_strike,2,Cedric Mullins called out on strikes.,0,1,1,2,3,0.03,3.27
46,2021-09-30,656775,601713,,called_strike,6,Cedric Mullins called out on strikes.,0,0,1,1,3,0.37,2.49
47,2021-09-30,656775,493603,field_out,hit_into_play,2,"Cedric Mullins grounds out, second baseman Jose Iglesias to first baseman Kyle Schwarber.",2,2,0,5,7,-0.04,2.73
48,2021-09-30,656775,493603,,swinging_strike,2,"Cedric Mullins grounds out, second baseman Jose Iglesias to first baseman Kyle Schwarber.",2,1,0,4,7,0.09,2.78
49,2021-09-30,656775,601713,strikeout,swinging_strike,12,Cedric Mullins strikes out swinging.,0,2,0,3,1,0.4,3.5
50,2021-09-30,656775,493603,,ball,14,"Cedric Mullins grounds out, second baseman Jose Iglesias to first baseman Kyle Schwarber.",1,1,0,3,7,1.94,1.79
51,2021-09-30,656775,601713,,foul,1,Cedric Mullins strikes out swinging.,0,1,0,2,1,-0.42,2.9
52,2021-09-30,656775,493603,,ball,13,"Cedric Mullins grounds out, second baseman Jose Iglesias to first baseman Kyle Schwarber.",0,1,0,2,7,-1.48,1.42
53,2021-09-30,656775,493603,,called_strike,6,"Cedric Mullins grounds out, second baseman Jose Iglesias to first baseman Kyle Schwarber.",0,0,0,1,7,0.4,2.46
54,2021-09-30,656775,601713,,called_strike,4,Cedric Mullins strikes out swinging.,0,0,0,1,1,-0.82,2.24
55,2021-09-29,656775,543135,double,hit_into_play,7,Cedric Mullins doubles (37) on a ground ball to left fielder Alex Verdugo.,3,2,0,6,6,-0.3,1.4
56,2021-09-29,656775,543135,,foul,7,Cedric Mullins doubles (37) on a ground ball to left fielder Alex Verdugo.,3,1,0,5,6,-0.32,1.86
57,2021-09-29,656775,543135,,ball,14,Cedric Mullins doubles (37) on a ground ball to left fielder Alex Verdugo.,2,1,0,4,6,1.23,2.15
58,2021-09-29,656775,543135,,ball,14,Cedric Mullins doubles (37) on a ground ball to left fielder Alex Verdugo.,1,1,0,3,6,0.19,0.47
59,2021-09-29,656775,543135,,called_strike,1,Cedric Mullins doubles (37) on a ground ball to left fielder Alex Verdugo.,1,0,0,2,6,-0.43,2.97
