,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,664058,542881,double,hit_into_play,4.0,David Fletcher doubles (27) on a ground ball to left fielder Dylan Moore.   Jose Rojas scores.,0,2,1,3,2,-0.81,2.51
1,2021-10-03,664058,542881,,foul,11.0,David Fletcher doubles (27) on a ground ball to left fielder Dylan Moore.   Jose Rojas scores.,0,1,1,2,2,-1.0,2.75
2,2021-10-03,664058,542881,,swinging_strike,14.0,David Fletcher doubles (27) on a ground ball to left fielder Dylan Moore.   Jose Rojas scores.,0,0,1,1,2,0.89,2.35
3,2021-10-03,664058,657024,triple,hit_into_play,2.0,"David Fletcher triples (3) on a fly ball to left fielder Dylan Moore, deflected by shortstop J.  P. Crawford.   Juan Lagares scores.",1,1,2,3,5,-0.26,3.39
4,2021-10-03,664058,657024,,foul,6.0,"David Fletcher triples (3) on a fly ball to left fielder Dylan Moore, deflected by shortstop J.  P. Crawford.   Juan Lagares scores.",1,0,2,2,5,0.74,2.3
5,2021-10-03,664058,657024,,ball,14.0,"David Fletcher triples (3) on a fly ball to left fielder Dylan Moore, deflected by shortstop J.  P. Crawford.   Juan Lagares scores.",0,0,2,1,5,0.96,2.12
6,2021-10-03,664058,448281,field_out,hit_into_play,4.0,David Fletcher pops out to shortstop J.  P. Crawford.,2,2,1,5,7,-0.39,2.44
7,2021-10-03,664058,448281,,ball,13.0,David Fletcher pops out to shortstop J.  P. Crawford.,1,2,1,4,7,-0.71,1.11
8,2021-10-03,664058,448281,,ball,12.0,David Fletcher pops out to shortstop J.  P. Crawford.,0,2,1,3,7,2.63,4.05
9,2021-10-03,664058,448281,,called_strike,9.0,David Fletcher pops out to shortstop J.  P. Crawford.,0,1,1,2,7,0.35,1.82
10,2021-10-03,664058,448281,,called_strike,12.0,David Fletcher pops out to shortstop J.  P. Crawford.,0,0,1,1,7,1.08,2.81
11,2021-10-03,664058,664948,field_out,hit_into_play,5.0,David Fletcher lines out to right fielder Mitch Haniger.,1,0,0,2,4,-0.21,2.6
12,2021-10-03,664058,664948,,ball,12.0,David Fletcher lines out to right fielder Mitch Haniger.,0,0,0,1,4,1.54,3.26
13,2021-10-02,664058,623167,single,hit_into_play,9.0,David Fletcher singles on a line drive to right fielder Mitch Haniger.   Luis Rengifo to 3rd.,0,1,1,2,5,0.38,1.96
14,2021-10-02,664058,623167,,called_strike,8.0,David Fletcher singles on a line drive to right fielder Mitch Haniger.   Luis Rengifo to 3rd.,0,0,1,1,5,0.21,1.89
15,2021-10-02,664058,623167,strikeout,called_strike,9.0,David Fletcher called out on strikes.,2,2,0,5,3,0.65,1.82
16,2021-10-02,664058,623167,,foul,3.0,David Fletcher called out on strikes.,2,1,0,4,3,0.67,3.18
17,2021-10-02,664058,623167,,ball,12.0,David Fletcher called out on strikes.,1,1,0,3,3,0.35,3.73
18,2021-10-02,664058,623167,,swinging_strike,9.0,David Fletcher called out on strikes.,1,0,0,2,3,0.74,1.81
19,2021-10-02,664058,623167,,ball,12.0,David Fletcher called out on strikes.,0,0,0,1,3,0.01,3.7
20,2021-10-02,664058,664948,field_out,hit_into_play,6.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",3,2,2,6,7,0.7,2.48
21,2021-10-02,664058,664948,,ball,13.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",2,2,2,5,7,-0.73,0.78
22,2021-10-02,664058,664948,,ball,13.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",1,2,2,4,7,-0.78,0.41
23,2021-10-02,664058,664948,,ball,12.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",0,2,2,3,7,1.08,4.76
24,2021-10-02,664058,664948,,foul,13.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",0,1,2,2,7,-1.03,2.31
25,2021-10-02,664058,664948,,called_strike,1.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",0,0,2,1,7,-0.65,2.9
26,2021-10-02,664058,608716,double,hit_into_play,1.0,David Fletcher doubles (26) on a line drive to left fielder Jake Fraley.,2,1,2,4,9,-0.7,3.27
27,2021-10-02,664058,608716,,ball,11.0,David Fletcher doubles (26) on a line drive to left fielder Jake Fraley.,1,1,2,3,9,-1.44,3.76
28,2021-10-02,664058,608716,,ball,12.0,David Fletcher doubles (26) on a line drive to left fielder Jake Fraley.,0,1,2,2,9,1.35,2.35
29,2021-10-02,664058,608716,,called_strike,12.0,David Fletcher doubles (26) on a line drive to left fielder Jake Fraley.,0,0,2,1,9,0.58,3.36
30,2021-10-01,664058,594835,field_out,hit_into_play,5.0,David Fletcher flies out to right fielder Mitch Haniger.,2,1,0,4,5,-0.02,2.33
31,2021-10-01,664058,594835,,called_strike,9.0,David Fletcher flies out to right fielder Mitch Haniger.,2,0,0,3,5,0.61,1.75
32,2021-10-01,664058,594835,,ball,12.0,David Fletcher flies out to right fielder Mitch Haniger.,1,0,0,2,5,1.05,2.62
33,2021-10-01,664058,594835,,ball,12.0,David Fletcher flies out to right fielder Mitch Haniger.,0,0,0,1,5,1.22,3.94
34,2021-10-01,664058,594835,walk,ball,14.0,David Fletcher walks.   Luis Rengifo to 2nd.,3,2,0,10,3,0.68,1.26
35,2021-10-01,664058,594835,,blocked_ball,14.0,David Fletcher walks.   Luis Rengifo to 2nd.,2,2,0,9,3,0.11,0.52
36,2021-10-01,664058,594835,,blocked_ball,13.0,David Fletcher walks.   Luis Rengifo to 2nd.,1,2,0,8,3,-0.69,0.37
37,2021-10-01,664058,594835,,foul,6.0,David Fletcher walks.   Luis Rengifo to 2nd.,1,2,0,7,3,0.3,2.53
38,2021-10-01,664058,594835,,foul,12.0,David Fletcher walks.   Luis Rengifo to 2nd.,1,2,0,6,3,1.06,2.4
39,2021-10-01,664058,594835,,foul,1.0,David Fletcher walks.   Luis Rengifo to 2nd.,1,2,0,5,3,-0.29,2.77
40,2021-10-01,664058,594835,,foul,6.0,David Fletcher walks.   Luis Rengifo to 2nd.,1,2,0,4,3,0.6,2.25
41,2021-10-01,664058,594835,,called_strike,6.0,David Fletcher walks.   Luis Rengifo to 2nd.,1,1,0,3,3,0.44,1.94
42,2021-10-01,664058,594835,,ball,12.0,David Fletcher walks.   Luis Rengifo to 2nd.,0,1,0,2,3,1.38,3.66
43,2021-10-01,664058,594835,,called_strike,3.0,David Fletcher walks.   Luis Rengifo to 2nd.,0,0,0,1,3,0.64,2.74
44,2021-10-01,664058,623149,field_out,hit_into_play,8.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",3,2,0,6,8,-0.18,1.82
45,2021-10-01,664058,623149,,called_strike,5.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",3,1,0,5,8,0.22,2.51
46,2021-10-01,664058,623149,,ball,14.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",2,1,0,4,8,1.42,1.76
47,2021-10-01,664058,623149,,ball,11.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",1,1,0,3,8,-2.14,2.97
48,2021-10-01,664058,623149,,ball,13.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",0,1,0,2,8,-0.24,1.24
49,2021-10-01,664058,623149,,called_strike,9.0,"David Fletcher grounds out, second baseman Abraham Toro to first baseman Ty France.",0,0,0,1,8,0.62,1.7
50,2021-09-30,664058,657248,field_out,hit_into_play,4.0,"David Fletcher grounds out, second baseman Nick Solak to first baseman Nathaniel Lowe.",2,2,2,6,1,-0.39,2.51
51,2021-09-30,664058,657248,,foul,2.0,"David Fletcher grounds out, second baseman Nick Solak to first baseman Nathaniel Lowe.",2,2,2,5,1,-0.23,3.39
52,2021-09-30,664058,657248,,foul,6.0,"David Fletcher grounds out, second baseman Nick Solak to first baseman Nathaniel Lowe.",2,1,2,4,1,0.53,2.68
53,2021-09-30,664058,657248,,ball,12.0,"David Fletcher grounds out, second baseman Nick Solak to first baseman Nathaniel Lowe.",1,1,2,3,1,0.23,3.69
54,2021-09-30,664058,657248,,foul,1.0,"David Fletcher grounds out, second baseman Nick Solak to first baseman Nathaniel Lowe.",1,0,2,2,1,-0.28,2.75
55,2021-09-30,664058,657248,,ball,14.0,"David Fletcher grounds out, second baseman Nick Solak to first baseman Nathaniel Lowe.",0,0,2,1,1,1.05,1.86
56,2021-09-30,664058,623454,field_out,hit_into_play,2.0,David Fletcher flies out to center fielder DJ Peters.,2,1,1,4,4,-0.14,2.77
57,2021-09-30,664058,623454,,ball,14.0,David Fletcher flies out to center fielder DJ Peters.,1,1,1,3,4,1.02,0.71
58,2021-09-30,664058,607359,grounded_into_double_play,hit_into_play,6.0,"David Fletcher grounds into a double play, shortstop Yonny Hernandez to first baseman Nathaniel Lowe.   Luis Rengifo out at 2nd.    David Fletcher out at 1st.",2,1,0,4,8,0.43,2.18
59,2021-09-30,664058,623454,,called_strike,6.0,David Fletcher flies out to center fielder DJ Peters.,1,0,1,2,4,0.55,2.02
60,2021-09-30,664058,607359,,foul,12.0,"David Fletcher grounds into a double play, shortstop Yonny Hernandez to first baseman Nathaniel Lowe.   Luis Rengifo out at 2nd.    David Fletcher out at 1st.",2,0,0,3,8,0.02,4.21
61,2021-09-30,664058,623454,,ball,2.0,David Fletcher flies out to center fielder DJ Peters.,0,0,1,1,4,0.03,3.37
62,2021-09-30,664058,607359,,ball,11.0,"David Fletcher grounds into a double play, shortstop Yonny Hernandez to first baseman Nathaniel Lowe.   Luis Rengifo out at 2nd.    David Fletcher out at 1st.",1,0,0,2,8,-1.5,2.67
63,2021-09-30,664058,607359,,ball,11.0,"David Fletcher grounds into a double play, shortstop Yonny Hernandez to first baseman Nathaniel Lowe.   Luis Rengifo out at 2nd.    David Fletcher out at 1st.",0,0,0,1,8,-0.52,4.52
64,2021-09-30,664058,656685,field_out,hit_into_play,1.0,"David Fletcher grounds out, third baseman Brock Holt to first baseman Nathaniel Lowe.",2,1,0,4,6,-0.82,3.16
65,2021-09-30,664058,656685,,called_strike,5.0,"David Fletcher grounds out, third baseman Brock Holt to first baseman Nathaniel Lowe.",2,0,0,3,6,-0.09,2.17
66,2021-09-30,664058,656685,,ball,13.0,"David Fletcher grounds out, third baseman Brock Holt to first baseman Nathaniel Lowe.",1,0,0,2,6,-0.78,1.14
67,2021-09-30,664058,656685,,ball,14.0,"David Fletcher grounds out, third baseman Brock Holt to first baseman Nathaniel Lowe.",0,0,0,1,6,1.69,1.53
68,2021-09-29,664058,621368,grounded_into_double_play,hit_into_play,2.0,"David Fletcher grounds into a double play, shortstop Isiah Kiner-Falefa to first baseman Nathaniel Lowe.   Luis Rengifo out at 2nd.    David Fletcher out at 1st.",0,0,1,1,5,-0.26,3.23
69,2021-09-29,664058,621368,field_out,hit_into_play,4.0,"David Fletcher grounds out, shortstop Isiah Kiner-Falefa to first baseman Nathaniel Lowe.   Juan Lagares to 3rd.    Luis Rengifo to 2nd.",0,1,1,2,2,-0.37,2.67
70,2021-09-29,664058,621368,,called_strike,6.0,"David Fletcher grounds out, shortstop Isiah Kiner-Falefa to first baseman Nathaniel Lowe.   Juan Lagares to 3rd.    Luis Rengifo to 2nd.",0,0,1,1,2,0.66,2.27
71,2021-09-29,664058,605194,strikeout,swinging_strike,14.0,David Fletcher strikes out swinging.,1,2,2,4,6,1.12,2.34
72,2021-09-29,664058,605194,,ball,11.0,David Fletcher strikes out swinging.,0,2,2,3,6,-0.25,5.09
73,2021-09-29,664058,605194,,foul,4.0,David Fletcher strikes out swinging.,0,1,2,2,6,-0.36,2.1
74,2021-09-29,664058,605194,,called_strike,6.0,David Fletcher strikes out swinging.,0,0,2,1,6,0.4,2.15
75,2021-09-29,664058,622250,field_out,hit_into_play,11.0,David Fletcher flies out to center fielder Leody Taveras.,0,1,0,2,9,-0.54,3.45
76,2021-09-29,664058,622250,,foul,6.0,David Fletcher flies out to center fielder Leody Taveras.,0,0,0,1,9,0.42,2.62
77,2021-09-28,664058,669935,field_out,hit_into_play,2.0,David Fletcher lines out to center fielder Leody Taveras.,2,0,1,3,5,0.14,2.89
78,2021-09-28,664058,669935,,ball,12.0,David Fletcher lines out to center fielder Leody Taveras.,1,0,1,2,5,1.5,3.24
79,2021-09-28,664058,669935,,ball,14.0,David Fletcher lines out to center fielder Leody Taveras.,0,0,1,1,5,0.32,1.09
80,2021-09-28,664058,669935,field_out,hit_into_play,12.0,David Fletcher lines out to right fielder Adolis Garcia in foul territory.,1,2,2,5,2,0.7,3.76
81,2021-09-28,664058,669935,,foul,3.0,David Fletcher lines out to right fielder Adolis Garcia in foul territory.,1,2,2,4,2,0.41,2.89
82,2021-09-28,664058,669935,,foul,8.0,David Fletcher lines out to right fielder Adolis Garcia in foul territory.,1,1,2,3,2,0.06,1.77
83,2021-09-28,664058,669935,,ball,12.0,David Fletcher lines out to right fielder Adolis Garcia in foul territory.,0,1,2,2,2,1.22,2.52
84,2021-09-28,664058,669935,,called_strike,12.0,David Fletcher lines out to right fielder Adolis Garcia in foul territory.,0,0,2,1,2,0.3,3.34
85,2021-09-28,664058,642701,field_out,hit_into_play,5.0,David Fletcher flies out to center fielder Leody Taveras.,1,1,1,3,8,-0.02,2.19
86,2021-09-28,664058,642701,,called_strike,11.0,David Fletcher flies out to center fielder Leody Taveras.,1,0,1,2,8,-0.61,3.46
87,2021-09-28,664058,642701,,ball,11.0,David Fletcher flies out to center fielder Leody Taveras.,0,0,1,1,8,-1.76,2.33
88,2021-09-26,664058,594835,field_out,hit_into_play,14.0,David Fletcher pops out to first baseman Ty France in foul territory.,1,2,2,4,7,0.56,0.92
89,2021-09-26,664058,594835,,foul,5.0,David Fletcher pops out to first baseman Ty France in foul territory.,1,1,2,3,7,0.0,2.65
