,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-01,553869,528748,single,hit_into_play,5,Elias Diaz singles on a sharp ground ball to left fielder David Peralta.   C.J. Cron scores.    Ryan McMahon to 3rd.,0,0,1,1,6,0.03,2.65
1,2021-10-01,553869,528748,strikeout,called_strike,12,Elias Diaz called out on strikes.,0,2,2,3,4,0.26,3.38
2,2021-10-01,553869,528748,,called_strike,8,Elias Diaz called out on strikes.,0,1,2,2,4,0.03,1.4
3,2021-10-01,553869,528748,,called_strike,6,Elias Diaz called out on strikes.,0,0,2,1,4,0.73,2.2
4,2021-10-01,553869,528748,field_out,hit_into_play,2,Elias Diaz pops out to second baseman Ketel Marte on the infield fly rule.,0,0,0,1,2,-0.05,2.97
5,2021-09-28,553869,571578,field_out,hit_into_play,9,"Elias Diaz grounds out, third baseman Carter Kieboom to first baseman Ryan Zimmerman.",2,0,0,3,6,0.42,1.44
6,2021-09-28,553869,571578,,ball,11,"Elias Diaz grounds out, third baseman Carter Kieboom to first baseman Ryan Zimmerman.",1,0,0,2,6,-0.53,3.44
7,2021-09-28,553869,571578,,ball,12,"Elias Diaz grounds out, third baseman Carter Kieboom to first baseman Ryan Zimmerman.",0,0,0,1,6,1.07,3.06
8,2021-09-28,553869,571578,single,hit_into_play,5,Elias Diaz singles on a ground ball to right fielder Juan Soto.   C.J. Cron to 2nd.,0,0,1,1,4,-0.17,2.48
9,2021-09-28,553869,571578,single,hit_into_play,14,Elias Diaz singles on a sharp line drive to center fielder Lane Thomas.,3,2,0,7,2,0.15,1.2
10,2021-09-28,553869,571578,,ball,12,Elias Diaz singles on a sharp line drive to center fielder Lane Thomas.,2,2,0,6,2,0.22,3.54
11,2021-09-28,553869,571578,,foul,13,Elias Diaz singles on a sharp line drive to center fielder Lane Thomas.,2,2,0,5,2,-0.81,0.88
12,2021-09-28,553869,571578,,foul,7,Elias Diaz singles on a sharp line drive to center fielder Lane Thomas.,2,1,0,4,2,-0.44,1.85
13,2021-09-28,553869,571578,,ball,13,Elias Diaz singles on a sharp line drive to center fielder Lane Thomas.,1,1,0,3,2,-1.01,0.81
14,2021-09-28,553869,571578,,ball,13,Elias Diaz singles on a sharp line drive to center fielder Lane Thomas.,0,1,0,2,2,-0.5,0.98
15,2021-09-28,553869,571578,,called_strike,2,Elias Diaz singles on a sharp line drive to center fielder Lane Thomas.,0,0,0,1,2,0.14,3.12
16,2021-09-28,553869,641907,field_out,hit_into_play,4,Elias Diaz flies out to first baseman Ryan Zimmerman in foul territory.,0,0,0,1,8,-0.36,2.25
17,2021-09-27,553869,680686,strikeout,swinging_strike,6,Elias Diaz strikes out swinging.,1,2,2,4,4,0.5,2.22
18,2021-09-27,553869,680686,,ball,14,Elias Diaz strikes out swinging.,0,2,2,3,4,2.34,-0.79
19,2021-09-27,553869,680686,,swinging_strike,8,Elias Diaz strikes out swinging.,0,1,2,2,4,-0.07,1.74
20,2021-09-27,553869,680686,,called_strike,2,Elias Diaz strikes out swinging.,0,0,2,1,4,0.06,2.78
21,2021-09-27,553869,680686,field_out,hit_into_play,7,Elias Diaz pops out to third baseman Carter Kieboom in foul territory.,0,0,1,1,2,-0.49,1.88
22,2021-09-27,553869,640448,single,hit_into_play,9,Elias Diaz singles on a line drive to center fielder Lane Thomas.,0,1,1,2,8,0.42,1.67
23,2021-09-27,553869,608723,single,hit_into_play,5,Elias Diaz singles on a line drive to right fielder Juan Soto.   Ryan McMahon to 3rd.,2,2,1,6,6,0.25,2.48
24,2021-09-27,553869,608723,,ball,14,Elias Diaz singles on a line drive to right fielder Juan Soto.   Ryan McMahon to 3rd.,1,2,1,5,6,0.37,1.29
25,2021-09-27,553869,640448,,swinging_strike,14,Elias Diaz singles on a line drive to center fielder Lane Thomas.,0,0,1,1,8,0.62,0.99
26,2021-09-27,553869,608723,,foul,9,Elias Diaz singles on a line drive to right fielder Juan Soto.   Ryan McMahon to 3rd.,1,2,1,4,6,0.51,1.99
27,2021-09-27,553869,608723,,foul,3,Elias Diaz singles on a line drive to right fielder Juan Soto.   Ryan McMahon to 3rd.,1,1,1,3,6,0.45,2.92
28,2021-09-27,553869,608723,,blocked_ball,14,Elias Diaz singles on a line drive to right fielder Juan Soto.   Ryan McMahon to 3rd.,0,1,1,2,6,1.13,1.04
29,2021-09-27,553869,608723,,called_strike,12,Elias Diaz singles on a line drive to right fielder Juan Soto.   Ryan McMahon to 3rd.,0,0,1,1,6,0.86,2.84
