,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,543333,608678,strikeout,swinging_strike,1,Eric Hosmer strikes out swinging.,2,2,2,6,9,-0.64,3.31
1,2021-10-03,543333,608678,,foul,2,Eric Hosmer strikes out swinging.,2,2,2,5,9,0.06,3.15
2,2021-10-03,543333,608678,,swinging_strike,4,Eric Hosmer strikes out swinging.,2,1,2,4,9,-0.44,2.67
3,2021-10-03,543333,608678,,ball,14,Eric Hosmer strikes out swinging.,1,1,2,3,9,0.63,0.55
4,2021-10-03,543333,608678,,ball,13,Eric Hosmer strikes out swinging.,0,1,2,2,9,-0.7,1.54
5,2021-10-03,543333,608678,,swinging_strike,13,Eric Hosmer strikes out swinging.,0,0,2,1,9,-1.01,2.45
6,2021-10-02,543333,666808,strikeout,swinging_strike_blocked,14,Eric Hosmer strikes out swinging.,1,2,2,4,9,0.56,0.71
7,2021-10-02,543333,666808,,foul,12,Eric Hosmer strikes out swinging.,1,1,2,3,9,0.17,4.13
8,2021-10-02,543333,666808,,called_strike,7,Eric Hosmer strikes out swinging.,1,0,2,2,9,-0.5,2.2
9,2021-10-02,543333,666808,,ball,11,Eric Hosmer strikes out swinging.,0,0,2,1,9,-1.07,3.07
10,2021-10-01,543333,543101,field_out,hit_into_play,13,"Eric Hosmer grounds out, first baseman Wilmer Flores to pitcher Anthony DeSclafani.",2,2,2,5,4,-0.46,1.17
11,2021-10-01,543333,543101,,ball,13,"Eric Hosmer grounds out, first baseman Wilmer Flores to pitcher Anthony DeSclafani.",1,2,2,4,4,-0.08,-0.38
12,2021-10-01,543333,543101,,foul,12,"Eric Hosmer grounds out, first baseman Wilmer Flores to pitcher Anthony DeSclafani.",1,1,2,3,4,0.49,4.26
13,2021-10-01,543333,543101,,ball,13,"Eric Hosmer grounds out, first baseman Wilmer Flores to pitcher Anthony DeSclafani.",0,1,2,2,4,-1.2,1.12
14,2021-10-01,543333,543101,,called_strike,8,"Eric Hosmer grounds out, first baseman Wilmer Flores to pitcher Anthony DeSclafani.",0,0,2,1,4,-0.24,2.05
15,2021-10-01,543333,543101,field_out,hit_into_play,4,"Eric Hosmer grounds out, third baseman Evan Longoria to first baseman Wilmer Flores.",0,2,0,3,2,-0.38,2.24
16,2021-10-01,543333,543101,,called_strike,4,"Eric Hosmer grounds out, third baseman Evan Longoria to first baseman Wilmer Flores.",0,1,0,2,2,-0.59,2.43
17,2021-10-01,543333,543101,,swinging_strike,13,"Eric Hosmer grounds out, third baseman Evan Longoria to first baseman Wilmer Flores.",0,0,0,1,2,-1.15,1.99
18,2021-10-01,543333,501625,single,hit_into_play,12,"Eric Hosmer singles on a ground ball to third baseman Evan Longoria.  Fernando Tatis out at home, third baseman Evan Longoria.   Jake Cronenworth to 2nd.",0,2,2,3,6,1.48,2.86
19,2021-10-01,543333,501625,,called_strike,4,"Eric Hosmer singles on a ground ball to third baseman Evan Longoria.  Fernando Tatis out at home, third baseman Evan Longoria.   Jake Cronenworth to 2nd.",0,1,2,2,6,-0.47,2.57
20,2021-10-01,543333,501625,,called_strike,5,"Eric Hosmer singles on a ground ball to third baseman Evan Longoria.  Fernando Tatis out at home, third baseman Evan Longoria.   Jake Cronenworth to 2nd.",0,0,2,1,6,0.08,2.68
