,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,666158,596057,walk,ball,14,Gavin Lux walks.,3,2,2,6,8,1.14,1.7
1,2021-10-03,666158,596057,,ball,14,Gavin Lux walks.,2,2,2,5,8,0.86,1.31
2,2021-10-03,666158,596057,,called_strike,1,Gavin Lux walks.,2,1,2,4,8,-0.51,3.08
3,2021-10-03,666158,596057,,ball,7,Gavin Lux walks.,1,1,2,3,8,-0.35,1.47
4,2021-10-03,666158,596057,,foul,3,Gavin Lux walks.,1,0,2,2,8,0.79,3.28
5,2021-10-03,666158,596057,,ball,13,Gavin Lux walks.,0,0,2,1,8,-0.94,0.92
6,2021-10-03,666158,623352,strikeout,swinging_strike,5,Gavin Lux strikes out swinging.,3,2,0,8,7,0.11,2.19
7,2021-10-03,666158,623352,,foul,3,Gavin Lux strikes out swinging.,3,2,0,7,7,0.63,3.35
8,2021-10-03,666158,623352,,ball,13,Gavin Lux strikes out swinging.,2,2,0,6,7,-1.73,1.82
9,2021-10-03,666158,623352,,foul,2,Gavin Lux strikes out swinging.,2,2,0,5,7,-0.11,3.12
10,2021-10-03,666158,623352,,called_strike,4,Gavin Lux strikes out swinging.,2,1,0,4,7,-0.79,2.55
11,2021-10-03,666158,623352,,ball,11,Gavin Lux strikes out swinging.,1,1,0,3,7,-1.63,3.44
12,2021-10-03,666158,623352,,foul_tip,1,Gavin Lux strikes out swinging.,1,0,0,2,7,-0.41,3.43
13,2021-10-03,666158,623352,,ball,11,Gavin Lux strikes out swinging.,0,0,0,1,7,-1.05,3.09
14,2021-09-29,666158,677960,field_out,hit_into_play,12,Gavin Lux pops out to catcher Victor Caratini in foul territory.,2,1,2,4,3,0.42,3.82
15,2021-09-29,666158,677960,,foul,4,Gavin Lux pops out to catcher Victor Caratini in foul territory.,2,0,2,3,3,-0.61,2.5
