,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,608336,608379,walk,ball,13.0,Joey Gallo walks.,3,2,0,6,5,-0.22,0.85
1,2021-10-03,608336,608379,,ball,13.0,Joey Gallo walks.,2,2,0,5,5,-1.5,0.81
2,2021-10-03,608336,608379,,foul,2.0,Joey Gallo walks.,2,1,0,4,5,-0.25,3.06
3,2021-10-03,608336,608379,,ball,13.0,Joey Gallo walks.,1,1,0,3,5,-1.22,2.25
4,2021-10-03,608336,608379,,swinging_strike,7.0,Joey Gallo walks.,1,0,0,2,5,-0.38,2.1
5,2021-10-03,608336,608379,,ball,2.0,Joey Gallo walks.,0,0,0,1,5,0.08,3.28
6,2021-10-03,608336,608379,field_out,hit_into_play,8.0,Joey Gallo flies out sharply to center fielder Kevin Kiermaier.,0,1,1,2,2,0.2,2.0
7,2021-10-03,608336,608379,,foul,13.0,Joey Gallo flies out sharply to center fielder Kevin Kiermaier.,0,0,1,1,2,-0.16,1.53
8,2021-10-03,608336,543521,strikeout,called_strike,7.0,Joey Gallo called out on strikes.,0,2,2,3,7,-0.53,1.66
9,2021-10-03,608336,543521,,swinging_strike,1.0,Joey Gallo called out on strikes.,0,1,2,2,7,-0.53,3.6
10,2021-10-03,608336,543521,,called_strike,1.0,Joey Gallo called out on strikes.,0,0,2,1,7,-0.7,3.15
11,2021-10-02,608336,669358,strikeout,swinging_strike,11.0,Joey Gallo strikes out swinging.,2,2,2,5,1,-0.89,3.84
12,2021-10-02,608336,669358,,blocked_ball,13.0,Joey Gallo strikes out swinging.,1,2,2,4,1,-0.94,0.83
13,2021-10-02,608336,669358,,foul,8.0,Joey Gallo strikes out swinging.,1,1,2,3,1,0.02,1.91
14,2021-10-02,608336,669358,,ball,11.0,Joey Gallo strikes out swinging.,0,1,2,2,1,-1.55,3.77
15,2021-10-02,608336,669358,,foul_tip,5.0,Joey Gallo strikes out swinging.,0,0,2,1,1,-0.13,2.87
16,2021-10-02,608336,672715,field_out,hit_into_play,7.0,Joey Gallo grounds out softly to first baseman Francisco Mejia.,2,2,1,6,6,-0.73,1.85
17,2021-10-02,608336,672715,,foul,5.0,Joey Gallo grounds out softly to first baseman Francisco Mejia.,2,2,1,5,6,-0.07,2.99
18,2021-10-02,608336,672715,,ball,11.0,Joey Gallo grounds out softly to first baseman Francisco Mejia.,1,2,1,4,6,-1.25,4.08
19,2021-10-02,608336,672715,,foul,6.0,Joey Gallo grounds out softly to first baseman Francisco Mejia.,1,1,1,3,6,0.39,2.7
20,2021-10-02,608336,672715,,ball,11.0,Joey Gallo grounds out softly to first baseman Francisco Mejia.,0,1,1,2,6,-1.11,2.45
21,2021-10-02,608336,672715,,foul,5.0,Joey Gallo grounds out softly to first baseman Francisco Mejia.,0,0,1,1,6,-0.18,2.77
22,2021-10-02,608336,656420,single,hit_into_play,2.0,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,2,2,1,5,4,0.02,3.08
23,2021-10-02,608336,656420,,ball,13.0,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,1,2,1,4,4,-0.22,0.25
24,2021-10-02,608336,656420,,ball,13.0,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,0,2,1,3,4,-0.89,0.81
25,2021-10-02,608336,656420,,swinging_strike,7.0,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,0,1,1,2,4,-0.47,1.61
26,2021-10-02,608336,607391,strikeout,swinging_strike,13.0,Joey Gallo strikes out swinging.,0,2,2,3,8,-0.48,1.35
27,2021-10-02,608336,607391,,foul,8.0,Joey Gallo strikes out swinging.,0,1,2,2,8,0.23,2.23
28,2021-10-02,608336,656420,,foul_tip,8.0,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,0,0,1,1,4,0.08,2.07
29,2021-10-02,608336,607391,,swinging_strike,9.0,Joey Gallo strikes out swinging.,0,0,2,1,8,0.52,1.63
30,2021-10-01,608336,545343,field_out,hit_into_play,8.0,Joey Gallo lines out to right fielder Manuel Margot.,2,1,2,4,6,-0.18,1.58
31,2021-10-01,608336,545343,,foul,5.0,Joey Gallo lines out to right fielder Manuel Margot.,2,0,2,3,6,-0.12,2.4
32,2021-10-01,608336,545343,,ball,11.0,Joey Gallo lines out to right fielder Manuel Margot.,1,0,2,2,6,-0.24,4.18
33,2021-10-01,608336,545343,,ball,13.0,Joey Gallo lines out to right fielder Manuel Margot.,0,0,2,1,6,-0.51,1.38
34,2021-10-01,608336,663556,strikeout,called_strike,9.0,Joey Gallo called out on strikes.,3,2,2,6,1,0.64,1.71
35,2021-10-01,608336,663556,,ball,11.0,Joey Gallo called out on strikes.,2,2,2,5,1,-1.1,3.3
36,2021-10-01,608336,663556,,blocked_ball,13.0,Joey Gallo called out on strikes.,1,2,2,4,1,-2.07,0.22
37,2021-10-01,608336,663556,,swinging_strike,13.0,Joey Gallo called out on strikes.,1,1,2,3,1,-1.36,1.76
38,2021-10-01,608336,663556,,ball,11.0,Joey Gallo called out on strikes.,0,1,2,2,1,-1.4,3.58
39,2021-10-01,608336,663556,,swinging_strike,4.0,Joey Gallo called out on strikes.,0,0,2,1,1,-0.59,2.71
40,2021-10-01,608336,664126,field_out,hit_into_play,4.0,"Joey Gallo grounds out, second baseman Joey Wendle to first baseman Ji-Man Choi.",0,1,1,2,4,-0.64,2.81
41,2021-10-01,608336,664126,,called_strike,13.0,"Joey Gallo grounds out, second baseman Joey Wendle to first baseman Ji-Man Choi.",0,0,1,1,4,-0.14,1.52
42,2021-10-01,608336,552640,single,hit_into_play,6.0,Joey Gallo singles on a bunt ground ball to shortstop Wander Franco.   Giancarlo Stanton scores.,0,0,1,1,9,0.78,2.52
43,2021-09-29,608336,621244,strikeout,called_strike,14.0,Joey Gallo called out on strikes.,1,2,1,4,5,0.84,1.64
44,2021-09-29,608336,621244,,ball,11.0,Joey Gallo called out on strikes.,0,2,1,3,5,0.0,4.73
45,2021-09-29,608336,621244,,foul,1.0,Joey Gallo called out on strikes.,0,1,1,2,5,-0.57,3.04
46,2021-09-29,608336,621244,,called_strike,5.0,Joey Gallo called out on strikes.,0,0,1,1,5,0.23,2.44
47,2021-09-29,608336,621244,field_out,hit_into_play,7.0,Joey Gallo lines out sharply to center fielder George Springer.,1,2,1,4,2,-0.8,2.07
48,2021-09-29,608336,621244,,foul,2.0,Joey Gallo lines out sharply to center fielder George Springer.,1,1,1,3,2,0.04,3.66
49,2021-09-29,608336,621244,,called_strike,13.0,Joey Gallo lines out sharply to center fielder George Springer.,1,0,1,2,2,-0.92,1.62
50,2021-09-29,608336,621244,,ball,11.0,Joey Gallo lines out sharply to center fielder George Springer.,0,0,1,1,2,-1.58,3.23
51,2021-09-29,608336,641835,hit_by_pitch,hit_by_pitch,12.0,Joey Gallo hit by pitch.,1,1,0,3,7,1.49,3.3
52,2021-09-29,608336,641835,,ball,13.0,Joey Gallo hit by pitch.,0,1,0,2,7,-1.31,0.45
53,2021-09-29,608336,641835,,called_strike,5.0,Joey Gallo hit by pitch.,0,0,0,1,7,-0.14,2.8
54,2021-09-28,608336,547943,field_out,hit_into_play,13.0,Joey Gallo flies out to shortstop Bo Bichette.,2,2,0,5,4,-0.96,2.48
55,2021-09-28,608336,547943,,foul,5.0,Joey Gallo flies out to shortstop Bo Bichette.,2,1,0,4,4,-0.13,2.31
56,2021-09-28,608336,547943,,ball,13.0,Joey Gallo flies out to shortstop Bo Bichette.,1,1,0,3,4,-1.67,1.65
57,2021-09-28,608336,547943,,foul,8.0,Joey Gallo flies out to shortstop Bo Bichette.,1,0,0,2,4,-0.03,2.01
58,2021-09-28,608336,547943,,ball,11.0,Joey Gallo flies out to shortstop Bo Bichette.,0,0,0,1,4,-1.05,2.83
59,2021-09-28,608336,621593,strikeout,called_strike,13.0,Joey Gallo called out on strikes.,2,2,2,5,9,-0.87,2.0
60,2021-09-28,608336,621593,,foul,5.0,Joey Gallo called out on strikes.,2,1,2,4,9,0.09,2.86
61,2021-09-28,608336,621593,,ball,11.0,Joey Gallo called out on strikes.,1,1,2,3,9,-1.1,3.72
62,2021-09-28,608336,621593,,ball,14.0,Joey Gallo called out on strikes.,0,1,2,2,9,0.87,1.3
63,2021-09-28,608336,621593,,called_strike,1.0,Joey Gallo called out on strikes.,0,0,2,1,9,-0.39,3.37
64,2021-09-28,608336,547943,field_out,hit_into_play,7.0,Joey Gallo pops out to third baseman Santiago Espinal.,2,2,2,6,1,-0.81,2.12
65,2021-09-28,608336,547943,,foul,7.0,Joey Gallo pops out to third baseman Santiago Espinal.,2,2,2,5,1,-0.34,2.14
66,2021-09-28,608336,547943,,foul,5.0,Joey Gallo pops out to third baseman Santiago Espinal.,2,1,2,4,1,0.21,2.39
67,2021-09-28,608336,547943,,ball,11.0,Joey Gallo pops out to third baseman Santiago Espinal.,1,1,2,3,1,-0.64,4.21
68,2021-09-28,608336,547943,,swinging_strike_blocked,13.0,Joey Gallo pops out to third baseman Santiago Espinal.,1,0,2,2,1,-1.04,0.78
69,2021-09-28,608336,547943,,ball,13.0,Joey Gallo pops out to third baseman Santiago Espinal.,0,0,2,1,1,-1.62,2.43
70,2021-09-28,608336,657240,strikeout,swinging_strike,5.0,Joey Gallo strikes out swinging.,1,2,2,5,7,0.03,2.72
71,2021-09-28,608336,657240,,ball,14.0,Joey Gallo strikes out swinging.,0,2,2,4,7,1.45,2.27
72,2021-09-28,608336,663878,strikeout,swinging_strike,1.0,Joey Gallo strikes out swinging.,1,2,0,4,6,-0.82,3.17
73,2021-09-28,608336,657240,,foul,4.0,Joey Gallo strikes out swinging.,0,2,2,3,7,-0.72,2.68
74,2021-09-28,608336,663878,,foul,5.0,Joey Gallo strikes out swinging.,1,1,0,3,6,-0.04,2.73
75,2021-09-28,608336,657240,,swinging_strike,5.0,Joey Gallo strikes out swinging.,0,1,2,2,7,-0.2,2.32
76,2021-09-28,608336,663878,,swinging_strike,5.0,Joey Gallo strikes out swinging.,1,0,0,2,6,-0.22,2.65
77,2021-09-28,608336,657240,,swinging_strike,8.0,Joey Gallo strikes out swinging.,0,0,2,1,7,-0.18,1.56
78,2021-09-28,608336,663878,,ball,11.0,Joey Gallo strikes out swinging.,0,0,0,1,6,-0.18,4.49
79,2021-09-26,608336,593958,strikeout,swinging_strike,11.0,Joey Gallo strikes out swinging.,1,2,2,5,4,-0.21,3.72
80,2021-09-26,608336,593958,,foul,5.0,Joey Gallo strikes out swinging.,1,2,2,4,4,0.08,2.85
81,2021-09-26,608336,593958,,swinging_strike_blocked,13.0,Joey Gallo strikes out swinging.,1,1,2,3,4,-0.45,1.08
82,2021-09-26,608336,593958,,ball,12.0,Joey Gallo strikes out swinging.,0,1,2,2,4,0.8,3.88
83,2021-09-26,608336,593958,,called_strike,2.0,Joey Gallo strikes out swinging.,0,0,2,1,4,-0.07,3.06
