,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-02,570731,608337,field_out,hit_into_play,6,Jonathan Schoop lines out to second baseman Leury Garcia.,1,1,0,3,4,0.46,2.64
1,2021-10-02,570731,608337,,ball,14,Jonathan Schoop lines out to second baseman Leury Garcia.,0,1,0,2,4,1.63,0.36
2,2021-10-02,570731,608337,,called_strike,8,Jonathan Schoop lines out to second baseman Leury Garcia.,0,0,0,1,4,0.03,1.65
3,2021-10-02,570731,621114,strikeout,swinging_strike,11,Jonathan Schoop strikes out swinging.,1,2,0,5,6,-0.75,3.88
4,2021-10-02,570731,621114,,foul,8,Jonathan Schoop strikes out swinging.,1,2,0,4,6,0.12,1.78
5,2021-10-02,570731,608337,field_out,hit_into_play,5,Jonathan Schoop flies out to left fielder Eloy Jimenez.,0,0,1,1,1,0.07,2.44
6,2021-10-02,570731,621114,,swinging_strike_blocked,14,Jonathan Schoop strikes out swinging.,1,1,0,3,6,0.38,0.88
7,2021-10-02,570731,621114,,swinging_strike,8,Jonathan Schoop strikes out swinging.,1,0,0,2,6,0.11,1.65
8,2021-10-02,570731,621114,,ball,13,Jonathan Schoop strikes out swinging.,0,0,0,1,6,-1.05,1.94
9,2021-10-02,570731,641582,field_out,hit_into_play,2,Jonathan Schoop lines out to right fielder Adam Engel.,2,2,2,7,7,0.15,2.91
10,2021-10-02,570731,641582,,foul,2,Jonathan Schoop lines out to right fielder Adam Engel.,2,2,2,6,7,0.17,3.3
11,2021-10-02,570731,641582,,foul,12,Jonathan Schoop lines out to right fielder Adam Engel.,2,2,2,5,7,0.23,3.9
12,2021-10-02,570731,641582,,ball,11,Jonathan Schoop lines out to right fielder Adam Engel.,1,2,2,4,7,-0.84,4.32
13,2021-10-02,570731,641582,,foul,3,Jonathan Schoop lines out to right fielder Adam Engel.,1,1,2,3,7,0.47,2.85
14,2021-10-02,570731,641582,,ball,14,Jonathan Schoop lines out to right fielder Adam Engel.,0,1,2,2,7,1.01,2.28
15,2021-10-02,570731,641582,,foul,3,Jonathan Schoop lines out to right fielder Adam Engel.,0,0,2,1,7,0.49,3.45
16,2021-10-01,570731,458681,field_out,hit_into_play,4,"Jonathan Schoop grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.",1,2,0,4,4,-0.29,2.31
17,2021-10-01,570731,458681,,foul,14,"Jonathan Schoop grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.",1,1,0,3,4,0.91,1.4
18,2021-10-01,570731,458681,,ball,14,"Jonathan Schoop grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.",0,1,0,2,4,0.39,1.6
19,2021-10-01,570731,458681,,foul,11,"Jonathan Schoop grounds out, third baseman Yoan Moncada to first baseman Jose Abreu.",0,0,0,1,4,-1.08,2.61
20,2021-10-01,570731,676979,single,hit_into_play,5,Jonathan Schoop singles on a line drive to right fielder Leury Garcia.   Robbie Grossman to 2nd.,1,1,1,3,6,-0.11,2.78
21,2021-10-01,570731,676979,,foul,3,Jonathan Schoop singles on a line drive to right fielder Leury Garcia.   Robbie Grossman to 2nd.,1,0,1,2,6,0.56,3.21
22,2021-10-01,570731,676979,,ball,3,Jonathan Schoop singles on a line drive to right fielder Leury Garcia.   Robbie Grossman to 2nd.,0,0,1,1,6,0.69,3.54
23,2021-10-01,570731,458681,field_out,hit_into_play,9,"Jonathan Schoop grounds out, shortstop Tim Anderson to first baseman Jose Abreu.",0,2,2,3,1,0.71,2.04
24,2021-10-01,570731,458681,,swinging_strike,12,"Jonathan Schoop grounds out, shortstop Tim Anderson to first baseman Jose Abreu.",0,1,2,2,1,0.8,3.67
25,2021-10-01,570731,458681,,foul,2,"Jonathan Schoop grounds out, shortstop Tim Anderson to first baseman Jose Abreu.",0,0,2,1,1,0.09,3.13
26,2021-10-01,570731,518886,strikeout,swinging_strike_blocked,14,Jonathan Schoop strikes out swinging.,1,2,0,4,8,1.59,0.0
27,2021-10-01,570731,518886,,ball,12,Jonathan Schoop strikes out swinging.,0,2,0,3,8,1.17,4.41
28,2021-10-01,570731,518886,,swinging_strike,5,Jonathan Schoop strikes out swinging.,0,1,0,2,8,0.26,2.72
29,2021-10-01,570731,518886,,called_strike,6,Jonathan Schoop strikes out swinging.,0,0,0,1,8,0.29,2.83
30,2021-09-30,570731,657746,single,hit_into_play,6,"Jonathan Schoop singles on a sharp line drive to center fielder Byron Buxton, deflected by shortstop Andrelton Simmons.   Akil Baddoo scores.",0,2,2,4,5,0.42,2.54
31,2021-09-30,570731,657746,,foul,12,"Jonathan Schoop singles on a sharp line drive to center fielder Byron Buxton, deflected by shortstop Andrelton Simmons.   Akil Baddoo scores.",0,2,2,3,5,0.17,3.74
32,2021-09-30,570731,657746,,swinging_strike,6,"Jonathan Schoop singles on a sharp line drive to center fielder Byron Buxton, deflected by shortstop Andrelton Simmons.   Akil Baddoo scores.",0,1,2,2,5,0.53,2.67
33,2021-09-30,570731,657746,,swinging_strike,6,"Jonathan Schoop singles on a sharp line drive to center fielder Byron Buxton, deflected by shortstop Andrelton Simmons.   Akil Baddoo scores.",0,0,2,1,5,0.37,2.82
34,2021-09-30,570731,657746,double,hit_into_play,8,Jonathan Schoop doubles (30) on a line drive to left fielder Brent Rooker.,1,2,1,4,4,-0.01,1.64
35,2021-09-30,570731,657746,,foul,7,Jonathan Schoop doubles (30) on a line drive to left fielder Brent Rooker.,1,1,1,3,4,-0.57,1.6
36,2021-09-30,570731,657746,,foul,2,Jonathan Schoop doubles (30) on a line drive to left fielder Brent Rooker.,1,0,1,2,4,-0.23,3.36
37,2021-09-30,570731,657746,,ball,12,Jonathan Schoop doubles (30) on a line drive to left fielder Brent Rooker.,0,0,1,1,4,1.51,2.7
38,2021-09-30,570731,657746,strikeout,swinging_strike,12,Jonathan Schoop strikes out swinging.,1,2,0,5,2,0.9,2.57
39,2021-09-30,570731,657746,,foul,5,Jonathan Schoop strikes out swinging.,1,2,0,4,2,-0.13,2.55
40,2021-09-30,570731,657746,,ball,14,Jonathan Schoop strikes out swinging.,0,2,0,3,2,0.74,1.26
41,2021-09-30,570731,657746,,swinging_strike,14,Jonathan Schoop strikes out swinging.,0,1,0,2,2,0.83,1.33
42,2021-09-30,570731,657746,,called_strike,5,Jonathan Schoop strikes out swinging.,0,0,0,1,2,-0.22,2.31
43,2021-09-30,570731,607457,home_run,hit_into_play,4,Jonathan Schoop homers (22) on a line drive to left field.,0,0,2,1,9,-0.4,2.73
44,2021-09-30,570731,621248,walk,ball,13,Jonathan Schoop walks.,3,1,0,5,8,-1.7,2.48
45,2021-09-30,570731,621248,,ball,13,Jonathan Schoop walks.,2,1,0,4,8,-1.35,2.22
46,2021-09-30,570731,621248,,ball,14,Jonathan Schoop walks.,1,1,0,3,8,3.19,2.19
47,2021-09-30,570731,621248,,called_strike,9,Jonathan Schoop walks.,1,0,0,2,8,0.64,1.64
48,2021-09-30,570731,621248,,ball,12,Jonathan Schoop walks.,0,0,0,1,8,2.42,2.87
49,2021-09-29,570731,501381,strikeout,swinging_strike,14,Jonathan Schoop strikes out swinging.,1,2,1,4,5,0.26,1.13
50,2021-09-29,570731,501381,,blocked_ball,14,Jonathan Schoop strikes out swinging.,0,2,1,3,5,1.3,-0.48
51,2021-09-29,570731,501381,,foul,3,Jonathan Schoop strikes out swinging.,0,1,1,2,5,0.41,3.1
52,2021-09-29,570731,501381,,foul,7,Jonathan Schoop strikes out swinging.,0,0,1,1,5,-0.43,1.99
53,2021-09-29,570731,501381,field_out,hit_into_play,8,Jonathan Schoop lines out to center fielder Byron Buxton.,2,0,2,3,3,0.05,1.52
54,2021-09-29,570731,501381,,ball,14,Jonathan Schoop lines out to center fielder Byron Buxton.,1,0,2,2,3,1.04,1.6
55,2021-09-29,570731,501381,,ball,13,Jonathan Schoop lines out to center fielder Byron Buxton.,0,0,2,1,3,-1.01,2.02
56,2021-09-29,570731,573668,field_out,hit_into_play,9,"Jonathan Schoop grounds out, pitcher Juan Minaya to second baseman Luis Arraez to first baseman Miguel Sano.   Akil Baddoo to 2nd.",3,2,1,7,7,0.53,1.92
57,2021-09-29,570731,573668,,foul,14,"Jonathan Schoop grounds out, pitcher Juan Minaya to second baseman Luis Arraez to first baseman Miguel Sano.   Akil Baddoo to 2nd.",3,2,1,6,7,0.99,2.0
