,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,514888,608344,double,hit_into_play,1,Jose Altuve doubles (31) on a sharp line drive to left fielder Mark Canha.,1,1,0,3,6,-0.47,3.11
1,2021-10-03,514888,608344,,ball,13,Jose Altuve doubles (31) on a sharp line drive to left fielder Mark Canha.,0,1,0,2,6,-1.54,0.75
2,2021-10-03,514888,608344,,called_strike,3,Jose Altuve doubles (31) on a sharp line drive to left fielder Mark Canha.,0,0,0,1,6,0.44,2.7
3,2021-10-03,514888,608344,field_out,hit_into_play,3,"Jose Altuve grounds out, second baseman Tony Kemp to first baseman Seth Brown.",2,2,1,5,3,0.42,2.76
4,2021-10-03,514888,608344,,ball,12,"Jose Altuve grounds out, second baseman Tony Kemp to first baseman Seth Brown.",1,2,1,4,3,1.74,2.36
5,2021-10-03,514888,608344,,foul_bunt,14,"Jose Altuve grounds out, second baseman Tony Kemp to first baseman Seth Brown.",1,1,1,3,3,0.15,0.97
6,2021-10-03,514888,608344,,called_strike,4,"Jose Altuve grounds out, second baseman Tony Kemp to first baseman Seth Brown.",1,0,1,2,3,-0.52,1.93
7,2021-10-03,514888,608344,,ball,11,"Jose Altuve grounds out, second baseman Tony Kemp to first baseman Seth Brown.",0,0,1,1,3,-0.99,3.15
8,2021-10-03,514888,489265,double,hit_into_play,2,Jose Altuve doubles (32) on a fly ball to left fielder Mark Canha.   Jake Meyers scores.    Jason Castro to 3rd.,2,2,2,6,7,0.25,3.2
9,2021-10-03,514888,489265,,foul,14,Jose Altuve doubles (32) on a fly ball to left fielder Mark Canha.   Jake Meyers scores.    Jason Castro to 3rd.,2,2,2,5,7,0.85,1.48
10,2021-10-03,514888,489265,,ball,14,Jose Altuve doubles (32) on a fly ball to left fielder Mark Canha.   Jake Meyers scores.    Jason Castro to 3rd.,1,2,2,4,7,0.87,0.8
11,2021-10-03,514888,489265,,called_strike,1,Jose Altuve doubles (32) on a fly ball to left fielder Mark Canha.   Jake Meyers scores.    Jason Castro to 3rd.,1,1,2,3,7,-0.28,2.59
12,2021-10-03,514888,489265,,ball,11,Jose Altuve doubles (32) on a fly ball to left fielder Mark Canha.   Jake Meyers scores.    Jason Castro to 3rd.,0,1,2,2,7,-1.18,2.72
13,2021-10-03,514888,489265,,swinging_strike,6,Jose Altuve doubles (32) on a fly ball to left fielder Mark Canha.   Jake Meyers scores.    Jason Castro to 3rd.,0,0,2,1,7,0.43,2.27
