,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,668942,623485,walk,ball,14,Josh Rojas walks.,3,1,2,5,3,0.8,1.44
1,2021-10-03,668942,623485,,ball,9,Josh Rojas walks.,2,1,2,4,3,0.65,1.59
2,2021-10-03,668942,623485,,ball,13,Josh Rojas walks.,1,1,2,3,3,-0.03,0.99
3,2021-10-03,668942,623485,,ball,13,Josh Rojas walks.,0,1,2,2,3,-0.92,1.4
4,2021-10-03,668942,623485,,called_strike,7,Josh Rojas walks.,0,0,2,1,3,-0.56,1.59
5,2021-10-03,668942,642068,single,hit_into_play,4,Josh Rojas singles on a ground ball to left fielder Raimel Tapia.   Geraldo Perdomo scores.    David Peralta to 2nd.,2,2,2,5,7,-0.73,2.54
6,2021-10-03,668942,642068,,called_strike,4,Josh Rojas singles on a ground ball to left fielder Raimel Tapia.   Geraldo Perdomo scores.    David Peralta to 2nd.,2,1,2,4,7,-0.34,2.59
7,2021-10-03,668942,642068,,ball,11,Josh Rojas singles on a ground ball to left fielder Raimel Tapia.   Geraldo Perdomo scores.    David Peralta to 2nd.,1,1,2,3,7,-1.65,2.84
8,2021-10-03,668942,642068,,called_strike,8,Josh Rojas singles on a ground ball to left fielder Raimel Tapia.   Geraldo Perdomo scores.    David Peralta to 2nd.,1,0,2,2,7,-0.1,1.61
9,2021-10-03,668942,642068,,ball,11,Josh Rojas singles on a ground ball to left fielder Raimel Tapia.   Geraldo Perdomo scores.    David Peralta to 2nd.,0,0,2,1,7,-0.96,3.53
10,2021-10-03,668942,623485,single,hit_into_play,2,Josh Rojas singles on a ground ball to right fielder Sam Hilliard.,2,0,0,3,1,0.07,2.97
11,2021-10-03,668942,656458,field_out,hit_into_play,8,"Josh Rojas grounds out, second baseman Garrett Hampson to first baseman Colton Welker.",1,1,0,3,6,-0.18,1.89
12,2021-10-03,668942,608032,field_out,hit_into_play,8,Josh Rojas flies out to left fielder Raimel Tapia.,1,0,1,2,9,-0.06,1.88
13,2021-10-03,668942,608032,,ball,12,Josh Rojas flies out to left fielder Raimel Tapia.,0,0,1,1,9,0.09,3.83
14,2021-10-03,668942,656458,,swinging_strike,13,"Josh Rojas grounds out, second baseman Garrett Hampson to first baseman Colton Welker.",1,0,0,2,6,-0.05,0.47
15,2021-10-03,668942,623485,,ball,11,Josh Rojas singles on a ground ball to right fielder Sam Hilliard.,1,0,0,2,1,-1.42,3.08
16,2021-10-03,668942,656458,,ball,14,"Josh Rojas grounds out, second baseman Garrett Hampson to first baseman Colton Welker.",0,0,0,1,6,1.03,1.45
17,2021-10-03,668942,623485,,ball,11,Josh Rojas singles on a ground ball to right fielder Sam Hilliard.,0,0,0,1,1,-1.09,4.47
18,2021-10-01,668942,592351,field_out,hit_into_play,7,"Josh Rojas grounds out, pitcher Jon Gray to first baseman C.  J. Cron.",1,2,2,7,4,-0.5,1.57
19,2021-10-01,668942,592351,,foul,1,"Josh Rojas grounds out, pitcher Jon Gray to first baseman C.  J. Cron.",1,2,2,6,4,-0.45,3.14
20,2021-10-01,668942,592351,,foul,14,"Josh Rojas grounds out, pitcher Jon Gray to first baseman C.  J. Cron.",1,2,2,5,4,0.33,1.24
21,2021-10-01,668942,592351,,foul,5,"Josh Rojas grounds out, pitcher Jon Gray to first baseman C.  J. Cron.",1,2,2,4,4,-0.1,2.37
22,2021-10-01,668942,592351,,ball,14,"Josh Rojas grounds out, pitcher Jon Gray to first baseman C.  J. Cron.",0,2,2,3,4,0.31,-0.3
23,2021-10-01,668942,592351,,called_strike,5,"Josh Rojas grounds out, pitcher Jon Gray to first baseman C.  J. Cron.",0,1,2,2,4,-0.19,2.6
24,2021-10-01,668942,592351,,called_strike,8,"Josh Rojas grounds out, pitcher Jon Gray to first baseman C.  J. Cron.",0,0,2,1,4,-0.17,1.73
25,2021-10-01,668942,592351,strikeout,swinging_strike,4,Josh Rojas strikes out swinging.,2,2,0,5,3,-0.79,2.25
26,2021-10-01,668942,592351,,ball,14,Josh Rojas strikes out swinging.,1,2,0,4,3,1.81,-0.09
27,2021-10-01,668942,592351,,ball,14,Josh Rojas strikes out swinging.,0,2,0,3,3,3.09,-0.21
28,2021-10-01,668942,592351,,called_strike,4,Josh Rojas strikes out swinging.,0,1,0,2,3,-0.8,2.45
29,2021-10-01,668942,592351,,called_strike,13,Josh Rojas strikes out swinging.,0,0,0,1,3,-0.95,1.91
30,2021-10-01,668942,608032,strikeout,foul_tip,5,Josh Rojas strikes out on a foul tip.,0,2,2,3,9,-0.27,2.73
31,2021-10-01,668942,608032,,swinging_strike,5,Josh Rojas strikes out on a foul tip.,0,1,2,2,9,0.25,2.66
32,2021-10-01,668942,608032,,called_strike,9,Josh Rojas strikes out on a foul tip.,0,0,2,1,9,0.31,2.09
33,2021-10-01,668942,641755,strikeout,swinging_strike,14,Josh Rojas strikes out swinging.,2,2,1,6,7,0.13,1.07
