,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,665742,519242,strikeout,called_strike,4,Juan Soto called out on strikes.,2,2,0,6,3,-0.56,2.08
1,2021-10-03,665742,519242,,foul,12,Juan Soto called out on strikes.,2,2,0,5,3,1.29,3.19
2,2021-10-03,665742,519242,,ball,9,Juan Soto called out on strikes.,1,2,0,4,3,0.72,1.76
3,2021-10-03,665742,519242,,foul,3,Juan Soto called out on strikes.,1,1,0,3,3,0.45,3.34
4,2021-10-03,665742,519242,,foul,3,Juan Soto called out on strikes.,1,0,0,2,3,0.44,3.17
5,2021-10-03,665742,519242,,ball,13,Juan Soto called out on strikes.,0,0,0,1,3,-1.08,2.04
6,2021-10-03,665742,519242,strikeout,swinging_strike,12,Juan Soto strikes out swinging.,0,2,2,3,1,0.71,3.63
7,2021-10-03,665742,519242,,foul,5,Juan Soto strikes out swinging.,0,1,2,2,1,0.13,2.56
8,2021-10-03,665742,519242,,called_strike,4,Juan Soto strikes out swinging.,0,0,2,1,1,-0.42,2.1
9,2021-10-03,665742,527048,field_out,hit_into_play,4,Juan Soto lines out to center fielder Enrique Hernandez.,1,0,2,2,6,-0.34,2.8
10,2021-10-03,665742,601713,strikeout,called_strike,12,Juan Soto called out on strikes.,0,2,2,3,9,0.21,3.12
11,2021-10-03,665742,527048,,ball,12,Juan Soto lines out to center fielder Enrique Hernandez.,0,0,2,1,6,1.77,4.09
12,2021-10-03,665742,601713,,foul,3,Juan Soto called out on strikes.,0,1,2,2,9,0.33,3.08
13,2021-10-03,665742,601713,,called_strike,6,Juan Soto called out on strikes.,0,0,2,1,9,0.49,2.04
14,2021-10-02,665742,656557,strikeout,called_strike,3,Juan Soto called out on strikes.,2,2,2,5,4,0.83,2.69
15,2021-10-02,665742,656557,,called_strike,8,Juan Soto called out on strikes.,2,1,2,4,4,-0.11,1.66
16,2021-10-02,665742,656557,,ball,12,Juan Soto called out on strikes.,1,1,2,3,4,0.53,4.01
17,2021-10-02,665742,656557,,ball,14,Juan Soto called out on strikes.,0,1,2,2,4,0.39,1.45
18,2021-10-02,665742,656557,,called_strike,7,Juan Soto called out on strikes.,0,0,2,1,4,-0.8,1.62
19,2021-10-02,665742,656557,field_out,hit_into_play,6,"Juan Soto grounds out, third baseman Rafael Devers to first baseman Kyle Schwarber.",0,1,2,2,1,0.45,2.58
20,2021-10-02,665742,656557,,called_strike,8,"Juan Soto grounds out, third baseman Rafael Devers to first baseman Kyle Schwarber.",0,0,2,1,1,0.18,1.65
21,2021-10-02,665742,518489,strikeout,swinging_strike,3,Juan Soto strikes out swinging.,2,2,1,6,7,0.35,3.11
22,2021-10-02,665742,518489,,foul,2,Juan Soto strikes out swinging.,2,2,1,5,7,-0.25,3.52
23,2021-10-02,665742,518489,,called_strike,4,Juan Soto strikes out swinging.,2,1,1,4,7,-0.68,2.43
24,2021-10-02,665742,518489,,ball,11,Juan Soto strikes out swinging.,1,1,1,3,7,-1.16,3.67
25,2021-10-02,665742,518489,,foul,8,Juan Soto strikes out swinging.,1,0,1,2,7,-0.26,2.04
26,2021-10-02,665742,518489,,ball,13,Juan Soto strikes out swinging.,0,0,1,1,7,-1.31,2.33
27,2021-10-02,665742,656354,sac_fly,hit_into_play,1,Juan Soto out on a sacrifice fly to center fielder Hunter Renfroe.   Ryan Zimmerman scores.    Lane Thomas to 3rd.    Alcides Escobar to 2nd.,1,0,1,2,8,-0.38,2.93
28,2021-10-02,665742,656354,,blocked_ball,13,Juan Soto out on a sacrifice fly to center fielder Hunter Renfroe.   Ryan Zimmerman scores.    Lane Thomas to 3rd.    Alcides Escobar to 2nd.,0,0,1,1,8,-0.69,0.62
29,2021-10-01,665742,593958,strikeout,swinging_strike,1,Juan Soto strikes out swinging.,3,2,2,8,5,-0.66,3.41
30,2021-10-01,665742,593958,,foul,9,Juan Soto strikes out swinging.,3,2,2,7,5,0.76,1.47
31,2021-10-01,665742,593958,,ball,13,Juan Soto strikes out swinging.,2,2,2,6,5,-1.17,1.35
32,2021-10-01,665742,593958,,ball,11,Juan Soto strikes out swinging.,1,2,2,5,5,-0.68,3.4
33,2021-10-01,665742,593958,,blocked_ball,14,Juan Soto strikes out swinging.,0,2,2,4,5,0.96,1.05
34,2021-10-01,665742,593958,,foul,6,Juan Soto strikes out swinging.,0,2,2,3,5,0.46,2.66
35,2021-10-01,665742,593958,,foul,6,Juan Soto strikes out swinging.,0,1,2,2,5,0.83,2.88
36,2021-10-01,665742,593958,,called_strike,12,Juan Soto strikes out swinging.,0,0,2,1,5,0.8,3.42
37,2021-10-01,665742,593958,walk,ball,11,Juan Soto walks.,3,1,0,5,4,-1.3,2.63
38,2021-10-01,665742,593958,,ball,11,Juan Soto walks.,2,1,0,4,4,-0.46,3.9
39,2021-10-01,665742,593958,,called_strike,8,Juan Soto walks.,2,0,0,3,4,-0.15,1.78
40,2021-10-01,665742,593958,,ball,12,Juan Soto walks.,1,0,0,2,4,0.5,3.71
41,2021-10-01,665742,593958,,ball,7,Juan Soto walks.,0,0,0,1,4,-0.42,1.4
42,2021-10-01,665742,570663,walk,ball,11,Juan Soto walks.,3,2,2,7,9,-1.61,3.94
43,2021-10-01,665742,570663,,foul,5,Juan Soto walks.,3,2,2,6,9,0.08,2.27
44,2021-10-01,665742,570663,,ball,11,Juan Soto walks.,2,2,2,5,9,-1.4,3.61
45,2021-10-01,665742,570663,,ball,12,Juan Soto walks.,1,2,2,4,9,0.72,4.34
46,2021-10-01,665742,593958,walk,ball,13,Juan Soto walks.,3,0,1,4,1,-1.79,2.18
47,2021-10-01,665742,570663,,called_strike,4,Juan Soto walks.,1,1,2,3,9,-0.61,2.23
48,2021-10-01,665742,570663,,ball,12,Juan Soto walks.,0,1,2,2,9,0.84,3.12
49,2021-10-01,665742,593958,,ball,12,Juan Soto walks.,2,0,1,3,1,1.7,2.95
50,2021-10-01,665742,570663,,called_strike,6,Juan Soto walks.,0,0,2,1,9,0.33,2.61
51,2021-10-01,665742,593958,,ball,14,Juan Soto walks.,1,0,1,2,1,1.43,1.92
52,2021-10-01,665742,593958,,ball,8,Juan Soto walks.,0,0,1,1,1,0.18,1.51
53,2021-10-01,665742,650382,walk,ball,11,Juan Soto walks.,3,2,2,6,7,-0.88,2.8
54,2021-10-01,665742,650382,,called_strike,4,Juan Soto walks.,3,1,2,5,7,-0.45,2.43
55,2021-10-01,665742,650382,,ball,13,Juan Soto walks.,2,1,2,4,7,-1.0,1.64
56,2021-10-01,665742,650382,,ball,11,Juan Soto walks.,1,1,2,3,7,-1.56,2.79
57,2021-10-01,665742,650382,,ball,12,Juan Soto walks.,0,1,2,2,7,1.6,3.95
58,2021-10-01,665742,650382,,called_strike,6,Juan Soto walks.,0,0,2,1,7,0.36,2.02
59,2021-09-29,665742,663567,field_out,hit_into_play,8,Juan Soto grounds out to first baseman C.  J. Cron.,1,2,2,4,2,0.21,1.96
60,2021-09-29,665742,663567,,ball,14,Juan Soto grounds out to first baseman C.  J. Cron.,0,2,2,3,2,0.9,2.22
61,2021-09-29,665742,663567,,swinging_strike,14,Juan Soto grounds out to first baseman C.  J. Cron.,0,1,2,2,2,0.04,1.2
62,2021-09-29,665742,663567,,called_strike,9,Juan Soto grounds out to first baseman C.  J. Cron.,0,0,2,1,2,0.73,1.88
63,2021-09-29,665742,453268,walk,ball,11,Juan Soto walks.,3,1,1,5,9,-0.23,3.48
64,2021-09-29,665742,453268,,called_strike,13,Juan Soto walks.,3,0,1,4,9,-1.05,2.19
65,2021-09-29,665742,453268,,ball,13,Juan Soto walks.,2,0,1,3,9,-1.57,2.11
66,2021-09-29,665742,453268,,ball,11,Juan Soto walks.,1,0,1,2,9,-1.2,3.17
67,2021-09-29,665742,468504,grounded_into_double_play,hit_into_play,4,"Juan Soto grounds into a double play, second baseman Brendan Rodgers to shortstop Trevor Story to first baseman C.  J. Cron.   Alcides Escobar out at 2nd.    Juan Soto out at 1st.",3,2,1,7,6,-0.44,2.52
