,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,621028,665665,field_out,hit_into_play,14,Kevin Newman flies out to right fielder Aristides Aquino.,0,0,0,1,5,1.01,2.44
1,2021-10-03,621028,665665,strikeout,swinging_strike,12,Kevin Newman strikes out swinging.,1,2,2,6,2,1.16,3.34
2,2021-10-03,621028,665665,,foul,8,Kevin Newman strikes out swinging.,1,2,2,5,2,0.12,1.78
3,2021-10-03,621028,665665,,foul,1,Kevin Newman strikes out swinging.,1,2,2,4,2,-0.79,2.98
4,2021-10-03,621028,665665,,called_strike,7,Kevin Newman strikes out swinging.,1,1,2,3,2,-0.43,1.74
5,2021-10-03,621028,665665,,called_strike,12,Kevin Newman strikes out swinging.,1,0,2,2,2,0.84,2.57
6,2021-10-03,621028,665665,,ball,12,Kevin Newman strikes out swinging.,0,0,2,1,2,1.22,2.9
7,2021-10-03,621028,607237,field_out,hit_into_play,9,Kevin Newman flies out to center fielder TJ Friedl.,0,1,2,2,7,0.33,1.83
8,2021-10-03,621028,607237,,called_strike,5,Kevin Newman flies out to center fielder TJ Friedl.,0,0,2,1,7,-0.18,2.12
9,2021-10-03,621028,665665,single,hit_into_play,14,Kevin Newman singles on a line drive to center fielder TJ Friedl.,1,0,0,2,1,0.85,2.05
10,2021-10-03,621028,665665,,ball,12,Kevin Newman singles on a line drive to center fielder TJ Friedl.,0,0,0,1,1,2.42,3.31
11,2021-10-01,621028,622491,single,hit_into_play,9,Kevin Newman singles on a ground ball to left fielder Max Schrock.,0,1,2,2,4,0.52,1.76
12,2021-10-01,621028,622491,,called_strike,12,Kevin Newman singles on a ground ball to left fielder Max Schrock.,0,0,2,1,4,1.01,3.16
13,2021-10-01,621028,622491,single,hit_into_play,5,Kevin Newman singles on a line drive to left fielder Max Schrock.   Michael Perez to 2nd.,1,1,1,3,2,0.26,2.71
14,2021-10-01,621028,622491,,ball,14,Kevin Newman singles on a line drive to left fielder Max Schrock.   Michael Perez to 2nd.,0,1,1,2,2,1.48,1.95
