,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,501981,642130,home_run,hit_into_play,2,Khris Davis homers (3) on a fly ball to left center field.,3,1,2,5,9,0.15,2.81
1,2021-10-03,501981,642130,,ball,13,Khris Davis homers (3) on a fly ball to left center field.,2,1,2,4,9,-1.46,0.81
2,2021-10-03,501981,642130,,swinging_strike,13,Khris Davis homers (3) on a fly ball to left center field.,2,0,2,3,9,-0.38,1.31
3,2021-10-03,501981,642130,,ball,13,Khris Davis homers (3) on a fly ball to left center field.,1,0,2,2,9,-1.2,2.42
4,2021-10-03,501981,642130,,ball,12,Khris Davis homers (3) on a fly ball to left center field.,0,0,2,1,9,0.35,3.6
5,2021-10-02,501981,543606,field_out,hit_into_play,1,Khris Davis flies out sharply to left fielder Yordan Alvarez.,2,1,2,4,4,-0.39,3.41
6,2021-10-02,501981,543606,,ball,12,Khris Davis flies out sharply to left fielder Yordan Alvarez.,1,1,2,3,4,1.18,3.24
7,2021-10-02,501981,543606,,swinging_strike,6,Khris Davis flies out sharply to left fielder Yordan Alvarez.,1,0,2,2,4,0.4,2.23
8,2021-10-02,501981,543606,,ball,12,Khris Davis flies out sharply to left fielder Yordan Alvarez.,0,0,2,1,4,0.95,3.24
9,2021-10-02,501981,543606,strikeout,swinging_strike,5,Khris Davis strikes out swinging.,0,2,0,3,2,-0.1,2.57
10,2021-10-02,501981,543606,,swinging_strike,3,Khris Davis strikes out swinging.,0,1,0,2,2,0.35,3.24
11,2021-10-02,501981,543606,,called_strike,11,Khris Davis strikes out swinging.,0,0,0,1,2,-0.24,3.73
12,2021-10-02,501981,592773,strikeout,swinging_strike,14,Khris Davis strikes out swinging.,3,2,0,8,6,1.17,1.65
13,2021-10-02,501981,592773,,foul,9,Khris Davis strikes out swinging.,3,2,0,7,6,0.41,1.47
14,2021-10-02,501981,592773,,foul,8,Khris Davis strikes out swinging.,3,2,0,6,6,-0.03,1.98
15,2021-10-02,501981,592773,,ball,14,Khris Davis strikes out swinging.,2,2,0,5,6,1.56,2.24
16,2021-10-02,501981,608665,single,hit_into_play,5,Khris Davis singles on a sharp ground ball to right fielder Kyle Tucker.   Matt Chapman to 3rd.,1,1,0,3,8,-0.13,2.36
17,2021-10-02,501981,592773,,ball,12,Khris Davis strikes out swinging.,1,2,0,4,6,0.88,4.71
18,2021-10-02,501981,592773,,swinging_strike,1,Khris Davis strikes out swinging.,1,1,0,3,6,-0.3,3.03
19,2021-10-02,501981,608665,,foul,4,Khris Davis singles on a sharp ground ball to right fielder Kyle Tucker.   Matt Chapman to 3rd.,1,0,0,2,8,-0.71,2.4
20,2021-10-02,501981,592773,,swinging_strike,2,Khris Davis strikes out swinging.,1,0,0,2,6,0.12,2.77
21,2021-10-02,501981,608665,,ball,11,Khris Davis singles on a sharp ground ball to right fielder Kyle Tucker.   Matt Chapman to 3rd.,0,0,0,1,8,-1.21,2.97
22,2021-10-02,501981,592773,,ball,11,Khris Davis strikes out swinging.,0,0,0,1,6,-0.01,3.72
23,2021-10-01,501981,664285,strikeout,called_strike,3,Khris Davis called out on strikes.,1,2,2,5,4,0.54,3.14
24,2021-10-01,501981,664285,,ball,12,Khris Davis called out on strikes.,0,2,2,4,4,0.83,3.31
25,2021-10-01,501981,664285,,foul,9,Khris Davis called out on strikes.,0,2,2,3,4,0.41,2.05
26,2021-10-01,501981,664285,,swinging_strike,9,Khris Davis called out on strikes.,0,1,2,2,4,0.42,1.42
27,2021-10-01,501981,664285,,called_strike,14,Khris Davis called out on strikes.,0,0,2,1,4,0.85,2.27
28,2021-10-01,501981,664285,field_out,hit_into_play,8,"Khris Davis grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",2,2,2,7,2,0.05,1.5
29,2021-10-01,501981,664285,,foul,7,"Khris Davis grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",2,2,2,6,2,-0.46,1.47
30,2021-10-01,501981,664285,,foul,7,"Khris Davis grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",2,2,2,5,2,-0.52,1.9
31,2021-10-01,501981,664285,,ball,13,"Khris Davis grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",1,2,2,4,2,-0.8,0.16
32,2021-10-01,501981,664285,,blocked_ball,14,"Khris Davis grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",0,2,2,3,2,0.25,0.51
33,2021-10-01,501981,664285,,swinging_strike,14,"Khris Davis grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",0,1,2,2,2,0.11,0.89
34,2021-10-01,501981,664285,,foul,2,"Khris Davis grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",0,0,2,1,2,0.22,2.96
35,2021-10-01,501981,664299,field_out,hit_into_play,3,"Khris Davis grounds out softly, pitcher Cristian Javier to first baseman Aledmys Diaz.",0,0,0,1,7,0.62,3.22
36,2021-09-27,501981,623167,single,hit_into_play,6,Khris Davis singles on a line drive to center fielder Jarred Kelenic.   Chad Pinder scores.,2,1,1,4,4,0.43,2.32
37,2021-09-27,501981,623167,,ball,14,Khris Davis singles on a line drive to center fielder Jarred Kelenic.   Chad Pinder scores.,1,1,1,3,4,1.39,1.47
38,2021-09-27,501981,623167,,swinging_strike,2,Khris Davis singles on a line drive to center fielder Jarred Kelenic.   Chad Pinder scores.,1,0,1,2,4,0.08,3.41
39,2021-09-27,501981,623167,,ball,11,Khris Davis singles on a line drive to center fielder Jarred Kelenic.   Chad Pinder scores.,0,0,1,1,4,-0.41,3.74
40,2021-09-27,501981,623167,field_out,hit_into_play,3,"Khris Davis grounds out, shortstop J.  P. Crawford to first baseman Ty France.",1,2,2,4,1,0.29,2.83
41,2021-09-27,501981,623167,,foul,6,"Khris Davis grounds out, shortstop J.  P. Crawford to first baseman Ty France.",1,1,2,3,1,0.8,2.21
42,2021-09-27,501981,623167,,ball,11,"Khris Davis grounds out, shortstop J.  P. Crawford to first baseman Ty France.",0,1,2,2,1,-0.11,3.92
43,2021-09-27,501981,623167,,swinging_strike,1,"Khris Davis grounds out, shortstop J.  P. Crawford to first baseman Ty France.",0,0,2,1,1,-0.45,3.08
44,2021-09-27,501981,542882,strikeout,foul_tip,13,Khris Davis strikes out on a foul tip.,1,2,1,4,9,-0.02,1.12
45,2021-09-27,501981,542882,,ball,12,Khris Davis strikes out on a foul tip.,0,2,1,3,9,1.13,2.68
46,2021-09-27,501981,542882,,foul_tip,3,Khris Davis strikes out on a foul tip.,0,1,1,2,9,0.37,3.3
47,2021-09-27,501981,542882,,foul,4,Khris Davis strikes out on a foul tip.,0,0,1,1,9,-0.38,2.64
48,2021-09-27,501981,594987,field_out,hit_into_play,5,"Khris Davis grounds out, third baseman Kyle Seager to first baseman Ty France.",0,0,1,1,6,0.28,2.51
49,2021-09-26,501981,543606,field_out,hit_into_play,1,Khris Davis flies out to left fielder Chas McCormick.,3,2,1,7,4,-0.35,3.09
50,2021-09-26,501981,543606,,foul,2,Khris Davis flies out to left fielder Chas McCormick.,3,2,1,6,4,0.27,3.16
51,2021-09-26,501981,543606,,swinging_strike,6,Khris Davis flies out to left fielder Chas McCormick.,3,1,1,5,4,0.29,2.41
52,2021-09-26,501981,543606,,ball,14,Khris Davis flies out to left fielder Chas McCormick.,2,1,1,4,4,1.55,2.11
53,2021-09-26,501981,543606,,called_strike,6,Khris Davis flies out to left fielder Chas McCormick.,2,0,1,3,4,0.71,2.37
54,2021-09-26,501981,543606,,ball,14,Khris Davis flies out to left fielder Chas McCormick.,1,0,1,2,4,1.26,1.49
55,2021-09-26,501981,543606,,ball,14,Khris Davis flies out to left fielder Chas McCormick.,0,0,1,1,4,0.81,0.78
56,2021-09-26,501981,543606,field_out,hit_into_play,3,Khris Davis flies out sharply to center fielder Jose Siri.   Seth Brown to 3rd.,1,1,1,3,2,0.39,3.02
57,2021-09-26,501981,543606,,foul,4,Khris Davis flies out sharply to center fielder Jose Siri.   Seth Brown to 3rd.,1,0,1,2,2,-0.56,2.66
58,2021-09-26,501981,543606,,ball,3,Khris Davis flies out sharply to center fielder Jose Siri.   Seth Brown to 3rd.,0,0,1,1,2,0.49,3.4
59,2021-09-26,501981,664299,field_out,hit_into_play,6,Khris Davis pops out to first baseman Yuli Gurriel in foul territory.,1,2,2,4,6,0.34,2.75
60,2021-09-26,501981,664299,,ball,14,Khris Davis pops out to first baseman Yuli Gurriel in foul territory.,0,2,2,3,6,1.26,0.06
61,2021-09-26,501981,664299,,swinging_strike,8,Khris Davis pops out to first baseman Yuli Gurriel in foul territory.,0,1,2,2,6,0.16,1.79
62,2021-09-26,501981,664299,,foul_tip,6,Khris Davis pops out to first baseman Yuli Gurriel in foul territory.,0,0,2,1,6,0.43,2.36
63,2021-09-26,501981,592773,strikeout,swinging_strike,9,Khris Davis strikes out swinging.,1,2,1,4,8,0.59,1.55
64,2021-09-26,501981,592773,,swinging_strike,9,Khris Davis strikes out swinging.,1,1,1,3,8,0.68,1.97
65,2021-09-26,501981,592773,,ball,12,Khris Davis strikes out swinging.,0,1,1,2,8,0.99,3.03
66,2021-09-26,501981,592773,,called_strike,12,Khris Davis strikes out swinging.,0,0,1,1,8,0.88,2.78
67,2021-09-25,501981,664285,single,hit_into_play,8,Khris Davis singles on a sharp line drive to right fielder Kyle Tucker.,2,0,1,3,7,0.07,1.87
68,2021-09-25,501981,664285,,ball,12,Khris Davis singles on a sharp line drive to right fielder Kyle Tucker.,1,0,1,2,7,1.06,3.19
