,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,663656,608344,home_run,hit_into_play,3,Kyle Tucker homers (30) on a fly ball to right field.    Jose Altuve scores.,0,1,2,2,6,0.66,3.05
1,2021-10-03,663656,608344,,foul,5,Kyle Tucker homers (30) on a fly ball to right field.    Jose Altuve scores.,0,0,2,1,6,-0.16,2.43
2,2021-10-03,663656,608344,field_out,hit_into_play,14,Kyle Tucker flies out to center fielder Skye Bolt.,2,0,1,3,4,0.83,2.37
3,2021-10-03,663656,608344,,ball,14,Kyle Tucker flies out to center fielder Skye Bolt.,1,0,1,2,4,1.58,2.05
4,2021-10-03,663656,608344,,ball,14,Kyle Tucker flies out to center fielder Skye Bolt.,0,0,1,1,4,0.83,1.46
5,2021-10-03,663656,608344,strikeout,swinging_strike,11,Kyle Tucker strikes out swinging.,0,2,0,3,2,-0.04,3.77
6,2021-10-03,663656,608344,,foul,4,Kyle Tucker strikes out swinging.,0,1,0,2,2,-0.36,2.5
7,2021-10-03,663656,608344,,foul,14,Kyle Tucker strikes out swinging.,0,0,0,1,2,0.94,1.62
8,2021-10-03,663656,642758,single,hit_into_play,9,Kyle Tucker singles on a line drive to right fielder Luis Barrera.,0,0,0,1,8,0.77,2.03
9,2021-10-02,663656,621076,field_out,hit_into_play,6,Kyle Tucker flies out to center fielder Starling Marte.,1,2,1,6,5,0.6,2.78
10,2021-10-02,663656,621076,,foul,4,Kyle Tucker flies out to center fielder Starling Marte.,1,2,1,5,5,-0.49,2.77
11,2021-10-02,663656,621076,,foul,3,Kyle Tucker flies out to center fielder Starling Marte.,1,2,1,4,5,0.56,3.67
12,2021-10-02,663656,621076,,foul_tip,1,Kyle Tucker flies out to center fielder Starling Marte.,1,1,1,3,5,-0.38,3.42
13,2021-10-02,663656,621076,,ball,12,Kyle Tucker flies out to center fielder Starling Marte.,0,1,1,2,5,0.24,4.33
14,2021-10-02,663656,621076,,foul,5,Kyle Tucker flies out to center fielder Starling Marte.,0,0,1,1,5,0.14,2.9
15,2021-10-02,663656,621112,strikeout,swinging_strike_blocked,13,Kyle Tucker strikes out swinging.,2,2,2,5,1,-0.22,0.93
16,2021-10-02,663656,621112,,ball,12,Kyle Tucker strikes out swinging.,1,2,2,4,1,0.96,2.98
17,2021-10-02,663656,621112,,foul,9,Kyle Tucker strikes out swinging.,1,1,2,3,1,0.31,1.52
18,2021-10-02,663656,621112,,foul,7,Kyle Tucker strikes out swinging.,1,0,2,2,1,-0.6,1.73
