,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,657041,519242,walk,ball,13,Lane Thomas walks.,3,2,0,6,3,-0.5,1.29
1,2021-10-03,657041,519242,,ball,11,Lane Thomas walks.,2,2,0,5,3,-1.37,3.39
2,2021-10-03,657041,519242,,ball,13,Lane Thomas walks.,1,2,0,4,3,-0.74,1.21
3,2021-10-03,657041,519242,,called_strike,14,Lane Thomas walks.,1,1,0,3,3,0.92,1.69
4,2021-10-03,657041,519242,,ball,12,Lane Thomas walks.,0,1,0,2,3,0.86,3.66
5,2021-10-03,657041,519242,,called_strike,12,Lane Thomas walks.,0,0,0,1,3,0.88,2.48
6,2021-10-03,657041,617228,field_out,hit_into_play,8,"Lane Thomas grounds out sharply, second baseman Enrique Hernandez to first baseman Kyle Schwarber.",0,1,2,2,4,-0.11,1.92
7,2021-10-03,657041,617228,,called_strike,3,"Lane Thomas grounds out sharply, second baseman Enrique Hernandez to first baseman Kyle Schwarber.",0,0,2,1,4,0.49,3.27
8,2021-10-03,657041,519242,strikeout,swinging_strike,2,Lane Thomas strikes out swinging.,3,2,0,7,1,0.27,3.36
9,2021-10-03,657041,519242,,foul,12,Lane Thomas strikes out swinging.,3,2,0,6,1,1.1,2.45
10,2021-10-03,657041,527048,field_out,hit_into_play,2,Lane Thomas flies out to right fielder Hunter Renfroe.,1,0,1,2,6,0.1,3.09
11,2021-10-03,657041,601713,field_out,hit_into_play,4,Lane Thomas flies out to second baseman Jose Iglesias.,3,2,0,6,9,-0.35,2.62
12,2021-10-03,657041,601713,,foul,5,Lane Thomas flies out to second baseman Jose Iglesias.,3,1,0,5,9,-0.27,2.68
13,2021-10-03,657041,519242,,ball,12,Lane Thomas strikes out swinging.,2,2,0,5,1,1.35,3.02
14,2021-10-03,657041,527048,,ball,13,Lane Thomas flies out to right fielder Hunter Renfroe.,0,0,1,1,6,-0.25,1.31
15,2021-10-03,657041,601713,,called_strike,9,Lane Thomas flies out to second baseman Jose Iglesias.,3,0,0,4,9,0.33,2.0
16,2021-10-03,657041,519242,,swinging_strike,6,Lane Thomas strikes out swinging.,2,1,0,4,1,0.48,2.41
17,2021-10-03,657041,601713,,ball,11,Lane Thomas flies out to second baseman Jose Iglesias.,2,0,0,3,9,-1.56,2.42
18,2021-10-03,657041,519242,,ball,14,Lane Thomas strikes out swinging.,1,1,0,3,1,1.08,1.88
19,2021-10-03,657041,601713,,ball,14,Lane Thomas flies out to second baseman Jose Iglesias.,1,0,0,2,9,1.47,1.93
20,2021-10-03,657041,519242,,called_strike,12,Lane Thomas strikes out swinging.,1,0,0,2,1,0.93,2.81
21,2021-10-03,657041,519242,,ball,12,Lane Thomas strikes out swinging.,0,0,0,1,1,0.98,3.18
22,2021-10-03,657041,601713,,ball,14,Lane Thomas flies out to second baseman Jose Iglesias.,0,0,0,1,9,1.22,2.32
23,2021-10-02,657041,656557,field_out,hit_into_play,9,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Kyle Schwarber.",1,2,0,4,4,0.31,1.85
24,2021-10-02,657041,656557,,foul,13,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Kyle Schwarber.",1,1,0,3,4,-1.17,2.1
25,2021-10-02,657041,656557,,called_strike,4,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Kyle Schwarber.",1,0,0,2,4,-0.71,2.3
26,2021-10-02,657041,656557,,ball,11,"Lane Thomas grounds out, shortstop Xander Bogaerts to first baseman Kyle Schwarber.",0,0,0,1,4,-1.75,3.4
27,2021-10-02,657041,570663,field_out,hit_into_play,3,Lane Thomas flies out to right fielder Hunter Renfroe.,0,2,2,3,9,0.54,3.24
28,2021-10-02,657041,570663,,foul,4,Lane Thomas flies out to right fielder Hunter Renfroe.,0,1,2,2,9,-0.54,2.25
29,2021-10-02,657041,570663,,called_strike,6,Lane Thomas flies out to right fielder Hunter Renfroe.,0,0,2,1,9,0.68,2.02
30,2021-10-02,657041,572070,force_out,hit_into_play,9,"Lane Thomas grounds into a force out, second baseman Enrique Hernandez to shortstop Xander Bogaerts.   Gerardo Parra out at 2nd.",0,0,2,1,6,0.38,1.66
31,2021-10-02,657041,493603,walk,ball,14,Lane Thomas walks.,3,2,1,6,8,1.58,1.93
32,2021-10-02,657041,493603,,swinging_strike,14,Lane Thomas walks.,3,1,1,5,8,1.82,1.7
33,2021-10-02,657041,493603,,blocked_ball,14,Lane Thomas walks.,2,1,1,4,8,1.73,0.65
34,2021-10-02,657041,493603,,ball,14,Lane Thomas walks.,1,1,1,3,8,1.92,1.13
35,2021-10-02,657041,493603,,ball,11,Lane Thomas walks.,0,1,1,2,8,-1.39,3.96
36,2021-10-02,657041,493603,,called_strike,4,Lane Thomas walks.,0,0,1,1,8,-0.5,2.27
37,2021-10-02,657041,656557,strikeout,swinging_strike,12,Lane Thomas strikes out swinging.,1,2,0,4,1,0.87,2.51
38,2021-10-02,657041,656557,,ball,11,Lane Thomas strikes out swinging.,0,2,0,3,1,-0.1,3.82
39,2021-10-02,657041,656557,,foul,2,Lane Thomas strikes out swinging.,0,1,0,2,1,0.07,3.44
40,2021-10-02,657041,656557,,called_strike,5,Lane Thomas strikes out swinging.,0,0,0,1,1,-0.23,2.7
41,2021-10-01,657041,593958,strikeout,swinging_strike,2,Lane Thomas strikes out swinging.,1,2,1,5,5,0.27,3.03
42,2021-10-01,657041,593958,,foul,4,Lane Thomas strikes out swinging.,1,2,1,4,5,-0.74,2.26
43,2021-10-01,657041,593958,,foul_tip,14,Lane Thomas strikes out swinging.,1,1,1,3,5,0.56,1.16
44,2021-10-01,657041,593958,,ball,14,Lane Thomas strikes out swinging.,0,1,1,2,5,0.42,0.99
45,2021-10-01,657041,593958,,called_strike,8,Lane Thomas strikes out swinging.,0,0,1,1,5,0.26,1.81
46,2021-10-01,657041,593958,field_out,hit_into_play,8,"Lane Thomas grounds out sharply, third baseman Rafael Devers to first baseman Bobby Dalbec.",0,0,1,1,3,-0.17,1.82
