,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-09-24,663897,592741,strikeout,swinging_strike,14,Luke Williams strikes out swinging.,1,2,1,4,7,0.9,2.32
1,2021-09-24,663897,592741,,ball,12,Luke Williams strikes out swinging.,0,2,1,3,7,0.92,3.31
2,2021-09-24,663897,592741,,foul,7,Luke Williams strikes out swinging.,0,1,1,2,7,-0.52,1.56
3,2021-09-24,663897,592741,,called_strike,4,Luke Williams strikes out swinging.,0,0,1,1,7,-0.29,2.14
4,2021-09-21,663897,669330,field_out,hit_into_play,8,Luke Williams pops out to third baseman Kelvin Gutierrez.,1,1,0,3,9,-0.21,2.1
5,2021-09-21,663897,669330,,foul,12,Luke Williams pops out to third baseman Kelvin Gutierrez.,1,0,0,2,9,0.96,2.56
6,2021-09-21,663897,669330,,ball,12,Luke Williams pops out to third baseman Kelvin Gutierrez.,0,0,0,1,9,0.99,2.54
7,2021-09-20,663897,607644,strikeout,foul_tip,5,Luke Williams strikes out on a foul tip.,2,2,0,5,6,0.26,2.49
8,2021-09-20,663897,607644,,swinging_strike,5,Luke Williams strikes out on a foul tip.,2,1,0,4,6,-0.22,2.25
9,2021-09-20,663897,607644,,ball,14,Luke Williams strikes out on a foul tip.,1,1,0,3,6,0.33,0.3
10,2021-09-20,663897,607644,,ball,11,Luke Williams strikes out on a foul tip.,0,1,0,2,6,-0.82,4.82
11,2021-09-20,663897,607644,,called_strike,7,Luke Williams strikes out on a foul tip.,0,0,0,1,6,-0.34,1.66
12,2021-08-26,663897,676969,walk,ball,12,Luke Williams walks.,3,2,0,6,9,0.27,3.62
13,2021-08-26,663897,676969,,ball,11,Luke Williams walks.,2,2,0,5,9,-0.71,4.41
14,2021-08-26,663897,676969,,foul,12,Luke Williams walks.,2,1,0,4,9,0.88,2.59
15,2021-08-26,663897,676969,,called_strike,11,Luke Williams walks.,2,0,0,3,9,-0.79,3.21
16,2021-08-26,663897,676969,,ball,11,Luke Williams walks.,1,0,0,2,9,-1.51,3.08
17,2021-08-26,663897,676969,,ball,12,Luke Williams walks.,0,0,0,1,9,1.17,2.6
