,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,592518,657277,field_out,hit_into_play,5,"Manny Machado grounds out sharply, first baseman Wilmer Flores to pitcher Logan Webb.",1,2,2,4,6,0.07,2.33
1,2021-10-03,592518,657277,,ball,14,"Manny Machado grounds out sharply, first baseman Wilmer Flores to pitcher Logan Webb.",0,2,2,3,6,1.4,1.2
2,2021-10-03,592518,657277,,foul,7,"Manny Machado grounds out sharply, first baseman Wilmer Flores to pitcher Logan Webb.",0,1,2,2,6,-0.48,1.61
3,2021-10-03,592518,657277,,swinging_strike,9,"Manny Machado grounds out sharply, first baseman Wilmer Flores to pitcher Logan Webb.",0,0,2,1,6,0.36,1.59
4,2021-10-03,592518,657277,sac_fly,hit_into_play,4,Manny Machado out on a sacrifice fly to center fielder Mike Yastrzemski.   Trent Grisham scores.,0,0,1,1,4,-0.53,2.28
5,2021-10-03,592518,657277,strikeout,swinging_strike,14,Manny Machado strikes out swinging.,1,2,2,4,1,1.13,1.37
6,2021-10-03,592518,657277,,ball,14,Manny Machado strikes out swinging.,0,2,2,3,1,2.08,1.54
7,2021-10-03,592518,657277,,swinging_strike,14,Manny Machado strikes out swinging.,0,1,2,2,1,1.28,1.97
8,2021-10-03,592518,657277,,called_strike,6,Manny Machado strikes out swinging.,0,0,2,1,1,0.3,2.71
9,2021-10-02,592518,592332,single,hit_into_play,1,Manny Machado singles on a sharp line drive to left fielder LaMonte Wade.   Trent Grisham scores.    Fernando Tatis to 2nd.,0,1,2,2,6,-0.56,3.07
10,2021-10-02,592518,592332,,called_strike,5,Manny Machado singles on a sharp line drive to left fielder LaMonte Wade.   Trent Grisham scores.    Fernando Tatis to 2nd.,0,0,2,1,6,0.07,2.42
11,2021-10-02,592518,592332,field_out,hit_into_play,7,"Manny Machado grounds out sharply, third baseman Kris Bryant to first baseman Darin Ruf.",1,2,1,6,4,-0.33,1.94
12,2021-10-02,592518,592332,,blocked_ball,14,"Manny Machado grounds out sharply, third baseman Kris Bryant to first baseman Darin Ruf.",0,2,1,5,4,0.33,0.07
13,2021-10-02,592518,592332,,foul,3,"Manny Machado grounds out sharply, third baseman Kris Bryant to first baseman Darin Ruf.",0,2,1,4,4,0.44,3.12
14,2021-10-02,592518,592332,,foul,11,"Manny Machado grounds out sharply, third baseman Kris Bryant to first baseman Darin Ruf.",0,2,1,3,4,-0.23,3.78
15,2021-10-02,592518,592332,,swinging_strike,14,"Manny Machado grounds out sharply, third baseman Kris Bryant to first baseman Darin Ruf.",0,1,1,2,4,0.07,0.92
16,2021-10-02,592518,592332,,swinging_strike,14,"Manny Machado grounds out sharply, third baseman Kris Bryant to first baseman Darin Ruf.",0,0,1,1,4,0.16,1.17
17,2021-10-02,592518,641793,sac_fly,hit_into_play,2,Manny Machado out on a sacrifice fly to left fielder Austin Slater.   Javy Guerra scores.,3,2,1,9,8,-0.25,3.51
18,2021-10-02,592518,641793,,ball,11,Manny Machado out on a sacrifice fly to left fielder Austin Slater.   Javy Guerra scores.,2,2,1,8,8,-0.83,4.98
19,2021-10-02,592518,641793,,ball,12,Manny Machado out on a sacrifice fly to left fielder Austin Slater.   Javy Guerra scores.,1,2,1,7,8,2.16,3.78
20,2021-10-02,592518,641793,,foul,12,Manny Machado out on a sacrifice fly to left fielder Austin Slater.   Javy Guerra scores.,1,2,1,6,8,0.07,4.37
21,2021-10-02,592518,641793,,foul,12,Manny Machado out on a sacrifice fly to left fielder Austin Slater.   Javy Guerra scores.,1,2,1,5,8,0.2,4.01
22,2021-10-02,592518,641793,,foul,12,Manny Machado out on a sacrifice fly to left fielder Austin Slater.   Javy Guerra scores.,1,2,1,4,8,0.17,3.81
23,2021-10-02,592518,641793,,ball,14,Manny Machado out on a sacrifice fly to left fielder Austin Slater.   Javy Guerra scores.,0,2,1,3,8,0.96,1.51
24,2021-10-02,592518,641793,,foul,3,Manny Machado out on a sacrifice fly to left fielder Austin Slater.   Javy Guerra scores.,0,1,1,2,8,0.7,3.57
25,2021-10-02,592518,641793,,swinging_strike,12,Manny Machado out on a sacrifice fly to left fielder Austin Slater.   Javy Guerra scores.,0,0,1,1,8,0.03,3.84
26,2021-10-02,592518,592332,field_out,hit_into_play,4,"Manny Machado grounds out, shortstop Brandon Crawford to first baseman Darin Ruf.",0,0,2,1,1,-0.63,2.83
27,2021-09-30,592518,664062,field_out,hit_into_play,14,"Manny Machado grounds out, shortstop Corey Seager to first baseman Max Muncy.",0,2,1,4,3,1.02,1.67
28,2021-09-30,592518,664062,,foul,6,"Manny Machado grounds out, shortstop Corey Seager to first baseman Max Muncy.",0,2,1,3,3,0.65,2.26
29,2021-09-30,592518,664062,,foul,4,"Manny Machado grounds out, shortstop Corey Seager to first baseman Max Muncy.",0,1,1,2,3,-0.74,2.51
30,2021-09-30,592518,664062,,foul,5,"Manny Machado grounds out, shortstop Corey Seager to first baseman Max Muncy.",0,0,1,1,3,0.04,2.46
31,2021-09-30,592518,664062,single,hit_into_play,2,Manny Machado singles on a sharp ground ball to left fielder AJ Pollock.,1,2,2,5,1,0.27,3.17
32,2021-09-30,592518,664062,,ball,14,Manny Machado singles on a sharp ground ball to left fielder AJ Pollock.,0,2,2,4,1,0.88,0.92
33,2021-09-30,592518,664062,,foul,5,Manny Machado singles on a sharp ground ball to left fielder AJ Pollock.,0,2,2,3,1,0.17,2.56
34,2021-09-30,592518,664062,,swinging_strike,14,Manny Machado singles on a sharp ground ball to left fielder AJ Pollock.,0,1,2,2,1,1.17,0.4
35,2021-09-30,592518,523260,strikeout,swinging_strike_blocked,13,Manny Machado strikes out swinging.,2,2,2,5,7,-0.3,0.42
36,2021-09-30,592518,523260,,foul,13,Manny Machado strikes out swinging.,2,1,2,4,7,-0.88,1.64
37,2021-09-30,592518,664062,,foul,14,Manny Machado singles on a sharp ground ball to left fielder AJ Pollock.,0,0,2,1,1,1.19,2.19
38,2021-09-30,592518,523260,,swinging_strike,14,Manny Machado strikes out swinging.,2,0,2,3,7,0.37,1.11
39,2021-09-30,592518,523260,,ball,13,Manny Machado strikes out swinging.,1,0,2,2,7,-0.59,1.26
40,2021-09-30,592518,523260,,ball,11,Manny Machado strikes out swinging.,0,0,2,1,7,-1.1,2.98
41,2021-09-30,592518,660813,field_out,hit_into_play,7,"Manny Machado grounds out, shortstop Corey Seager to first baseman Max Muncy.",0,0,2,1,5,-0.39,1.86
42,2021-09-29,592518,453286,field_out,hit_into_play,4,Manny Machado flies out to right fielder Mookie Betts.,2,0,2,3,4,-0.38,2.33
43,2021-09-29,592518,453286,,ball,14,Manny Machado flies out to right fielder Mookie Betts.,1,0,2,2,4,1.61,1.51
44,2021-09-29,592518,453286,,ball,13,Manny Machado flies out to right fielder Mookie Betts.,0,0,2,1,4,-0.39,0.76
45,2021-09-29,592518,453286,home_run,hit_into_play,5,Manny Machado homers (28) on a fly ball to right center field.    Adam Frazier scores.,0,0,1,1,3,-0.17,2.52
46,2021-09-29,592518,453286,single,hit_into_play,14,Manny Machado singles on a line drive to left fielder AJ Pollock.,0,0,2,1,1,0.91,2.31
47,2021-09-29,592518,456034,field_out,hit_into_play,9,Manny Machado lines out sharply to second baseman Trea Turner.,1,2,1,4,8,0.58,1.92
48,2021-09-29,592518,456034,,called_strike,8,Manny Machado lines out sharply to second baseman Trea Turner.,1,1,1,3,8,-0.06,1.86
49,2021-09-29,592518,660813,walk,ball,13,Manny Machado walks.,3,2,0,7,7,-0.11,1.22
50,2021-09-29,592518,660813,,foul,3,Manny Machado walks.,3,2,0,6,7,0.74,3.24
51,2021-09-29,592518,456034,,swinging_strike,3,Manny Machado lines out sharply to second baseman Trea Turner.,1,0,1,2,8,0.69,3.46
52,2021-09-29,592518,660813,,ball,14,Manny Machado walks.,2,2,0,5,7,1.01,1.57
53,2021-09-29,592518,456034,,ball,13,Manny Machado lines out sharply to second baseman Trea Turner.,0,0,1,1,8,-1.34,2.48
54,2021-09-29,592518,660813,,foul,7,Manny Machado walks.,2,1,0,4,7,-0.57,2.12
55,2021-09-29,592518,660813,,ball,14,Manny Machado walks.,1,1,0,3,7,2.88,1.3
56,2021-09-29,592518,660813,,foul,4,Manny Machado walks.,1,0,0,2,7,-0.76,2.47
57,2021-09-29,592518,660813,,ball,11,Manny Machado walks.,0,0,0,1,7,-1.18,3.68
