,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,593934,663804,strikeout,swinging_strike,8,Miguel Sano strikes out swinging.,2,2,2,5,3,-0.09,1.69
1,2021-10-03,593934,663804,,foul,4,Miguel Sano strikes out swinging.,2,1,2,4,3,-0.49,2.53
2,2021-10-03,593934,663804,,ball,14,Miguel Sano strikes out swinging.,1,1,2,3,3,1.3,2.39
3,2021-10-03,593934,663804,,ball,14,Miguel Sano strikes out swinging.,0,1,2,2,3,2.16,-1.13
4,2021-10-03,593934,663804,,called_strike,8,Miguel Sano strikes out swinging.,0,0,2,1,3,0.13,2.02
5,2021-10-03,593934,663804,single,hit_into_play,4,Miguel Sano singles on a sharp line drive to left fielder Hunter Dozier.   Josh Donaldson scores.    Max Kepler to 3rd.,2,0,0,3,1,-0.3,2.9
6,2021-10-03,593934,663804,,ball,13,Miguel Sano singles on a sharp line drive to left fielder Hunter Dozier.   Josh Donaldson scores.    Max Kepler to 3rd.,1,0,0,2,1,-1.08,0.87
7,2021-10-03,593934,663804,,ball,14,Miguel Sano singles on a sharp line drive to left fielder Hunter Dozier.   Josh Donaldson scores.    Max Kepler to 3rd.,0,0,0,1,1,0.33,1.06
8,2021-10-03,593934,605130,field_out,hit_into_play,6,Miguel Sano lines out to center fielder Michael A.   Taylor.,3,2,2,6,8,0.35,2.32
9,2021-10-03,593934,605130,,ball,11,Miguel Sano lines out to center fielder Michael A.   Taylor.,2,2,2,5,8,-0.61,3.99
10,2021-10-03,593934,605130,,ball,12,Miguel Sano lines out to center fielder Michael A.   Taylor.,1,2,2,4,8,1.53,3.58
11,2021-10-03,593934,605130,,called_strike,6,Miguel Sano lines out to center fielder Michael A.   Taylor.,1,1,2,3,8,0.79,2.82
12,2021-10-03,593934,605130,,swinging_strike,14,Miguel Sano lines out to center fielder Michael A.   Taylor.,1,0,2,2,8,1.45,0.43
13,2021-10-03,593934,605130,,ball,14,Miguel Sano lines out to center fielder Michael A.   Taylor.,0,0,2,1,8,1.94,2.47
14,2021-10-03,593934,669395,strikeout,swinging_strike,5,Miguel Sano strikes out swinging.,1,2,0,5,6,0.18,2.8
15,2021-10-03,593934,669395,,foul,6,Miguel Sano strikes out swinging.,1,2,0,4,6,0.56,2.94
16,2021-10-03,593934,669395,,foul,3,Miguel Sano strikes out swinging.,1,1,0,3,6,0.48,3.08
17,2021-10-03,593934,669395,,swinging_strike,5,Miguel Sano strikes out swinging.,1,0,0,2,6,0.27,2.65
18,2021-10-03,593934,669395,,ball,14,Miguel Sano strikes out swinging.,0,0,0,1,6,2.19,1.08
19,2021-10-02,593934,663460,field_out,hit_into_play,11,Miguel Sano pops out to catcher Cam Gallagher in foul territory.,0,0,0,1,6,-0.85,2.87
20,2021-10-02,593934,663460,double,hit_into_play,4,Miguel Sano doubles (24) on a line drive to left fielder Andrew Benintendi.,2,1,1,4,4,-0.64,2.69
21,2021-10-02,593934,663460,,ball,12,Miguel Sano doubles (24) on a line drive to left fielder Andrew Benintendi.,1,1,1,3,4,0.2,3.87
22,2021-10-02,593934,663460,,ball,11,Miguel Sano doubles (24) on a line drive to left fielder Andrew Benintendi.,0,1,1,2,4,-0.42,4.19
23,2021-10-02,593934,663460,,swinging_strike,14,Miguel Sano doubles (24) on a line drive to left fielder Andrew Benintendi.,0,0,1,1,4,1.03,1.93
24,2021-10-02,593934,663460,strikeout,foul_tip,5,Miguel Sano strikes out on a foul tip.,0,2,2,3,1,0.0,2.66
25,2021-10-02,593934,663460,,foul,8,Miguel Sano strikes out on a foul tip.,0,1,2,2,1,-0.22,2.15
26,2021-10-02,593934,593619,single,hit_into_play,5,Miguel Sano singles on a line drive to left fielder Andrew Benintendi.   Josh Donaldson to 2nd.,2,1,1,4,8,-0.27,2.48
27,2021-10-02,593934,593619,,ball,13,Miguel Sano singles on a line drive to left fielder Andrew Benintendi.   Josh Donaldson to 2nd.,1,1,1,3,8,-1.14,2.67
28,2021-10-02,593934,663460,,foul,5,Miguel Sano strikes out on a foul tip.,0,0,2,1,1,-0.01,2.67
29,2021-10-02,593934,593619,,swinging_strike,14,Miguel Sano singles on a line drive to left fielder Andrew Benintendi.   Josh Donaldson to 2nd.,1,0,1,2,8,0.17,1.47
