,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-05-17,545361,656529,walk,ball,13,Mike Trout walks.,3,1,1,5,1,-1.91,1.93
1,2021-05-17,545361,656529,,ball,13,Mike Trout walks.,2,1,1,4,1,-1.58,1.61
2,2021-05-17,545361,656529,,called_strike,3,Mike Trout walks.,2,0,1,3,1,0.52,3.09
3,2021-05-17,545361,656529,,ball,8,Mike Trout walks.,1,0,1,2,1,0.2,1.9
4,2021-05-17,545361,656529,,ball,11,Mike Trout walks.,0,0,1,1,1,-0.17,3.96
5,2021-05-16,545361,543135,strikeout,swinging_strike_blocked,13,Mike Trout strikes out swinging.,0,2,0,3,5,-0.22,0.74
6,2021-05-16,545361,543135,,foul,6,Mike Trout strikes out swinging.,0,1,0,2,5,0.56,2.49
7,2021-05-16,545361,543135,,called_strike,5,Mike Trout strikes out swinging.,0,0,0,1,5,-0.07,2.45
8,2021-05-16,545361,543135,walk,ball,14,Mike Trout walks.   Jose Rojas to 2nd.,3,0,2,4,2,0.99,1.15
9,2021-05-16,545361,543135,,ball,14,Mike Trout walks.   Jose Rojas to 2nd.,2,0,2,3,2,2.03,1.24
10,2021-05-16,545361,543135,,ball,14,Mike Trout walks.   Jose Rojas to 2nd.,1,0,2,2,2,1.29,2.51
11,2021-05-16,545361,543135,,ball,14,Mike Trout walks.   Jose Rojas to 2nd.,0,0,2,1,2,1.07,1.86
12,2021-05-16,545361,598264,single,hit_into_play,1,Mike Trout singles on a fly ball to center fielder Hunter Renfroe.,1,1,2,3,9,-0.4,2.89
13,2021-05-16,545361,598264,,called_strike,9,Mike Trout singles on a fly ball to center fielder Hunter Renfroe.,1,0,2,2,9,0.76,1.73
14,2021-05-16,545361,598264,,ball,12,Mike Trout singles on a fly ball to center fielder Hunter Renfroe.,0,0,2,1,9,1.11,3.66
15,2021-05-16,545361,543135,strikeout,swinging_strike,6,Mike Trout strikes out swinging.,2,2,1,5,1,0.68,2.2
16,2021-05-16,545361,657031,field_out,hit_into_play,8,Mike Trout lines out to left fielder J.  D. Martinez.,3,2,1,6,7,-0.11,1.58
17,2021-05-16,545361,543135,,ball,11,Mike Trout strikes out swinging.,1,2,1,4,1,-1.21,3.12
18,2021-05-16,545361,657031,,ball,12,Mike Trout lines out to left fielder J.  D. Martinez.,2,2,1,5,7,1.09,2.96
19,2021-05-16,545361,543135,,called_strike,6,Mike Trout strikes out swinging.,1,1,1,3,1,0.37,2.32
20,2021-05-16,545361,657031,,ball,12,Mike Trout lines out to left fielder J.  D. Martinez.,1,2,1,4,7,0.01,4.33
21,2021-05-16,545361,543135,,ball,3,Mike Trout strikes out swinging.,0,1,1,2,1,0.71,3.64
22,2021-05-16,545361,657031,,swinging_strike,13,Mike Trout lines out to left fielder J.  D. Martinez.,1,1,1,3,7,-0.34,0.95
23,2021-05-16,545361,543135,,swinging_strike,3,Mike Trout strikes out swinging.,0,0,1,1,1,0.28,3.35
24,2021-05-16,545361,657031,,swinging_strike,7,Mike Trout lines out to left fielder J.  D. Martinez.,1,0,1,2,7,-0.48,1.63
25,2021-05-16,545361,657031,,ball,13,Mike Trout lines out to left fielder J.  D. Martinez.,0,0,1,1,7,-1.52,2.11
26,2021-05-15,545361,527048,field_out,hit_into_play,4,Mike Trout lines out sharply to center fielder Alex Verdugo.,1,2,0,6,6,-0.53,2.49
27,2021-05-15,545361,527048,,foul,6,Mike Trout lines out sharply to center fielder Alex Verdugo.,1,2,0,5,6,0.38,2.42
28,2021-05-15,545361,527048,,foul,11,Mike Trout lines out sharply to center fielder Alex Verdugo.,1,2,0,4,6,-1.19,3.22
29,2021-05-15,545361,527048,,ball,13,Mike Trout lines out sharply to center fielder Alex Verdugo.,0,2,0,3,6,-1.6,2.4
30,2021-05-15,545361,527048,,foul,14,Mike Trout lines out sharply to center fielder Alex Verdugo.,0,1,0,2,6,0.88,2.44
