,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,572287,592791,field_out,hit_into_play,6,Mike Zunino pops out to first baseman Anthony Rizzo.,0,1,2,2,2,0.49,2.52
1,2021-10-03,572287,592791,,called_strike,6,Mike Zunino pops out to first baseman Anthony Rizzo.,0,0,2,1,2,0.75,2.36
2,2021-10-03,572287,643338,strikeout,foul_tip,3,Mike Zunino strikes out on a foul tip.,2,2,0,5,7,0.47,3.16
3,2021-10-03,572287,643338,,ball,12,Mike Zunino strikes out on a foul tip.,1,2,0,4,7,0.73,3.69
4,2021-10-03,572287,643338,,swinging_strike,14,Mike Zunino strikes out on a foul tip.,1,1,0,3,7,1.35,2.45
5,2021-10-03,572287,643338,,ball,11,Mike Zunino strikes out on a foul tip.,0,1,0,2,7,-0.33,4.13
6,2021-10-03,572287,643338,,foul,6,Mike Zunino strikes out on a foul tip.,0,0,0,1,7,0.75,2.58
7,2021-10-03,572287,593974,force_out,hit_into_play,9,"Mike Zunino grounds into a force out, fielded by third baseman Rougned Odor.   Austin Meadows out at 3rd.    Ji-Man Choi to 2nd.    Mike Zunino to 1st.",2,0,1,3,4,0.6,1.6
8,2021-10-03,572287,593974,,blocked_ball,13,"Mike Zunino grounds into a force out, fielded by third baseman Rougned Odor.   Austin Meadows out at 3rd.    Ji-Man Choi to 2nd.    Mike Zunino to 1st.",1,0,1,2,4,-0.4,0.88
9,2021-10-03,572287,547973,field_out,hit_into_play,13,Mike Zunino lines out to left fielder Joey Gallo.,0,1,1,2,9,-0.17,1.3
10,2021-10-03,572287,547973,,called_strike,3,Mike Zunino lines out to left fielder Joey Gallo.,0,0,1,1,9,0.48,3.21
11,2021-10-03,572287,593974,,ball,14,"Mike Zunino grounds into a force out, fielded by third baseman Rougned Odor.   Austin Meadows out at 3rd.    Ji-Man Choi to 2nd.    Mike Zunino to 1st.",0,0,1,1,4,1.29,2.09
12,2021-10-02,572287,656756,home_run,hit_into_play,4,Mike Zunino homers (33) on a line drive to left field.,1,2,1,4,3,-0.73,2.63
13,2021-10-02,572287,656756,,ball,13,Mike Zunino homers (33) on a line drive to left field.,0,2,1,3,3,-1.39,1.09
14,2021-10-02,572287,656756,,called_strike,2,Mike Zunino homers (33) on a line drive to left field.,0,1,1,2,3,0.03,3.34
