,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,605141,676879,walk,blocked_ball,13,Mookie Betts walks.   Will Smith scores.    Chris Taylor to 3rd.    Matt Beaty to 2nd.,3,1,2,5,5,-0.68,0.86
1,2021-10-03,605141,676879,,ball,13,Mookie Betts walks.   Will Smith scores.    Chris Taylor to 3rd.    Matt Beaty to 2nd.,2,1,2,4,5,-1.06,1.49
2,2021-10-03,605141,676879,,foul,2,Mookie Betts walks.   Will Smith scores.    Chris Taylor to 3rd.    Matt Beaty to 2nd.,2,0,2,3,5,-0.11,2.97
3,2021-10-03,605141,676879,,ball,14,Mookie Betts walks.   Will Smith scores.    Chris Taylor to 3rd.    Matt Beaty to 2nd.,1,0,2,2,5,1.18,2.01
4,2021-10-03,605141,676879,,ball,12,Mookie Betts walks.   Will Smith scores.    Chris Taylor to 3rd.    Matt Beaty to 2nd.,0,0,2,1,5,0.58,4.11
5,2021-10-03,605141,519326,field_out,hit_into_play,1,Mookie Betts pops out to third baseman Luis Urias.,3,1,0,5,4,-0.47,3.16
6,2021-10-03,605141,502202,force_out,hit_into_play,11,"Mookie Betts grounds into a force out, third baseman Luis Urias to second baseman Jace Peterson.   Matt Beaty out at 2nd.",1,2,2,4,6,-0.9,2.77
7,2021-10-03,605141,474463,field_out,hit_into_play,13,"Mookie Betts grounds out, third baseman Luis Urias to first baseman Rowdy Tellez.",1,2,0,4,1,-0.21,1.37
8,2021-10-03,605141,519326,,called_strike,11,Mookie Betts pops out to third baseman Luis Urias.,3,0,0,4,4,-0.24,3.33
9,2021-10-03,605141,502202,,called_strike,8,"Mookie Betts grounds into a force out, third baseman Luis Urias to second baseman Jace Peterson.   Matt Beaty out at 2nd.",1,1,2,3,6,-0.05,1.58
10,2021-10-03,605141,474463,,ball,14,"Mookie Betts grounds out, third baseman Luis Urias to first baseman Rowdy Tellez.",0,2,0,3,1,0.82,0.23
11,2021-10-03,605141,519326,,ball,11,Mookie Betts pops out to third baseman Luis Urias.,2,0,0,3,4,-0.31,3.55
12,2021-10-03,605141,474463,,foul,9,"Mookie Betts grounds out, third baseman Luis Urias to first baseman Rowdy Tellez.",0,1,0,2,1,0.62,1.46
13,2021-10-03,605141,502202,,ball,13,"Mookie Betts grounds into a force out, third baseman Luis Urias to second baseman Jace Peterson.   Matt Beaty out at 2nd.",0,1,2,2,6,-1.21,2.33
14,2021-10-03,605141,519326,,ball,11,Mookie Betts pops out to third baseman Luis Urias.,1,0,0,2,4,-0.37,3.5
15,2021-10-03,605141,502202,,foul,5,"Mookie Betts grounds into a force out, third baseman Luis Urias to second baseman Jace Peterson.   Matt Beaty out at 2nd.",0,0,2,1,6,0.26,2.71
16,2021-10-03,605141,474463,,called_strike,4,"Mookie Betts grounds out, third baseman Luis Urias to first baseman Rowdy Tellez.",0,0,0,1,1,-0.44,2.15
17,2021-10-03,605141,519326,,ball,11,Mookie Betts pops out to third baseman Luis Urias.,0,0,0,1,4,-1.41,3.51
18,2021-10-02,605141,607067,field_out,hit_into_play,5,"Mookie Betts grounds out, third baseman Eduardo Escobar to first baseman Rowdy Tellez.",3,2,2,6,7,0.11,2.54
19,2021-10-02,605141,607067,,ball,14,"Mookie Betts grounds out, third baseman Eduardo Escobar to first baseman Rowdy Tellez.",2,2,2,5,7,1.28,1.34
20,2021-10-02,605141,607067,,called_strike,9,"Mookie Betts grounds out, third baseman Eduardo Escobar to first baseman Rowdy Tellez.",2,1,2,4,7,0.6,1.56
21,2021-10-02,605141,607067,,ball,12,"Mookie Betts grounds out, third baseman Eduardo Escobar to first baseman Rowdy Tellez.",1,1,2,3,7,1.12,3.43
22,2021-10-02,605141,607067,,ball,14,"Mookie Betts grounds out, third baseman Eduardo Escobar to first baseman Rowdy Tellez.",0,1,2,2,7,1.44,2.03
23,2021-10-02,605141,607067,,called_strike,3,"Mookie Betts grounds out, third baseman Eduardo Escobar to first baseman Rowdy Tellez.",0,0,2,1,7,0.53,3.36
24,2021-10-02,605141,607067,field_out,hit_into_play,3,Mookie Betts flies out to center fielder Lorenzo Cain.,2,2,0,5,5,0.56,3.08
25,2021-10-02,605141,607067,,foul,6,Mookie Betts flies out to center fielder Lorenzo Cain.,2,1,0,4,5,0.64,2.36
26,2021-10-02,605141,607067,,ball,14,Mookie Betts flies out to center fielder Lorenzo Cain.,1,1,0,3,5,1.56,1.73
27,2021-10-02,605141,607067,,swinging_strike,14,Mookie Betts flies out to center fielder Lorenzo Cain.,1,0,0,2,5,1.56,1.7
28,2021-10-02,605141,607067,,ball,14,Mookie Betts flies out to center fielder Lorenzo Cain.,0,0,0,1,5,1.9,1.43
29,2021-10-02,605141,607067,strikeout,called_strike,14,Mookie Betts called out on strikes.,2,2,0,7,3,0.84,1.75
30,2021-10-02,605141,607067,,foul,5,Mookie Betts called out on strikes.,2,2,0,6,3,0.0,2.63
31,2021-10-02,605141,669203,field_out,hit_into_play,9,Mookie Betts pops out to second baseman Kolten Wong.,2,2,0,6,1,0.38,1.69
32,2021-10-02,605141,607067,,foul,9,Mookie Betts called out on strikes.,2,2,0,5,3,0.62,1.97
33,2021-10-02,605141,669203,,foul,4,Mookie Betts pops out to second baseman Kolten Wong.,2,2,0,5,1,-0.41,2.51
34,2021-10-02,605141,669203,,ball,14,Mookie Betts pops out to second baseman Kolten Wong.,1,2,0,4,1,0.31,0.6
35,2021-10-02,605141,607067,,foul,5,Mookie Betts called out on strikes.,2,1,0,4,3,0.08,2.66
36,2021-10-02,605141,669203,,ball,14,Mookie Betts pops out to second baseman Kolten Wong.,0,2,0,3,1,1.2,0.5
37,2021-10-02,605141,607067,,ball,7,Mookie Betts called out on strikes.,1,1,0,3,3,-0.39,1.65
38,2021-10-02,605141,607067,,ball,14,Mookie Betts called out on strikes.,0,1,0,2,3,1.28,1.54
39,2021-10-02,605141,669203,,called_strike,6,Mookie Betts pops out to second baseman Kolten Wong.,0,1,0,2,1,0.8,2.13
40,2021-10-02,605141,607067,,called_strike,9,Mookie Betts called out on strikes.,0,0,0,1,3,0.8,1.64
41,2021-10-02,605141,669203,,called_strike,5,Mookie Betts pops out to second baseman Kolten Wong.,0,0,0,1,1,0.04,2.19
42,2021-10-01,605141,641778,single,hit_into_play,6,Mookie Betts singles on a line drive to center fielder Lorenzo Cain.   Austin Barnes to 3rd.    Albert Pujols to 2nd.,1,2,1,4,5,0.44,2.43
43,2021-10-01,605141,641778,,blocked_ball,14,Mookie Betts singles on a line drive to center fielder Lorenzo Cain.   Austin Barnes to 3rd.    Albert Pujols to 2nd.,0,2,1,3,5,0.47,0.63
44,2021-10-01,605141,641778,,foul,1,Mookie Betts singles on a line drive to center fielder Lorenzo Cain.   Austin Barnes to 3rd.    Albert Pujols to 2nd.,0,1,1,2,5,-0.71,3.29
45,2021-10-01,605141,641778,,called_strike,3,Mookie Betts singles on a line drive to center fielder Lorenzo Cain.   Austin Barnes to 3rd.    Albert Pujols to 2nd.,0,0,1,1,5,0.67,3.14
46,2021-10-01,605141,641778,strikeout,swinging_strike,2,Mookie Betts strikes out swinging.,2,2,0,6,3,0.25,3.05
47,2021-10-01,605141,641778,,ball,12,Mookie Betts strikes out swinging.,1,2,0,5,3,1.87,3.26
48,2021-10-01,605141,641778,,foul,11,Mookie Betts strikes out swinging.,1,2,0,4,3,-1.13,2.58
49,2021-10-01,605141,641778,,ball,14,Mookie Betts strikes out swinging.,0,2,0,3,3,1.88,1.66
50,2021-10-01,605141,641778,,foul,9,Mookie Betts strikes out swinging.,0,1,0,2,3,0.49,1.86
51,2021-10-01,605141,641778,,called_strike,8,Mookie Betts strikes out swinging.,0,0,0,1,3,0.14,1.89
52,2021-10-01,605141,594311,hit_by_pitch,hit_by_pitch,11,Mookie Betts hit by pitch.,3,2,1,6,7,-2.03,2.66
53,2021-10-01,605141,594311,,foul,5,Mookie Betts hit by pitch.,3,1,1,5,7,-0.12,2.14
