,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,663993,650644,field_out,hit_into_play,12,"Nathaniel Lowe grounds out, first baseman Yu Chang to pitcher Aaron Civale.",0,1,2,2,6,1.07,3.34
1,2021-10-03,663993,650644,,swinging_strike,14,"Nathaniel Lowe grounds out, first baseman Yu Chang to pitcher Aaron Civale.",0,0,2,1,6,1.42,1.59
2,2021-10-03,663993,650644,strikeout,swinging_strike,14,Nathaniel Lowe strikes out swinging.,2,2,1,5,4,0.71,1.07
3,2021-10-03,663993,650644,,ball,12,Nathaniel Lowe strikes out swinging.,1,2,1,4,4,1.0,3.46
4,2021-10-03,663993,650644,,called_strike,4,Nathaniel Lowe strikes out swinging.,1,1,1,3,4,-0.45,2.5
5,2021-10-03,663993,650644,,called_strike,2,Nathaniel Lowe strikes out swinging.,1,0,1,2,4,-0.19,3.1
6,2021-10-03,663993,650644,,ball,14,Nathaniel Lowe strikes out swinging.,0,0,1,1,4,0.32,1.1
7,2021-10-03,663993,661403,strikeout,swinging_strike,14,Nathaniel Lowe strikes out swinging.,2,2,1,10,9,0.89,1.64
8,2021-10-03,663993,661403,,ball,11,Nathaniel Lowe strikes out swinging.,1,2,1,9,9,-0.16,5.07
9,2021-10-03,663993,650644,field_out,hit_into_play,3,Nathaniel Lowe grounds out to first baseman Yu Chang.,1,1,0,3,2,0.77,3.0
10,2021-10-03,663993,661403,,foul,1,Nathaniel Lowe strikes out swinging.,1,2,1,8,9,-0.64,2.99
11,2021-10-03,663993,661403,,foul,8,Nathaniel Lowe strikes out swinging.,1,2,1,7,9,0.08,1.91
12,2021-10-03,663993,650644,,called_strike,9,Nathaniel Lowe grounds out to first baseman Yu Chang.,1,0,0,2,2,0.8,2.09
13,2021-10-03,663993,650644,,ball,1,Nathaniel Lowe grounds out to first baseman Yu Chang.,0,0,0,1,2,-0.72,3.62
14,2021-10-03,663993,661403,,foul,12,Nathaniel Lowe strikes out swinging.,1,2,1,6,9,1.4,2.95
15,2021-10-03,663993,661403,,foul,12,Nathaniel Lowe strikes out swinging.,1,2,1,5,9,1.39,2.98
16,2021-10-03,663993,661403,,foul,12,Nathaniel Lowe strikes out swinging.,1,2,1,4,9,1.27,2.71
17,2021-10-03,663993,661403,,called_strike,8,Nathaniel Lowe strikes out swinging.,1,1,1,3,9,0.1,1.95
18,2021-10-03,663993,661403,,called_strike,9,Nathaniel Lowe strikes out swinging.,1,0,1,2,9,0.63,1.64
19,2021-10-03,663993,661403,,ball,14,Nathaniel Lowe strikes out swinging.,0,0,1,1,9,1.27,2.38
20,2021-10-02,663993,663474,single,hit_into_play,5,Nathaniel Lowe singles on a line drive to left fielder Harold Ramirez.,0,1,0,2,4,-0.11,2.85
21,2021-10-02,663993,663474,,foul,5,Nathaniel Lowe singles on a line drive to left fielder Harold Ramirez.,0,0,0,1,4,0.26,2.92
22,2021-10-02,663993,663986,field_out,hit_into_play,5,Nathaniel Lowe flies out to left fielder Harold Ramirez.,0,0,2,1,5,0.14,2.39
23,2021-10-02,663993,663474,strikeout,swinging_strike_blocked,14,Nathaniel Lowe strikes out swinging.,2,2,1,7,1,0.16,1.0
24,2021-10-02,663993,663474,,foul,2,Nathaniel Lowe strikes out swinging.,2,2,1,6,1,0.02,3.01
25,2021-10-02,663993,656529,single,hit_into_play,3,Nathaniel Lowe singles on a fly ball to center fielder Myles Straw.   Adolis Garcia to 2nd.,0,0,0,1,8,0.77,3.06
26,2021-10-02,663993,663474,,foul,5,Nathaniel Lowe strikes out swinging.,2,2,1,5,1,0.0,2.31
27,2021-10-02,663993,663474,,foul,6,Nathaniel Lowe strikes out swinging.,2,1,1,4,1,0.38,2.72
28,2021-10-02,663993,663474,,foul,2,Nathaniel Lowe strikes out swinging.,2,0,1,3,1,-0.2,3.0
29,2021-10-02,663993,663474,,blocked_ball,13,Nathaniel Lowe strikes out swinging.,1,0,1,2,1,-0.53,0.62
30,2021-10-02,663993,663474,,ball,13,Nathaniel Lowe strikes out swinging.,0,0,1,1,1,-1.06,2.17
31,2021-10-01,663993,669212,home_run,hit_into_play,9,Nathaniel Lowe homers (18) on a fly ball to right center field.,2,1,1,4,6,0.48,1.63
32,2021-10-01,663993,669212,,ball,12,Nathaniel Lowe homers (18) on a fly ball to right center field.,1,1,1,3,6,1.24,3.27
33,2021-10-01,663993,669212,,ball,12,Nathaniel Lowe homers (18) on a fly ball to right center field.,0,1,1,2,6,1.0,4.15
34,2021-10-01,663993,669212,,called_strike,1,Nathaniel Lowe homers (18) on a fly ball to right center field.,0,0,1,1,6,-0.72,3.15
35,2021-10-01,663993,669212,single,hit_into_play,6,Nathaniel Lowe singles on a line drive to left fielder Oscar Mercado.,2,2,1,6,3,0.42,2.25
36,2021-10-01,663993,669212,,foul,4,Nathaniel Lowe singles on a line drive to left fielder Oscar Mercado.,2,2,1,5,3,-0.36,2.39
