,name,vsa,vsb,vsc,apal,pa,ba,obp,bb,so
0,xander_bogaerts,0.3269461077844311,0.13954975620897506,0.24236899335657042,4.1393034825870645,603,0.295,0.37,62,113
1,rafael_devers,0.4524380495603517,0.23707660377721917,0.3304500977531228,3.76355421686747,664,0.279,0.352,62,143
2,alex_verdugo,0.36231884057971014,0.20337844322871676,0.287815529321432,3.8675496688741724,604,0.289,0.351,51,96
3,trevor_story,0.43297252289758537,0.1993590775194341,0.28843470777153496,4.00672268907563,595,0.251,0.329,53,139
4,freddie_freeman,0.5133928571428571,0.359436022610483,0.48173818088386433,3.8633093525179856,695,0.3,0.393,85,107
5,mookie_betts,0.46236559139784944,0.30600195503421307,0.4296383186705767,4.043636363636364,550,0.264,0.367,68,86
6,aaron_judge,0.4269027882441598,0.1772977329519007,0.2957811452741756,4.18957345971564,633,0.287,0.373,75,158
7,giancarlo_stanton,0.3602638087386645,0.08910664120843997,0.1979149313638804,4.1882556131260795,579,0.273,0.354,63,157
8,ozzie_albies,0.4831288343558282,0.2965399130730294,0.3650530326065571,3.7886297376093294,686,0.259,0.311,47,128
9,dansby_swanson,0.4685802948021722,0.21283756892162092,0.29247003446526565,3.9264931087289434,653,0.248,0.311,52,167
10,shohei_ohtani,0.4356206630686199,0.13984601518129597,0.29008075696533353,4.023474178403756,639,0.257,0.373,96,189
11,mike_trout,0.45901639344262296,0.17819447563440377,0.36312598248371886,4.1506849315068495,146,0.333,0.466,27,41
12,tony_kemp,0.4109861019192588,0.2825226258487298,0.41350499360691617,3.783375314861461,397,0.279,0.382,52,51
13,juan_soto,0.48788927335640137,0.34568743849401606,0.5673999767203157,3.9357798165137616,654,0.313,0.465,145,93
14,eric_hosmer,0.35818181818181816,0.18296057924376505,0.26791633145615446,3.8743362831858406,565,0.269,0.337,48,99
15,francisco_lindor,0.45610687022900764,0.27290076335877866,0.38358778625954204,3.9522900763358777,524,0.23,0.322,58,96
16,christian_yelich,0.49502982107355864,0.25713508423145337,0.40450350528408496,4.231578947368421,475,0.248,0.362,70,113
17,didi_gregorius,0.4569620253164557,0.2927463390419459,0.3540208488458675,3.8676470588235294,408,0.209,0.27,25,67
18,hunter_renfroe,0.3591967138293017,0.13192398655657442,0.20884706347965135,3.8111888111888113,572,0.259,0.315,44,130
19,kyle_schwarber,0.44008056394763345,0.1704414981302237,0.30632260216419394,4.197452229299363,471,0.266,0.374,64,127
20,marcus_semien,0.484775915155662,0.2831184565921261,0.3742786775866012,4.016574585635359,724,0.265,0.334,66,146
21,mitch_haniger,0.3708108108108108,0.12623772832166463,0.20438534047795986,3.986975397973951,691,0.253,0.318,54,169
22,bo_bichette,0.41740130318129554,0.21885057854361437,0.276821593036368,3.7797101449275363,690,0.298,0.344,40,137
23,cedric_mullins,0.3678516228748068,0.18266643768962165,0.27007384509702903,3.823703703703704,675,0.291,0.36,59,125
24,jose_altuve,0.3748493370831659,0.2406310479976202,0.337976180740983,3.6474926253687316,678,0.278,0.35,66,91
25,salvador_perez,0.3419732441471572,0.0863341464027963,0.12843940956069103,3.5729323308270677,665,0.273,0.316,28,170
26,kyle_tucker,0.5513761467889908,0.3926459880588321,0.48612041486659224,3.8289241622574957,567,0.295,0.359,53,90
27,joey_gallo,0.4628637059724349,0.11708448519321413,0.2972792903880193,4.224025974025974,616,0.199,0.351,111,213
28,anthony_rizzo,0.3668161434977579,0.21577447683109122,0.306052254608869,3.8350694444444446,576,0.248,0.344,52,87
29,christian_arroyo,0.39655172413793105,0.15345780148599736,0.19765669651362167,3.7845303867403315,181,0.262,0.324,8,44
30,enrique_hernandez,0.4295805739514349,0.24154638591724686,0.34581989019075116,3.8632478632478633,585,0.25,0.337,61,110
31,yu_chang,0.44248704663212435,0.16758664822574987,0.211411349420969,3.8406374501992033,251,0.228,0.267,11,69
32,jonathan_schoop,0.3670788253477589,0.16974944849315945,0.22464559092639388,3.808605341246291,674,0.278,0.321,37,133
33,jon_berti,0.4024604569420035,0.17736820601949427,0.2954493868313024,4.195571955719557,271,0.21,0.311,32,61
34,byron_buxton,0.47675675675675677,0.23266226856778038,0.28384337092998513,3.6377952755905514,254,0.306,0.358,13,62
35,trey_mancini,0.3500810372771475,0.11793818013429036,0.20073038792649817,3.969155844155844,616,0.255,0.326,51,143
36,lane_thomas,0.3865470852017937,0.14791072156543006,0.2880622367169452,4.223484848484849,264,0.235,0.341,37,63
37,albert_pujols,0.3232413178984862,0.17121429087145917,0.2185115881687565,3.7837837837837838,296,0.236,0.284,14,45
38,khris_davis,0.565410199556541,0.2934803749951375,0.38119967324075155,3.956140350877193,114,0.206,0.272,10,31
39,taylor_jones,0.3867924528301887,0.11827393431167016,0.1553109713487072,3.9074074074074074,108,0.245,0.269,4,29
40,nick_senzel,0.5059952038369304,0.3769629457724143,0.4737371393208014,3.3629032258064515,124,0.252,0.323,12,16
41,richie_martin,0.46633416458852867,0.199667497921862,0.2377627360171001,3.7142857142857144,105,0.235,0.269,4,28
42,riley_adams,0.4025974025974026,0.0692640692640693,0.1942640692640693,4.45,120,0.222,0.358,15,40
43,luke_williams,0.43825665859564167,0.2252936956326787,0.3178862882252713,3.824074074074074,108,0.245,0.315,10,23
44,pablo_sandoval,0.40897097625329815,0.11827330183469348,0.24618027857887953,4.406976744186046,86,0.178,0.302,11,25
45,mike_zunino,0.3914780292942743,0.0394780292942743,0.13014469596094097,4.005333333333334,375,0.216,0.301,34,132
46,gavin_lux,0.501734906315059,0.28388713728618764,0.3914986858426181,3.7611548556430447,381,0.242,0.328,41,83
47,starlin_castro,0.3591331269349845,0.1799423754898978,0.255086884160418,3.7167630057803467,346,0.283,0.333,26,62
48,elias_diaz,0.49196633511859217,0.33024126773314744,0.4111038014258698,3.5067385444743935,371,0.246,0.31,30,60
49,matt_olson,0.4787310742609949,0.31082617084346154,0.441583971734992,4.086181277860327,673,0.271,0.372,88,113
50,joey_votto,0.4650537634408602,0.22677984224010972,0.3712451330468639,4.181988742964353,533,0.266,0.375,77,127
51,josh_rojas,0.4067357512953368,0.1576448422044277,0.26309938765897317,4.170909090909091,550,0.265,0.341,58,137
52,nathaniel_lowe,0.4277220364176886,0.17538558781955776,0.2999961797198693,4.138629283489097,642,0.264,0.357,80,162
53,nick_solak,0.35540408958130476,0.14601074320165702,0.2125469467241619,3.9941291585127203,511,0.242,0.314,34,107
54,ian_happ,0.4328888888888889,0.1413001038421599,0.25718795430944963,4.17570093457944,535,0.226,0.323,62,156
55,myles_straw,0.39200904636260836,0.20235387394881527,0.3073695479300065,4.148902821316614,638,0.271,0.349,67,121
56,miguel_sano,0.4031890660592255,0.05920410365321044,0.17010635929230816,4.110902255639098,532,0.223,0.312,59,183
57,paul_goldschmidt,0.39731006906579425,0.1970155182557795,0.2956900396107132,4.035346097201767,679,0.294,0.365,67,136
58,yordan_alvarez,0.378389653733834,0.13591473734587411,0.21952677747965338,3.983277591973244,598,0.278,0.346,50,145
59,wil_myers,0.38308457711442784,0.10108457711442786,0.20908457711442785,3.986,500,0.256,0.334,54,141
60,justin_turner,0.4425963488843813,0.28246562993013297,0.3821388325445121,3.9901960784313726,612,0.278,0.361,61,98
61,carlos_correa,0.3946360153256705,0.2133860153256705,0.3305735153256705,4.0546875,640,0.279,0.366,75,116
62,max_muncy,0.447822514379622,0.2451198116769193,0.385322514379622,4.079391891891892,592,0.25,0.368,83,120
63,adam_duvall,0.34754402224281744,0.03403050872930391,0.09709357179236697,3.873873873873874,555,0.228,0.281,35,174
64,miguel_cabrera,0.39164619164619163,0.16731159088573536,0.24335721826216122,3.8479087452471483,526,0.256,0.316,40,118
65,ty_france,0.42857142857142855,0.2654945054945055,0.33626373626373623,3.68,650,0.291,0.368,46,106
66,jonathan_india,0.36284525160802117,0.13939041801055682,0.25191022783623035,4.147385103011094,631,0.269,0.376,71,141
67,nick_castellanos,0.4297713485767615,0.2229337417391547,0.29301921182462476,3.658119658119658,585,0.309,0.362,41,121
68,andrew_benintendi,0.4337408312958435,0.2534434335263268,0.32035793166759075,3.758364312267658,538,0.276,0.324,36,97
69,kris_bryant,0.4731182795698925,0.24274285294873207,0.34854490073030203,3.7849829351535837,586,0.265,0.353,62,135
70,david_fletcher,0.3097385031559964,0.21951293924622195,0.2661294805996054,3.3097744360902257,665,0.262,0.297,31,60
71,manny_machado,0.40840035746201964,0.24902535746201965,0.34746285746201966,3.48125,640,0.278,0.347,63,102
72,jorge_soler,0.4720265230004144,0.23614612432931809,0.347441805392441,3.9767441860465116,602,0.223,0.317,67,142
73,kyle_seager,0.442443226311668,0.20214471884898141,0.2902044203415187,3.7940298507462686,670,0.212,0.285,59,161
74,carlos_santana,0.44863266814486324,0.2938526984938769,0.42435345721921836,4.088012139605463,659,0.214,0.319,86,102
75,eugenio_suarez,0.42701798410706815,0.12910857644156293,0.22666955205131903,4.155052264808362,574,0.198,0.286,56,171
76,kevin_newman,0.37279335410176534,0.29878613388515884,0.3475225959790217,3.449458483754513,554,0.226,0.265,27,41
77,elvis_andrus,0.3550901120311739,0.20536737635649738,0.2626686702566822,3.767097966728281,541,0.244,0.294,31,81
78,austin_hays,0.3561573837506387,0.15388895274874836,0.20681900945952342,3.6862003780718338,529,0.256,0.308,28,107
79,randal_grichuk,0.4226546906187625,0.21348037869215697,0.2630216630958267,3.6550458715596332,545,0.241,0.281,27,114
80,hunter_dozier,0.41040462427745666,0.12679504785020068,0.20598473477469426,3.7974217311233884,543,0.216,0.286,43,154
81,ryan_mountcastle,0.37777777777777777,0.10303375047402352,0.17299962078119074,3.9044368600682593,586,0.255,0.309,41,161
82,tommy_edman,0.3774885145482389,0.24000660427327508,0.29499936838326063,3.7655571635311142,691,0.262,0.308,38,95
83,bryce_harper,0.506872136609746,0.2831659596481433,0.4501108678284438,3.988313856427379,599,0.309,0.429,100,134
