,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-07-29,467055,612434,strikeout,swinging_strike_blocked,13,Pablo Sandoval strikes out swinging.,0,2,2,3,6,-0.15,0.56
1,2021-07-29,467055,612434,,called_strike,11,Pablo Sandoval strikes out swinging.,0,1,2,2,6,-1.03,2.82
2,2021-07-29,467055,612434,,called_strike,1,Pablo Sandoval strikes out swinging.,0,0,2,1,6,-0.7,3.11
3,2021-07-28,467055,621242,field_out,hit_into_play,6,Pablo Sandoval lines out to left fielder Kevin Pillar.,3,2,2,8,9,0.62,2.41
4,2021-07-28,467055,621242,,foul,2,Pablo Sandoval lines out to left fielder Kevin Pillar.,3,2,2,7,9,-0.12,3.29
5,2021-07-28,467055,621242,,ball,12,Pablo Sandoval lines out to left fielder Kevin Pillar.,2,2,2,6,9,0.63,4.07
6,2021-07-28,467055,621242,,ball,12,Pablo Sandoval lines out to left fielder Kevin Pillar.,1,2,2,5,9,0.24,3.95
7,2021-07-28,467055,621242,,foul,2,Pablo Sandoval lines out to left fielder Kevin Pillar.,1,2,2,4,9,0.27,3.2
8,2021-07-28,467055,621242,,swinging_strike,12,Pablo Sandoval lines out to left fielder Kevin Pillar.,1,1,2,3,9,1.1,2.77
9,2021-07-28,467055,621242,,foul,6,Pablo Sandoval lines out to left fielder Kevin Pillar.,1,0,2,2,9,0.77,2.67
10,2021-07-28,467055,621242,,ball,11,Pablo Sandoval lines out to left fielder Kevin Pillar.,0,0,2,1,9,-0.01,3.64
11,2021-07-26,467055,612434,strikeout,called_strike,4,Pablo Sandoval called out on strikes.,1,2,2,4,6,-0.4,2.78
12,2021-07-26,467055,612434,,ball,13,Pablo Sandoval called out on strikes.,0,2,2,3,6,-1.64,2.34
13,2021-07-26,467055,612434,,foul,13,Pablo Sandoval called out on strikes.,0,1,2,2,6,-1.04,1.88
14,2021-07-26,467055,612434,,called_strike,1,Pablo Sandoval called out on strikes.,0,0,2,1,6,-0.81,2.77
15,2021-07-25,467055,605400,field_out,hit_into_play,5,"Pablo Sandoval grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.",2,2,1,5,8,-0.16,2.51
16,2021-07-25,467055,605400,,ball,14,"Pablo Sandoval grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.",1,2,1,4,8,1.95,0.37
17,2021-07-25,467055,605400,,swinging_strike,8,"Pablo Sandoval grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.",1,1,1,3,8,0.16,1.5
