,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,621006,547943,single,hit_into_play,6,Richie Martin singles on a ground ball to right fielder Teoscar Hernandez.,1,2,1,4,5,0.79,2.11
1,2021-10-03,621006,547943,,foul,9,Richie Martin singles on a ground ball to right fielder Teoscar Hernandez.,1,1,1,3,5,0.3,2.02
2,2021-10-03,621006,547943,,foul,11,Richie Martin singles on a ground ball to right fielder Teoscar Hernandez.,1,0,1,2,5,-0.48,3.52
3,2021-10-03,621006,547943,,ball,14,Richie Martin singles on a ground ball to right fielder Teoscar Hernandez.,0,0,1,1,5,0.23,1.14
4,2021-10-03,621006,547943,field_out,hit_into_play,1,Richie Martin bunt grounds out softly to first baseman Vladimir Guerrero.   Pat Valaika to 2nd.,0,0,0,1,3,-0.81,3.04
5,2021-10-03,621006,663878,strikeout,called_strike,6,Richie Martin called out on strikes.,0,2,1,3,6,0.78,2.4
6,2021-10-03,621006,663878,,swinging_strike,9,Richie Martin called out on strikes.,0,1,1,2,6,0.77,1.55
7,2021-10-03,621006,663878,,swinging_strike,14,Richie Martin called out on strikes.,0,0,1,1,6,1.57,1.56
8,2021-10-03,621006,606930,strikeout,swinging_strike,14,Richie Martin strikes out swinging.,1,2,0,4,8,1.06,2.37
9,2021-10-03,621006,606930,,swinging_strike,8,Richie Martin strikes out swinging.,1,1,0,3,8,-0.25,2.08
10,2021-10-03,621006,606930,,ball,14,Richie Martin strikes out swinging.,0,1,0,2,8,0.63,1.34
11,2021-10-03,621006,606930,,foul,6,Richie Martin strikes out swinging.,0,0,0,1,8,0.71,2.29
12,2021-10-02,621006,666201,strikeout,swinging_strike,9,Richie Martin strikes out swinging.,1,2,2,4,5,0.79,1.45
13,2021-10-02,621006,666201,,ball,14,Richie Martin strikes out swinging.,0,2,2,3,5,0.73,1.0
14,2021-10-02,621006,666201,,swinging_strike,4,Richie Martin strikes out swinging.,0,1,2,2,5,-0.42,2.65
15,2021-10-02,621006,666201,,swinging_strike,3,Richie Martin strikes out swinging.,0,0,2,1,5,0.43,2.81
16,2021-10-02,621006,666201,strikeout,swinging_strike,2,Richie Martin strikes out swinging.,1,2,0,4,3,-0.2,2.81
17,2021-10-02,621006,666201,,ball,14,Richie Martin strikes out swinging.,0,2,0,3,3,1.92,0.88
18,2021-10-02,621006,666201,,called_strike,6,Richie Martin strikes out swinging.,0,1,0,2,3,0.64,2.38
19,2021-10-02,621006,666201,,called_strike,2,Richie Martin strikes out swinging.,0,0,0,1,3,0.01,3.26
20,2021-10-02,621006,548389,single,hit_into_play,2,Richie Martin singles on a ground ball to center fielder George Springer.,0,2,2,3,8,0.02,3.27
21,2021-10-02,621006,548389,,swinging_strike,6,Richie Martin singles on a ground ball to center fielder George Springer.,0,1,2,2,8,0.46,2.7
22,2021-10-02,621006,548389,,foul_tip,3,Richie Martin singles on a ground ball to center fielder George Springer.,0,0,2,1,8,0.39,2.83
23,2021-10-01,621006,571927,field_out,hit_into_play,1,Richie Martin flies out to right fielder Teoscar Hernandez in foul territory.,1,1,0,3,6,-0.38,3.06
24,2021-10-01,621006,571927,,called_strike,1,Richie Martin flies out to right fielder Teoscar Hernandez in foul territory.,1,0,0,2,6,-0.45,3.34
25,2021-10-01,621006,571927,,ball,12,Richie Martin flies out to right fielder Teoscar Hernandez in foul territory.,0,0,0,1,6,1.0,5.05
26,2021-10-01,621006,571927,single,hit_into_play,11,Richie Martin singles on a fly ball to left fielder Corey Dickerson.,0,2,1,3,3,-0.84,2.97
27,2021-10-01,621006,571927,,called_strike,3,Richie Martin singles on a fly ball to left fielder Corey Dickerson.,0,1,1,2,3,0.44,2.84
28,2021-10-01,621006,571927,,called_strike,5,Richie Martin singles on a fly ball to left fielder Corey Dickerson.,0,0,1,1,3,-0.13,2.04
29,2021-10-01,621006,643256,field_out,hit_into_play,9,"Richie Martin grounds out, second baseman Marcus Semien to first baseman Cavan Biggio.",1,1,0,3,8,0.42,2.06
30,2021-10-01,621006,643256,,ball,3,"Richie Martin grounds out, second baseman Marcus Semien to first baseman Cavan Biggio.",0,1,0,2,8,0.67,2.91
31,2021-10-01,621006,643256,,foul,5,"Richie Martin grounds out, second baseman Marcus Semien to first baseman Cavan Biggio.",0,0,0,1,8,-0.21,2.75
32,2021-09-29,621006,543135,field_out,hit_into_play,14,"Richie Martin grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.",2,2,2,5,5,0.87,1.07
33,2021-09-29,621006,543135,,foul,5,"Richie Martin grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.",2,1,2,4,5,-0.09,2.7
34,2021-09-29,621006,543135,,swinging_strike,3,"Richie Martin grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.",2,0,2,3,5,0.62,2.95
35,2021-09-29,621006,543135,,ball,12,"Richie Martin grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.",1,0,2,2,5,0.36,3.67
36,2021-09-29,621006,543135,,ball,11,"Richie Martin grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.",0,0,2,1,5,-0.23,4.19
37,2021-09-29,621006,543135,field_out,hit_into_play,14,Richie Martin lines out to shortstop Xander Bogaerts.,1,1,0,3,3,0.91,1.76
38,2021-09-29,621006,543135,,ball,12,Richie Martin lines out to shortstop Xander Bogaerts.,0,1,0,2,3,0.38,4.22
