,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,656180,593958,strikeout,called_strike,1,Riley Adams called out on strikes.,2,2,2,5,8,-0.33,3.04
1,2021-10-03,656180,593958,,called_strike,12,Riley Adams called out on strikes.,2,1,2,4,8,0.97,3.25
2,2021-10-03,656180,593958,,ball,12,Riley Adams called out on strikes.,1,1,2,3,8,1.77,3.06
3,2021-10-03,656180,593958,,ball,14,Riley Adams called out on strikes.,0,1,2,2,8,1.31,0.39
4,2021-10-03,656180,593958,,called_strike,9,Riley Adams called out on strikes.,0,0,2,1,8,0.62,1.61
5,2021-09-29,656180,623485,strikeout,swinging_strike,8,Riley Adams strikes out swinging.,3,2,0,6,5,-0.17,1.78
6,2021-09-29,656180,623485,,called_strike,6,Riley Adams strikes out swinging.,3,1,0,5,5,0.78,2.52
7,2021-09-29,656180,623485,,called_strike,8,Riley Adams strikes out swinging.,3,0,0,4,5,0.21,2.0
8,2021-09-29,656180,623485,,ball,14,Riley Adams strikes out swinging.,2,0,0,3,5,1.5,1.76
9,2021-09-29,656180,623485,,ball,14,Riley Adams strikes out swinging.,1,0,0,2,5,1.32,1.83
10,2021-09-29,656180,623485,,ball,12,Riley Adams strikes out swinging.,0,0,0,1,5,1.2,3.45
11,2021-09-29,656180,663567,walk,ball,11,Riley Adams walks.,3,2,2,6,1,-1.46,3.2
12,2021-09-29,656180,663567,,ball,12,Riley Adams walks.,2,2,2,5,1,0.02,4.24
13,2021-09-29,656180,663567,,ball,12,Riley Adams walks.,1,2,2,4,1,1.01,2.79
14,2021-09-29,656180,663567,,called_strike,8,Riley Adams walks.,1,1,2,3,1,0.14,1.82
15,2021-09-29,656180,663567,,ball,11,Riley Adams walks.,0,1,2,2,1,-0.84,3.61
16,2021-09-29,656180,663567,,called_strike,6,Riley Adams walks.,0,0,2,1,1,0.5,2.26
17,2021-09-29,656180,656458,field_out,hit_into_play,6,Riley Adams flies out to right fielder Charlie Blackmon.,3,2,2,6,7,0.4,2.95
18,2021-09-29,656180,656458,,ball,12,Riley Adams flies out to right fielder Charlie Blackmon.,2,2,2,5,7,0.05,3.59
19,2021-09-29,656180,656458,,swinging_strike,13,Riley Adams flies out to right fielder Charlie Blackmon.,2,1,2,4,7,-1.18,2.1
20,2021-09-29,656180,656458,,blocked_ball,13,Riley Adams flies out to right fielder Charlie Blackmon.,1,1,2,3,7,-1.79,0.27
21,2021-09-29,656180,656458,,ball,12,Riley Adams flies out to right fielder Charlie Blackmon.,0,1,2,2,7,1.2,4.36
22,2021-09-29,656180,656458,,called_strike,7,Riley Adams flies out to right fielder Charlie Blackmon.,0,0,2,1,7,-0.6,1.64
23,2021-09-29,656180,622075,hit_by_pitch,hit_by_pitch,11,Riley Adams hit by pitch.,3,2,0,8,3,-3.08,3.07
24,2021-09-29,656180,622075,,foul,8,Riley Adams hit by pitch.,3,2,0,7,3,-0.27,1.99
25,2021-09-29,656180,622075,,ball,11,Riley Adams hit by pitch.,2,2,0,6,3,-1.4,3.64
26,2021-09-29,656180,622075,,foul,14,Riley Adams hit by pitch.,2,2,0,5,3,0.22,1.18
27,2021-09-29,656180,622075,,ball,11,Riley Adams hit by pitch.,1,2,0,4,3,-0.17,4.14
28,2021-09-29,656180,622075,,ball,14,Riley Adams hit by pitch.,0,2,0,3,3,1.73,0.83
29,2021-09-29,656180,622075,,swinging_strike,14,Riley Adams hit by pitch.,0,1,0,2,3,0.84,0.99
30,2021-09-29,656180,622075,,called_strike,7,Riley Adams hit by pitch.,0,0,0,1,3,-0.7,2.0
31,2021-09-26,656180,641816,strikeout,swinging_strike,14,Riley Adams strikes out swinging.,2,2,0,5,5,1.18,1.45
32,2021-09-26,656180,641816,,ball,14,Riley Adams strikes out swinging.,1,2,0,4,5,1.16,2.16
33,2021-09-26,656180,641816,,foul,5,Riley Adams strikes out swinging.,1,1,0,3,5,-0.14,2.76
34,2021-09-26,656180,641816,,called_strike,3,Riley Adams strikes out swinging.,1,0,0,2,5,0.65,3.28
35,2021-09-26,656180,641816,,ball,14,Riley Adams strikes out swinging.,0,0,0,1,5,1.56,1.93
36,2021-09-26,656180,641816,walk,ball,12,Riley Adams walks.,3,0,0,4,3,0.3,3.57
37,2021-09-26,656180,641816,,ball,14,Riley Adams walks.,2,0,0,3,3,1.24,2.35
38,2021-09-26,656180,641816,,ball,14,Riley Adams walks.,1,0,0,2,3,1.14,1.58
39,2021-09-26,656180,641816,,ball,14,Riley Adams walks.,0,0,0,1,3,1.29,2.0
40,2021-09-26,656180,656546,strikeout,called_strike,3,Riley Adams called out on strikes.,2,2,0,5,9,0.44,3.08
41,2021-09-26,656180,656546,,swinging_strike,12,Riley Adams called out on strikes.,2,1,0,4,9,0.95,2.95
42,2021-09-26,656180,656546,,ball,14,Riley Adams called out on strikes.,1,1,0,3,9,0.29,1.01
43,2021-09-26,656180,656546,,ball,12,Riley Adams called out on strikes.,0,1,0,2,9,1.06,2.9
44,2021-09-26,656180,664294,walk,ball,12,Riley Adams walks.,3,2,0,7,7,1.17,2.95
45,2021-09-26,656180,664294,,ball,12,Riley Adams walks.,2,2,0,6,7,0.13,3.55
46,2021-09-26,656180,656546,,called_strike,6,Riley Adams called out on strikes.,0,0,0,1,9,0.34,2.44
47,2021-09-26,656180,664294,,foul,1,Riley Adams walks.,2,2,0,5,7,-0.52,3.41
48,2021-09-26,656180,664294,,ball,11,Riley Adams walks.,1,2,0,4,7,-0.51,4.65
49,2021-09-26,656180,664294,,foul,6,Riley Adams walks.,1,1,0,3,7,0.52,2.76
50,2021-09-26,656180,664294,,ball,14,Riley Adams walks.,0,1,0,2,7,1.93,2.29
51,2021-09-26,656180,664294,,called_strike,5,Riley Adams walks.,0,0,0,1,7,0.21,2.63
52,2021-09-24,656180,605521,walk,ball,12,Riley Adams walks.   Ryan Zimmerman to 3rd.    Juan Soto to 2nd.,3,1,2,5,11,1.05,2.71
53,2021-09-24,656180,605521,,called_strike,7,Riley Adams walks.   Ryan Zimmerman to 3rd.    Juan Soto to 2nd.,3,0,2,4,11,-0.42,1.88
54,2021-09-24,656180,605521,,blocked_ball,14,Riley Adams walks.   Ryan Zimmerman to 3rd.    Juan Soto to 2nd.,2,0,2,3,11,0.83,0.82
55,2021-09-24,656180,605521,,ball,14,Riley Adams walks.   Ryan Zimmerman to 3rd.    Juan Soto to 2nd.,1,0,2,2,11,1.11,2.32
56,2021-09-24,656180,605521,,ball,12,Riley Adams walks.   Ryan Zimmerman to 3rd.    Juan Soto to 2nd.,0,0,2,1,11,1.52,2.73
57,2021-09-19,656180,656458,field_out,hit_into_play,1,"Riley Adams grounds out, second baseman Brendan Rodgers to first baseman C.  J. Cron.",1,1,2,3,6,-0.58,3.32
58,2021-09-19,656180,656458,,called_strike,13,"Riley Adams grounds out, second baseman Brendan Rodgers to first baseman C.  J. Cron.",1,0,2,2,6,-0.86,2.22
59,2021-09-19,656180,656458,,ball,11,"Riley Adams grounds out, second baseman Brendan Rodgers to first baseman C.  J. Cron.",0,0,2,1,6,-1.15,3.59
60,2021-09-15,656180,669432,field_out,hit_into_play,6,"Riley Adams grounds out sharply, second baseman Joe Panik to first baseman Lewin Diaz.   Jordy Mercer to 3rd.",1,2,0,5,4,0.41,2.39
61,2021-09-15,656180,669432,,foul,5,"Riley Adams grounds out sharply, second baseman Joe Panik to first baseman Lewin Diaz.   Jordy Mercer to 3rd.",1,2,0,4,4,-0.21,2.61
62,2021-09-15,656180,669432,,called_strike,7,"Riley Adams grounds out sharply, second baseman Joe Panik to first baseman Lewin Diaz.   Jordy Mercer to 3rd.",1,1,0,3,4,-0.38,1.76
63,2021-09-15,656180,669432,,ball,12,"Riley Adams grounds out sharply, second baseman Joe Panik to first baseman Lewin Diaz.   Jordy Mercer to 3rd.",0,1,0,2,4,1.19,2.62
64,2021-09-15,656180,669432,,called_strike,4,"Riley Adams grounds out sharply, second baseman Joe Panik to first baseman Lewin Diaz.   Jordy Mercer to 3rd.",0,0,0,1,4,-0.43,2.3
65,2021-09-15,656180,669432,field_out,hit_into_play,5,Riley Adams flies out to right fielder Jesus Sanchez.,2,0,1,3,2,0.18,2.87
66,2021-09-15,656180,669432,,ball,12,Riley Adams flies out to right fielder Jesus Sanchez.,1,0,1,2,2,1.26,3.29
67,2021-09-15,656180,669432,,ball,9,Riley Adams flies out to right fielder Jesus Sanchez.,0,0,1,1,2,0.78,2.14
68,2021-09-15,656180,542914,walk,ball,14,Riley Adams walks.   Yadiel Hernandez to 2nd.,3,2,2,7,7,1.72,1.87
69,2021-09-15,656180,542914,,ball,12,Riley Adams walks.   Yadiel Hernandez to 2nd.,2,2,2,6,7,1.26,2.74
70,2021-09-15,656180,542914,,ball,14,Riley Adams walks.   Yadiel Hernandez to 2nd.,1,2,2,5,7,1.06,1.47
71,2021-09-15,656180,542914,,foul,9,Riley Adams walks.   Yadiel Hernandez to 2nd.,1,2,2,4,7,0.74,2.16
72,2021-09-15,656180,669294,strikeout,swinging_strike,14,Riley Adams strikes out swinging.,3,2,2,6,8,0.86,2.3
73,2021-09-15,656180,542914,,called_strike,14,Riley Adams walks.   Yadiel Hernandez to 2nd.,1,1,2,3,7,0.9,2.25
74,2021-09-15,656180,669294,,swinging_strike,6,Riley Adams strikes out swinging.,3,1,2,5,8,0.45,2.68
