,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-07-11,516770,592332,single,hit_into_play,6,Starlin Castro singles on a ground ball to left fielder Alex Dickerson.   Juan Soto to 3rd.    Josh Bell to 2nd.,2,2,0,6,7,0.39,2.66
1,2021-07-11,516770,592332,,foul,14,Starlin Castro singles on a ground ball to left fielder Alex Dickerson.   Juan Soto to 3rd.    Josh Bell to 2nd.,2,2,0,5,7,0.02,1.13
2,2021-07-11,516770,592332,,called_strike,12,Starlin Castro singles on a ground ball to left fielder Alex Dickerson.   Juan Soto to 3rd.    Josh Bell to 2nd.,2,1,0,4,7,0.88,2.69
3,2021-07-11,516770,592332,,ball,13,Starlin Castro singles on a ground ball to left fielder Alex Dickerson.   Juan Soto to 3rd.    Josh Bell to 2nd.,1,1,0,3,7,-0.28,1.19
4,2021-07-11,516770,592332,,called_strike,8,Starlin Castro singles on a ground ball to left fielder Alex Dickerson.   Juan Soto to 3rd.    Josh Bell to 2nd.,1,0,0,2,7,-0.22,2.15
5,2021-07-11,516770,592332,,ball,11,Starlin Castro singles on a ground ball to left fielder Alex Dickerson.   Juan Soto to 3rd.    Josh Bell to 2nd.,0,0,0,1,7,-2.14,2.85
6,2021-07-11,516770,592332,grounded_into_double_play,hit_into_play,7,"Starlin Castro grounds into a double play, shortstop Brandon Crawford to second baseman Donovan Solano to first baseman LaMonte Wade.   Josh Bell out at 2nd.    Starlin Castro out at 1st.",1,2,1,4,4,-0.36,2.17
7,2021-07-11,516770,592332,,foul,4,"Starlin Castro grounds into a double play, shortstop Brandon Crawford to second baseman Donovan Solano to first baseman LaMonte Wade.   Josh Bell out at 2nd.    Starlin Castro out at 1st.",1,1,1,3,4,-0.38,2.84
8,2021-07-11,516770,592332,,foul,1,"Starlin Castro grounds into a double play, shortstop Brandon Crawford to second baseman Donovan Solano to first baseman LaMonte Wade.   Josh Bell out at 2nd.    Starlin Castro out at 1st.",1,0,1,2,4,-0.75,3.06
9,2021-07-11,516770,592332,,ball,14,"Starlin Castro grounds into a double play, shortstop Brandon Crawford to second baseman Donovan Solano to first baseman LaMonte Wade.   Josh Bell out at 2nd.    Starlin Castro out at 1st.",0,0,1,1,4,0.76,1.43
10,2021-07-11,516770,592332,single,hit_into_play,8,Starlin Castro singles on a sharp ground ball to shortstop Brandon Crawford.,3,2,0,6,2,-0.2,1.67
11,2021-07-11,516770,592332,,ball,14,Starlin Castro singles on a sharp ground ball to shortstop Brandon Crawford.,2,2,0,5,2,0.32,-0.37
12,2021-07-11,516770,592332,,swinging_strike,13,Starlin Castro singles on a sharp ground ball to shortstop Brandon Crawford.,2,1,0,4,2,-0.46,1.34
13,2021-07-11,516770,592332,,called_strike,8,Starlin Castro singles on a sharp ground ball to shortstop Brandon Crawford.,2,0,0,3,2,0.05,1.57
14,2021-07-11,516770,592332,,ball,14,Starlin Castro singles on a sharp ground ball to shortstop Brandon Crawford.,1,0,0,2,2,0.09,1.15
15,2021-07-11,516770,592332,,ball,14,Starlin Castro singles on a sharp ground ball to shortstop Brandon Crawford.,0,0,0,1,2,0.45,1.04
16,2021-07-11,516770,459429,double,hit_into_play,5,Starlin Castro doubles (20) on a sharp fly ball to right fielder Mike Yastrzemski.,1,1,2,3,9,0.17,2.63
17,2021-07-11,516770,459429,,called_strike,3,Starlin Castro doubles (20) on a sharp fly ball to right fielder Mike Yastrzemski.,1,0,2,2,9,0.68,3.26
18,2021-07-11,516770,459429,,ball,12,Starlin Castro doubles (20) on a sharp fly ball to right fielder Mike Yastrzemski.,0,0,2,1,9,1.34,4.04
19,2021-07-10,516770,543101,field_out,hit_into_play,4,Starlin Castro flies out to right fielder Mike Yastrzemski in foul territory.,1,1,2,3,6,-0.52,2.45
20,2021-07-10,516770,543101,,ball,14,Starlin Castro flies out to right fielder Mike Yastrzemski in foul territory.,0,1,2,2,6,1.59,1.5
21,2021-07-10,516770,543101,,foul,4,Starlin Castro flies out to right fielder Mike Yastrzemski in foul territory.,0,0,2,1,6,-0.51,2.76
22,2021-07-10,516770,543101,field_out,hit_into_play,4,"Starlin Castro grounds out, pitcher Anthony DeSclafani to first baseman Darin Ruf.",2,2,1,5,4,-0.6,2.19
23,2021-07-10,516770,543101,,ball,12,"Starlin Castro grounds out, pitcher Anthony DeSclafani to first baseman Darin Ruf.",1,2,1,4,4,1.49,3.19
24,2021-07-10,516770,543101,,ball,14,"Starlin Castro grounds out, pitcher Anthony DeSclafani to first baseman Darin Ruf.",0,2,1,3,4,0.71,0.02
25,2021-07-10,516770,543101,,called_strike,7,"Starlin Castro grounds out, pitcher Anthony DeSclafani to first baseman Darin Ruf.",0,1,1,2,4,-0.55,1.59
26,2021-07-10,516770,543101,,called_strike,6,"Starlin Castro grounds out, pitcher Anthony DeSclafani to first baseman Darin Ruf.",0,0,1,1,4,0.49,2.52
27,2021-07-10,516770,543101,single,hit_into_play,3,Starlin Castro singles on a sharp ground ball to right fielder Mike Yastrzemski.,1,2,0,4,2,0.34,3.03
28,2021-07-10,516770,543101,,foul,7,Starlin Castro singles on a sharp ground ball to right fielder Mike Yastrzemski.,1,1,0,3,2,-0.32,1.75
29,2021-07-10,516770,543101,,called_strike,8,Starlin Castro singles on a sharp ground ball to right fielder Mike Yastrzemski.,1,0,0,2,2,-0.17,2.06
30,2021-07-10,516770,543101,,ball,14,Starlin Castro singles on a sharp ground ball to right fielder Mike Yastrzemski.,0,0,0,1,2,1.18,0.79
31,2021-07-09,516770,657277,single,hit_into_play,4,Starlin Castro singles on a ground ball to center fielder Steven Duggar.,3,1,0,5,2,-0.41,2.38
32,2021-07-09,516770,657277,,ball,1,Starlin Castro singles on a ground ball to center fielder Steven Duggar.,2,1,0,4,2,-0.73,3.06
33,2021-07-09,516770,657277,,called_strike,5,Starlin Castro singles on a ground ball to center fielder Steven Duggar.,2,0,0,3,2,0.03,2.75
34,2021-07-09,516770,657277,,ball,11,Starlin Castro singles on a ground ball to center fielder Steven Duggar.,1,0,0,2,2,-1.36,2.92
35,2021-07-09,516770,657277,,ball,2,Starlin Castro singles on a ground ball to center fielder Steven Duggar.,0,0,0,1,2,0.27,3.45
36,2021-07-09,516770,501625,field_out,hit_into_play,9,Starlin Castro lines out to center fielder Steven Duggar.   Juan Soto to 3rd.,3,2,0,6,4,0.77,2.08
37,2021-07-09,516770,501625,,foul,7,Starlin Castro lines out to center fielder Steven Duggar.   Juan Soto to 3rd.,3,1,0,5,4,-0.42,1.6
38,2021-07-09,516770,501625,,called_strike,8,Starlin Castro lines out to center fielder Steven Duggar.   Juan Soto to 3rd.,3,0,0,4,4,0.2,1.6
39,2021-07-09,516770,501625,,ball,13,Starlin Castro lines out to center fielder Steven Duggar.   Juan Soto to 3rd.,2,0,0,3,4,-0.43,1.35
40,2021-07-09,516770,501625,,ball,14,Starlin Castro lines out to center fielder Steven Duggar.   Juan Soto to 3rd.,1,0,0,2,4,0.52,1.35
41,2021-07-09,516770,643511,single,hit_into_play,4,Starlin Castro singles on a line drive to right fielder Mike Yastrzemski.,2,1,1,4,8,-0.33,2.5
42,2021-07-09,516770,501625,,ball,14,Starlin Castro lines out to center fielder Steven Duggar.   Juan Soto to 3rd.,0,0,0,1,4,1.0,2.14
43,2021-07-09,516770,643511,,called_strike,6,Starlin Castro singles on a line drive to right fielder Mike Yastrzemski.,2,0,1,3,8,0.33,2.35
44,2021-07-09,516770,641793,walk,ball,1,Starlin Castro walks.,3,1,0,5,6,-0.73,3.54
45,2021-07-09,516770,643511,,ball,13,Starlin Castro singles on a line drive to right fielder Mike Yastrzemski.,1,0,1,2,8,-0.28,-0.27
46,2021-07-09,516770,641793,,ball,13,Starlin Castro walks.,2,1,0,4,6,-0.11,1.25
47,2021-07-09,516770,641793,,ball,13,Starlin Castro walks.,1,1,0,3,6,-1.39,2.52
48,2021-07-09,516770,643511,,ball,13,Starlin Castro singles on a line drive to right fielder Mike Yastrzemski.,0,0,1,1,8,-1.41,1.48
49,2021-07-09,516770,641793,,ball,14,Starlin Castro walks.,0,1,0,2,6,0.81,0.4
50,2021-07-09,516770,641793,,called_strike,6,Starlin Castro walks.,0,0,0,1,6,0.5,2.75
51,2021-07-08,516770,506433,sac_fly,hit_into_play,5,Starlin Castro out on a sacrifice fly to center fielder Trent Grisham.   Juan Soto scores.  Throwing error by center fielder Trent Grisham.,3,1,0,5,3,-0.12,2.52
52,2021-07-08,516770,506433,,ball,11,Starlin Castro out on a sacrifice fly to center fielder Trent Grisham.   Juan Soto scores.  Throwing error by center fielder Trent Grisham.,2,1,0,4,3,-0.9,3.14
