,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-08-29,622100,621368,strikeout,foul_tip,9,Taylor Jones strikes out on a foul tip.,3,2,1,6,6,0.41,2.09
1,2021-08-29,622100,621368,,ball,14,Taylor Jones strikes out on a foul tip.,2,2,1,5,6,1.41,1.47
2,2021-08-29,622100,621368,,ball,11,Taylor Jones strikes out on a foul tip.,1,2,1,4,6,-1.15,3.16
3,2021-08-29,622100,621368,,swinging_strike,11,Taylor Jones strikes out on a foul tip.,1,1,1,3,6,-0.38,4.02
4,2021-08-29,622100,621368,,ball,14,Taylor Jones strikes out on a foul tip.,0,1,1,2,6,1.11,2.25
5,2021-08-29,622100,621368,,called_strike,14,Taylor Jones strikes out on a foul tip.,0,0,1,1,6,0.91,2.02
6,2021-08-29,622100,605194,field_out,hit_into_play,13,Taylor Jones flies out to left fielder Jason Martin.,1,2,1,5,8,-0.31,1.59
7,2021-08-29,622100,605194,,foul,4,Taylor Jones flies out to left fielder Jason Martin.,1,2,1,4,8,-0.4,2.9
8,2021-08-29,622100,605194,,ball,14,Taylor Jones flies out to left fielder Jason Martin.,0,2,1,3,8,0.57,1.2
9,2021-08-29,622100,605194,,swinging_strike,12,Taylor Jones flies out to left fielder Jason Martin.,0,1,1,2,8,1.06,2.92
10,2021-08-29,622100,605194,,called_strike,14,Taylor Jones flies out to left fielder Jason Martin.,0,0,1,1,8,0.92,2.38
11,2021-08-24,622100,663903,single,hit_into_play,4,Taylor Jones singles on a line drive to right fielder Jarrod Dyson.,3,2,0,6,4,-0.74,2.82
12,2021-08-24,622100,663903,,ball,14,Taylor Jones singles on a line drive to right fielder Jarrod Dyson.,2,2,0,5,4,1.01,1.98
13,2021-08-24,622100,663903,,ball,14,Taylor Jones singles on a line drive to right fielder Jarrod Dyson.,1,2,0,4,4,1.21,1.19
14,2021-08-24,622100,663903,,called_strike,7,Taylor Jones singles on a line drive to right fielder Jarrod Dyson.,1,1,0,3,4,-0.5,2.11
