,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,643393,664353,sac_fly,hit_into_play,11,Tony Kemp out on a sacrifice fly to center fielder Chas McCormick.   Luis Barrera scores.    Pete Kozma to 2nd.,2,1,0,4,5,-0.14,3.33
1,2021-10-03,643393,664353,,ball,12,Tony Kemp out on a sacrifice fly to center fielder Chas McCormick.   Luis Barrera scores.    Pete Kozma to 2nd.,1,1,0,3,5,0.14,4.97
2,2021-10-03,643393,664353,,foul,6,Tony Kemp out on a sacrifice fly to center fielder Chas McCormick.   Luis Barrera scores.    Pete Kozma to 2nd.,1,0,0,2,5,0.66,1.97
3,2021-10-03,643393,664353,,ball,12,Tony Kemp out on a sacrifice fly to center fielder Chas McCormick.   Luis Barrera scores.    Pete Kozma to 2nd.,0,0,0,1,5,0.34,4.25
4,2021-10-03,643393,664353,home_run,hit_into_play,4,Tony Kemp homers (8) on a fly ball to left center field.,1,1,1,3,3,-0.78,2.29
5,2021-10-03,643393,664353,,ball,11,Tony Kemp homers (8) on a fly ball to left center field.,0,1,1,2,3,-0.53,4.18
6,2021-10-03,643393,664353,,called_strike,5,Tony Kemp homers (8) on a fly ball to left center field.,0,0,1,1,3,-0.22,2.32
7,2021-10-03,643393,425844,field_out,hit_into_play,4,"Tony Kemp grounds out, shortstop Carlos Correa to first baseman Marwin Gonzalez.",0,0,0,1,8,-0.56,1.97
8,2021-10-03,643393,664353,field_out,hit_into_play,11,Tony Kemp flies out to center fielder Chas McCormick.,2,2,0,5,1,-0.59,3.59
9,2021-10-03,643393,664353,,ball,11,Tony Kemp flies out to center fielder Chas McCormick.,1,2,0,4,1,-1.77,2.58
10,2021-10-03,643393,664353,,foul,11,Tony Kemp flies out to center fielder Chas McCormick.,1,1,0,3,1,-1.07,3.61
11,2021-10-03,643393,664353,,swinging_strike,2,Tony Kemp flies out to center fielder Chas McCormick.,1,0,0,2,1,0.1,2.67
12,2021-10-03,643393,664353,,ball,11,Tony Kemp flies out to center fielder Chas McCormick.,0,0,0,1,1,-1.07,4.11
13,2021-10-02,643393,543606,single,hit_into_play,7,"Tony Kemp singles on a line drive to left fielder Yordan Alvarez.   Sean Murphy scores.  Tony Kemp out at 2nd on the throw, left fielder Yordan Alvarez to second baseman Jose Altuve.",1,1,1,3,5,-0.7,1.84
14,2021-10-02,643393,543606,,ball,11,"Tony Kemp singles on a line drive to left fielder Yordan Alvarez.   Sean Murphy scores.  Tony Kemp out at 2nd on the throw, left fielder Yordan Alvarez to second baseman Jose Altuve.",0,1,1,2,5,-1.22,3.36
15,2021-10-02,643393,543606,,foul,4,"Tony Kemp singles on a line drive to left fielder Yordan Alvarez.   Sean Murphy scores.  Tony Kemp out at 2nd on the throw, left fielder Yordan Alvarez to second baseman Jose Altuve.",0,0,1,1,5,-0.55,2.43
16,2021-10-02,643393,543606,single,hit_into_play,4,Tony Kemp singles on a line drive to right fielder Kyle Tucker.,1,0,0,2,3,-0.73,2.15
17,2021-10-02,643393,543606,,ball,4,Tony Kemp singles on a line drive to right fielder Kyle Tucker.,0,0,0,1,3,-0.79,2.33
18,2021-10-02,643393,608665,single,hit_into_play,5,Tony Kemp singles on a line drive to right fielder Kyle Tucker.   Matt Chapman scores.    Khris Davis to 2nd.,3,1,2,5,8,0.25,2.32
19,2021-10-02,643393,592773,field_out,hit_into_play,5,Tony Kemp flies out to right fielder Kyle Tucker.,0,0,2,1,6,-0.02,2.28
20,2021-10-02,643393,608665,,called_strike,1,Tony Kemp singles on a line drive to right fielder Kyle Tucker.   Matt Chapman scores.    Khris Davis to 2nd.,3,0,2,4,8,-0.47,2.9
21,2021-10-02,643393,608665,,ball,14,Tony Kemp singles on a line drive to right fielder Kyle Tucker.   Matt Chapman scores.    Khris Davis to 2nd.,2,0,2,3,8,1.12,2.11
22,2021-10-02,643393,608665,,ball,14,Tony Kemp singles on a line drive to right fielder Kyle Tucker.   Matt Chapman scores.    Khris Davis to 2nd.,1,0,2,2,8,0.98,2.25
23,2021-10-02,643393,608665,,ball,11,Tony Kemp singles on a line drive to right fielder Kyle Tucker.   Matt Chapman scores.    Khris Davis to 2nd.,0,0,2,1,8,-1.0,3.02
24,2021-10-02,643393,543606,single,hit_into_play,8,Tony Kemp singles on a line drive to center fielder Jake Meyers.,2,0,0,3,1,0.12,1.93
25,2021-10-02,643393,543606,,ball,13,Tony Kemp singles on a line drive to center fielder Jake Meyers.,1,0,0,2,1,-1.15,2.14
26,2021-10-02,643393,543606,,ball,14,Tony Kemp singles on a line drive to center fielder Jake Meyers.,0,0,0,1,1,0.9,1.86
27,2021-10-01,643393,664285,field_out,hit_into_play,8,"Tony Kemp grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",1,1,0,3,5,0.21,1.47
28,2021-10-01,643393,664285,,foul,5,"Tony Kemp grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",1,0,0,2,5,0.26,2.34
29,2021-10-01,643393,664285,,ball,13,"Tony Kemp grounds out, shortstop Carlos Correa to first baseman Aledmys Diaz.",0,0,0,1,5,-1.5,1.18
30,2021-10-01,643393,664299,double,hit_into_play,2,Tony Kemp hits a ground-rule double (16) on a fly ball to right field.   Yan Gomes scores.    Seth Brown to 3rd.,1,0,2,2,8,0.06,3.02
31,2021-10-01,643393,664299,,ball,12,Tony Kemp hits a ground-rule double (16) on a fly ball to right field.   Yan Gomes scores.    Seth Brown to 3rd.,0,0,2,1,8,0.32,4.09
32,2021-10-01,643393,664285,walk,ball,12,Tony Kemp walks.,3,2,0,6,3,0.93,2.36
33,2021-10-01,643393,664285,,ball,14,Tony Kemp walks.,2,2,0,5,3,0.26,1.19
34,2021-10-01,643393,664285,,ball,14,Tony Kemp walks.,1,2,0,4,3,1.2,1.66
35,2021-10-01,643393,664285,,ball,13,Tony Kemp walks.,0,2,0,3,3,-0.61,0.63
36,2021-10-01,643393,664285,,called_strike,8,Tony Kemp walks.,0,1,0,2,3,-0.25,1.39
37,2021-10-01,643393,664285,,called_strike,6,Tony Kemp walks.,0,0,0,1,3,0.4,2.45
38,2021-10-01,643393,664299,single,hit_into_play,1,Tony Kemp singles on a line drive to left fielder Yordan Alvarez.,1,1,1,3,7,-0.51,2.77
39,2021-10-01,643393,664299,,called_strike,5,Tony Kemp singles on a line drive to left fielder Yordan Alvarez.,1,0,1,2,7,-0.01,2.46
40,2021-10-01,643393,664299,,ball,11,Tony Kemp singles on a line drive to left fielder Yordan Alvarez.,0,0,1,1,7,-0.48,3.85
