,game_date,batter,pitcher,events,description,zone,des,balls,strikes,outs_when_up,pitch_number,inning,plate_x,plate_z
0,2021-10-03,644374,641540,strikeout,called_strike,9,Yu Chang called out on strikes.,2,2,1,5,3,0.36,1.83
1,2021-10-03,644374,641540,,ball,14,Yu Chang called out on strikes.,1,2,1,4,3,1.12,1.0
2,2021-10-03,644374,641540,,foul,2,Yu Chang called out on strikes.,1,1,1,3,3,-0.12,2.93
3,2021-10-03,644374,641540,,foul,4,Yu Chang called out on strikes.,1,0,1,2,3,-0.61,2.52
4,2021-10-03,644374,641540,,ball,11,Yu Chang called out on strikes.,0,0,1,1,3,-0.41,3.7
5,2021-10-03,644374,592314,home_run,hit_into_play,1,Yu Chang homers (9) on a fly ball to left center field.   Franmil Reyes scores.,3,2,1,8,5,-0.48,3.27
6,2021-10-03,644374,592314,,foul,6,Yu Chang homers (9) on a fly ball to left center field.   Franmil Reyes scores.,3,2,1,7,5,0.37,2.54
7,2021-10-03,644374,592314,,ball,11,Yu Chang homers (9) on a fly ball to left center field.   Franmil Reyes scores.,2,2,1,6,5,-1.39,4.71
8,2021-10-03,644374,592314,,foul,8,Yu Chang homers (9) on a fly ball to left center field.   Franmil Reyes scores.,2,2,1,5,5,-0.18,1.63
9,2021-10-03,644374,592314,,swinging_strike,14,Yu Chang homers (9) on a fly ball to left center field.   Franmil Reyes scores.,2,1,1,4,5,1.31,1.61
10,2021-10-03,644374,592314,,called_strike,8,Yu Chang homers (9) on a fly ball to left center field.   Franmil Reyes scores.,2,0,1,3,5,0.15,1.91
11,2021-10-03,644374,592314,,ball,13,Yu Chang homers (9) on a fly ball to left center field.   Franmil Reyes scores.,1,0,1,2,5,-1.29,2.08
12,2021-10-03,644374,592314,,ball,14,Yu Chang homers (9) on a fly ball to left center field.   Franmil Reyes scores.,0,0,1,1,5,0.29,1.11
13,2021-10-03,644374,641540,field_out,hit_into_play,2,Yu Chang flies out to center fielder DJ Peters.,1,1,2,3,1,-0.26,2.87
14,2021-10-03,644374,641540,,foul,8,Yu Chang flies out to center fielder DJ Peters.,1,0,2,2,1,-0.08,1.48
15,2021-10-03,644374,641540,,ball,14,Yu Chang flies out to center fielder DJ Peters.,0,0,2,1,1,1.66,1.36
16,2021-10-03,644374,642701,strikeout,swinging_strike,14,Yu Chang strikes out swinging.,3,2,2,6,7,1.35,1.49
17,2021-10-03,644374,642701,,called_strike,9,Yu Chang strikes out swinging.,3,1,2,5,7,0.47,1.89
18,2021-10-03,644374,642701,,ball,11,Yu Chang strikes out swinging.,2,1,2,4,7,-1.41,3.18
19,2021-10-03,644374,642701,,ball,14,Yu Chang strikes out swinging.,1,1,2,3,7,1.9,1.5
20,2021-10-03,644374,642701,,ball,14,Yu Chang strikes out swinging.,0,1,2,2,7,0.74,0.9
21,2021-10-03,644374,642701,,called_strike,3,Yu Chang strikes out swinging.,0,0,2,1,7,0.32,3.02
22,2021-10-02,644374,543475,strikeout,swinging_strike,14,Yu Chang strikes out swinging.,3,2,1,7,5,0.88,1.89
23,2021-10-02,644374,543475,,foul,5,Yu Chang strikes out swinging.,3,2,1,6,5,0.07,2.5
24,2021-10-02,644374,543475,,ball,11,Yu Chang strikes out swinging.,2,2,1,5,5,-1.84,2.47
25,2021-10-02,644374,543475,,ball,14,Yu Chang strikes out swinging.,1,2,1,4,5,1.72,1.61
26,2021-10-02,644374,543475,,ball,14,Yu Chang strikes out swinging.,0,2,1,3,5,1.59,0.78
27,2021-10-02,644374,543475,,swinging_strike,7,Yu Chang strikes out swinging.,0,1,1,2,5,-0.34,1.67
28,2021-10-02,644374,543475,,called_strike,9,Yu Chang strikes out swinging.,0,0,1,1,5,0.46,1.84
29,2021-10-02,644374,543475,hit_by_pitch,hit_by_pitch,11,Yu Chang hit by pitch.,0,0,0,1,3,-1.22,4.13
30,2021-10-02,644374,607359,field_out,hit_into_play,9,Yu Chang flies out to left fielder Willie Calhoun.,2,2,1,5,8,0.73,2.1
31,2021-10-02,644374,607359,,called_strike,7,Yu Chang flies out to left fielder Willie Calhoun.,2,1,1,4,8,-0.36,1.39
32,2021-10-02,644374,607359,,ball,14,Yu Chang flies out to left fielder Willie Calhoun.,1,1,1,3,8,1.7,0.65
33,2021-10-02,644374,607359,,ball,13,Yu Chang flies out to left fielder Willie Calhoun.,0,1,1,2,8,-0.23,1.34
34,2021-10-02,644374,607359,,swinging_strike,14,Yu Chang flies out to left fielder Willie Calhoun.,0,0,1,1,8,1.11,2.06
35,2021-09-30,644374,672582,field_out,hit_into_play,1,"Yu Chang grounds out, second baseman Whit Merrifield to first baseman Carlos Santana.",2,2,1,5,4,-0.6,2.85
36,2021-09-30,644374,672582,,ball,12,"Yu Chang grounds out, second baseman Whit Merrifield to first baseman Carlos Santana.",1,2,1,4,4,0.93,4.22
37,2021-09-30,644374,672582,,ball,14,"Yu Chang grounds out, second baseman Whit Merrifield to first baseman Carlos Santana.",0,2,1,3,4,1.46,1.47
38,2021-09-30,644374,672582,,foul,1,"Yu Chang grounds out, second baseman Whit Merrifield to first baseman Carlos Santana.",0,1,1,2,4,-0.52,3.11
39,2021-09-30,644374,672582,,called_strike,5,"Yu Chang grounds out, second baseman Whit Merrifield to first baseman Carlos Santana.",0,0,1,1,4,0.23,2.67
40,2021-09-30,644374,676604,field_out,hit_into_play,8,Yu Chang lines out to left fielder Andrew Benintendi.,0,1,2,2,7,0.27,1.77
41,2021-09-30,644374,676604,,swinging_strike,14,Yu Chang lines out to left fielder Andrew Benintendi.,0,0,2,1,7,0.84,1.75
42,2021-09-30,644374,669395,walk,ball,14,Yu Chang walks.   Harold Ramirez to 2nd.,3,2,0,7,6,0.11,1.55
43,2021-09-30,644374,672582,field_out,hit_into_play,7,Yu Chang flies out to right fielder Hunter Dozier.,0,0,1,1,2,-0.35,2.08
44,2021-09-30,644374,669395,,foul,6,Yu Chang walks.   Harold Ramirez to 2nd.,3,2,0,6,6,0.33,2.18
45,2021-09-30,644374,669395,,foul,8,Yu Chang walks.   Harold Ramirez to 2nd.,3,1,0,5,6,-0.17,1.93
46,2021-09-30,644374,669395,,ball,14,Yu Chang walks.   Harold Ramirez to 2nd.,2,1,0,4,6,0.55,1.15
47,2021-09-30,644374,669395,,blocked_ball,14,Yu Chang walks.   Harold Ramirez to 2nd.,1,1,0,3,6,0.33,0.5
48,2021-09-30,644374,669395,,foul,7,Yu Chang walks.   Harold Ramirez to 2nd.,1,0,0,2,6,-0.31,1.99
49,2021-09-30,644374,669395,,ball,14,Yu Chang walks.   Harold Ramirez to 2nd.,0,0,0,1,6,1.71,1.4
50,2021-09-29,644374,663738,single,hit_into_play,9,Yu Chang singles on a sharp line drive to center fielder Michael A.   Taylor.,3,2,0,7,4,0.71,1.69
51,2021-09-29,644374,663738,,ball,13,Yu Chang singles on a sharp line drive to center fielder Michael A.   Taylor.,2,2,0,6,4,-1.14,0.87
52,2021-09-29,644374,663738,,ball,13,Yu Chang singles on a sharp line drive to center fielder Michael A.   Taylor.,1,2,0,5,4,-0.85,1.24
53,2021-09-29,644374,663738,,foul,2,Yu Chang singles on a sharp line drive to center fielder Michael A.   Taylor.,1,2,0,4,4,-0.06,3.36
54,2021-09-29,644374,663738,,foul,11,Yu Chang singles on a sharp line drive to center fielder Michael A.   Taylor.,1,1,0,3,4,-1.02,3.19
55,2021-09-29,644374,663738,,ball,12,Yu Chang singles on a sharp line drive to center fielder Michael A.   Taylor.,0,1,0,2,4,1.27,2.73
56,2021-09-29,644374,663738,,called_strike,4,Yu Chang singles on a sharp line drive to center fielder Michael A.   Taylor.,0,0,0,1,4,-0.41,2.7
57,2021-09-29,644374,606303,double,hit_into_play,8,Yu Chang doubles (14) on a line drive to left fielder Andrew Benintendi.   Franmil Reyes scores.    Harold Ramirez to 3rd.,0,0,1,1,5,0.03,1.64
58,2021-09-29,644374,663738,strikeout,swinging_strike_blocked,13,Yu Chang strikes out swinging.,1,2,0,5,2,-0.58,0.78
59,2021-09-29,644374,663738,,ball,1,Yu Chang strikes out swinging.,0,2,0,4,2,-0.71,3.46
60,2021-09-29,644374,663738,,foul,5,Yu Chang strikes out swinging.,0,2,0,3,2,-0.05,2.53
61,2021-09-29,644374,663738,,called_strike,7,Yu Chang strikes out swinging.,0,1,0,2,2,-0.78,1.84
62,2021-09-29,644374,663738,,foul,6,Yu Chang strikes out swinging.,0,0,0,1,2,0.32,2.2
63,2021-09-29,644374,593619,field_out,hit_into_play,6,"Yu Chang grounds out, shortstop Nicky Lopez to first baseman Hunter Dozier.",1,0,0,2,8,0.51,2.37
64,2021-09-29,644374,593619,,ball,13,"Yu Chang grounds out, shortstop Nicky Lopez to first baseman Hunter Dozier.",0,0,0,1,8,-1.13,1.62
65,2021-09-28,644374,429722,field_out,hit_into_play,14,Yu Chang lines out to right fielder Kyle Isbel.,0,0,0,1,4,0.98,2.34
66,2021-09-28,644374,429722,field_out,hit_into_play,14,Yu Chang lines out to center fielder Michael A.   Taylor.,2,2,0,5,2,1.05,2.18
67,2021-09-28,644374,429722,,ball,14,Yu Chang lines out to center fielder Michael A.   Taylor.,1,2,0,4,2,1.04,-0.3
68,2021-09-28,644374,642100,field_out,hit_into_play,5,Yu Chang flies out to right fielder Kyle Isbel.,1,1,1,3,6,-0.05,2.68
69,2021-09-28,644374,429722,,ball,11,Yu Chang lines out to center fielder Michael A.   Taylor.,0,2,0,3,2,-0.59,6.51
70,2021-09-28,644374,642100,,ball,13,Yu Chang flies out to right fielder Kyle Isbel.,0,1,1,2,6,-0.71,1.41
71,2021-09-28,644374,429722,,foul,12,Yu Chang lines out to center fielder Michael A.   Taylor.,0,1,0,2,2,0.98,3.14
72,2021-09-28,644374,642100,,called_strike,2,Yu Chang flies out to right fielder Kyle Isbel.,0,0,1,1,6,-0.04,3.08
73,2021-09-28,644374,641394,double,hit_into_play,6,Yu Chang doubles (13) on a sharp line drive to center fielder Michael A.   Taylor.   Oscar Mercado scores.,0,1,1,2,8,0.73,2.43
74,2021-09-28,644374,429722,,called_strike,6,Yu Chang lines out to center fielder Michael A.   Taylor.,0,0,0,1,2,0.34,2.48
